appid,name,release_date,promo_price,normal_price
1994240,,Coming soon,,
1718090,,Coming soon,,
2942140,,To be announced,,
2556940,! Shakabula *,"13 Oct, 2023","14,79€",
449940,! That Bastard Is Trying To Steal Our Gold !,"3 Mar, 2016","2,99€",
866510,!AnyWay!,"6 Jun, 2018","1,99€",
2983840,#!/bin/bash,"27 May, 2024","1,99€",
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
861520,#AkiRobots,"4 Dec, 2020","6,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
2164050,#INNER UNIVERSE 1F0000,2025,,
1530070,#Snake2 DX: Reawakening,"28 Feb, 2021","1,59€",
3391910,'Golden Castle',"28 Mar, 2025","5,89€",
1870660,(Dis)assemble,"25 Sep, 2023","7,79€",
3084790,(Neg)Entropic Wandering,"19 Jul, 2024",Free,
2061630,(square),"8 Aug, 2022",Free,
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
1965790,(Virus_);,To be announced,,
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
3292540,+1%,"5 Nov, 2024","0,99€",
2876140,+1x2,"21 Mar, 2024","0,99€",
1961860,- Doki Doki Family - 特異体質者のドキドキ家族生活,"25 May, 2022","15,90€",
1961870,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,"25 May, 2022","15,90€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
1692280,- R E F L E C T E D -,"11 Aug, 2021","1,99€",
1714080,---Red---Tether-->,"18 Jan, 2022","12,49€",
3382110,-ing Angler,"2 Feb, 2025","2,99€",
729370,-KLAUS-,"23 Jan, 2019","4,99€",
1336340,-SPROUT-,"30 Jul, 2020","4,99€",
1882600,...Knew the Beginning,"15 Apr, 2022","1,99€",
3088370,.Decluster & .Decluster Zero,"7 Aug, 2024","8,79€",
2691350,.Forty-Five,"24 Mar, 2024",Free,
1854900,.G,"10 Jan, 2022","1,59€",
3347280,.HEADSPACE,Coming soon,,
3714100,.V: Valor Runs Deep,To be announced,,
