appid,name,release_date,promo_price,normal_price
803500,,Coming soon,,
814940,,Coming soon,,
1074060,,Coming soon,,
1994240,,Coming soon,,
1718090,,Coming soon,,
1045750,,Coming soon,,
2556940,! Shakabula *,"13 Oct, 2023","14,79€",
449940,! That Bastard Is Trying To Steal Our Gold !,"3 Mar, 2016","2,99€",
1287250,! Wild Russia !,"28 Apr, 2020","19,00€",
3582290,!mrak,2025,,
3165610,"""Otherworldly: Beginning of the Rift"" Pre-Alpha","16 Sep, 2024",Free,
1921480,#BLUD,"18 Jun, 2024","24,99€",
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
2164050,#INNER UNIVERSE 1F0000,2025,,
303720,#KILLALLZOMBIES,"10 Aug, 2016","8,19€",
1530070,#Snake2 DX: Reawakening,"28 Feb, 2021","1,59€",
508290,$1 Ride,"28 Jul, 2016","1,99€",
879270,'1st Core: The Zombie Killing Cyborg',"30 Jun, 2018","2,99€",
1059220,'83,Q4 2025,,
1364510,'Member the Alamo?,"30 Oct, 2020","3,99€",
1290620,'Member the Alamo? VR EDITION,"20 May, 2020","3,99€",
2582450,'Sassin,Coming soon,,
3207450,(a)woken,Coming soon,,
1737960,(Old steam page),To be announced,,
2061630,(square),"8 Aug, 2022",Free,
1965790,(Virus_);,To be announced,,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
1714080,---Red---Tether-->,"18 Jan, 2022","12,49€",
1566990,-A-,"19 May, 2021","0,99€",
2245980,-HYPERDOPE-,To be announced,,
3431530,-placeholder Name-,Coming soon,,
1467600,.,"2 Dec, 2020","0,79€",
2859470,.,Coming soon,,
1963980,...,"4 May, 2022","2,20€",
1882600,...Knew the Beginning,"15 Apr, 2022","1,99€",
3014650,.45 PARABELLUM BLOODHOUND - Cyberpunk Active Time Action,To be announced,,
3088370,.Decluster & .Decluster Zero,"7 Aug, 2024","8,79€",
1087950,.fall,"28 Oct, 2019","4,49€",
2691350,.Forty-Five,"24 Mar, 2024",Free,
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
3714100,.V: Valor Runs Deep,To be announced,,
1784990,// OVERDRIVE,"30 Nov, 2021","2,99€",
270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,"13 Feb, 2014","3,99€",
355430,//SNOWFLAKE TATTOO//,"27 Mar, 2015","4,49€",
1781250,/tilt/,Coming soon,,
554920,0 Day,"15 Nov, 2016","6,99€",
1860930,001 Earth,"31 Mar, 2022","3,99€",
2528960,03,Coming soon,,
952950,03.04,"1 Jan, 2019",Free,
3040880,07GORILLAS,To be announced,,
1101290,0Gravity,"27 Jul, 2019",Free,
2218760,0xFF,"28 Mar, 2023","11,79€",
2390410,1 Billion Spells,To be announced,,
2870650,1 Bit 1 Button,Coming soon,,
2218850,1 Day Later: Escape Zombie Hospital,"2 Dec, 2022","1,99€",
1587630,1 Hop,"22 Apr, 2021","2,39€",
2331220,1 Million Zombies,"10 Dec, 2023","9,75€",
791180,1 Screen Platformer,"7 Mar, 2019","2,39€",
1296470,1 Screen Platformer 2,Coming soon,,
1271540,1 Screen Platformer: Prologue,"16 Jul, 2020",Free,
2830760,1 Shot 1 Kill,To be announced,,
2149630,1 Trait Escape,"7 Dec, 2024","12,79€",
583570,1-2-Swift,"30 Jan, 2017","2,99€",
1362470,1-Bit Astronaut,Coming soon,,
3359690,1-Bit Explorer,"21 Dec, 2024",Free,
1025480,1-Bit Revival: The Residuals of Null,"20 Mar, 2019","3,29€",
1782130,1/2 Red Riding Hood,"30 Oct, 2021","9,99€",
1015140,10 Miles To Safety,"21 Oct, 2020","7,95€",
271670,10 Second Ninja,"5 Mar, 2014","1,99€",
435790,10 Second Ninja X,"19 Jul, 2016","9,99€",
1130440,10 Second Shuriken,"29 Apr, 2020","4,99€",
852190,10 seconds,"16 Jul, 2018","3,99€",
1846020,10 Seconds to Win!,"28 Dec, 2021","0,99€",
339240,10 Years After,"30 Jan, 2015","5,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
2609550,100 Caliber Dash,Q3 2026,,
1874920,100 Days without delays,"2 Feb, 2022","7,99€",
2360940,100 Humans Vs Gorilla,To be announced,,
2597660,100 in 1 Game Collection,"19 Jun, 2025",,
2702970,100 KILLS CHALLENGE,"16 Apr, 2024","2,99€",
2784540,100 KILLS CHALLENGE: ORIGINS,"8 Apr, 2024",Free,
2634210,100 lil jumps,"7 Feb, 2025",Free,
3715540,100 Men vs 1 Gorilla,Coming soon,Free,
3717980,100 Men VS Gorilla,"22 May, 2025","2,99€",
1764550,100 Pumpkins,"8 Oct, 2021","0,99€",
1824290,100 Pumpkins 2,"2 Dec, 2023","2,59€",
3092100,100 Rules (To Live By),Coming soon,,
3709750,100 Trials,"6 Jun, 2025",,
1335820,100 vacas,"17 Aug, 2020","4,99€",
2345380,100% Challenge,"24 Apr, 2023",Free,
2242070,100%HITS,To be announced,,
1269400,100-Player Twitch Chat Party Pack,"2 Apr, 2020","13,50€",
2842420,1000 Cuts: Jomaku,"8 Mar, 2024",Free,
1141260,1000 Deaths (Thousand Deaths),Coming soon,,
2320660,1000 Man General,"28 Mar, 2023","9,75€",
1879620,1000 Needles,"11 Feb, 2022","0,49€",
2948020,1000 Seconds,"7 Feb, 2025","2,99€",
1517320,1000 Shards,"22 Jan, 2021","0,99€",
3312510,1000 Waves,"22 Nov, 2024","5,89€",
1099840,1000$,"31 Jul, 2019","0,99€",
1157020,1001 Hugs,"26 Sep, 2019",Free,
260790,1001 Spikes,"3 Jun, 2014","9,99€",
958050,1001st Hyper Tower,"7 Nov, 2019","9,99€",
2172410,100animalease,"25 Dec, 2022","6,89€",
2656510,100F BLESSING OF THE GUARDIAN,Coming soon,,
368000,100ft Robot Golf,"16 Mar, 2017","9,99€",
3164560,100 Wars,"15 Oct, 2024","0,75€",
413480,101 Ways to Die,"18 Mar, 2016","9,99€",
2839040,1080p,"5 Apr, 2024","2,99€",
1578380,10K & The Kriminal World - Sammy's Attack,"24 Mar, 2022","8,99€",
1425380,10mg :),"15 Oct, 2020","2,39€",
1413790,10mg: HANDMADEDEATHLABYRINTH issue 0,"15 Oct, 2020","2,39€",
1435480,10mg: Sealed Estate,"15 Oct, 2020","1,99€",
1428840,10mg: SNAAAK,"20 Oct, 2020","1,99€",
3342150,10MIN HEROES,Coming soon,,
2480720,10MINUTES,"31 Aug, 2023","7,79€",
3257310,10S FOREVER,May 2025,,
1894450,11 Islands 2: Story of Love,"24 Feb, 2022","8,99€",
2768400,1114: Robin Hood Survivors,Coming soon,,
581810,1166,"2 Apr, 2017","1,99€",
949450,11th Dream,"17 Sep, 2021","9,99€",
2358740,12 Angry Hours,"4 Sep, 2023","1,99€",
1393270,12 bananas,"16 Sep, 2020",Free,
1063560,12 HOURS,"8 Jun, 2019","2,24€",
1126840,12 HOURS 2,"21 Aug, 2019","3,29€",
410110,12 is Better Than 6,"20 Nov, 2015","6,99€",
1402350,12 Labours of Hercules XI: Painted Adventure,"18 Nov, 2020","9,99€",
3628530,12.12.25,"7 May, 2025",Free,
405180,123 Slaughter Me Street,"25 Sep, 2015","2,99€",
551190,123 Slaughter Me Street 2,"1 Nov, 2016","3,99€",
3297440,123 wooden figures,"13 Dec, 2024","0,99€",
2761620,13 Seconds,"8 Mar, 2024","3,99€",
1885120,13 Steps,"18 Oct, 2022","7,79€",
1727990,13 WOOD ST,"1 Oct, 2021","9,75€",
2915860,1306 Chapter 1: Reactors & Robots,"7 May, 2025",Free,
2348250,13Z: The Zodiac Trials,To be announced,,
242820,140,"16 Oct, 2013","4,99€",
1140110,141,"21 Nov, 2019","9,75€",
3387100,15 Minutes,2025,,
2474640,15 Minutes At The World's End,Coming soon,,
856350,15 seconds,"31 May, 2018","0,79€",
2231070,150 Floors,Q3 2025,,
2834370,15th Floor,"5 Apr, 2024","3,99€",
3202260,15th Prison,"20 May, 2025","3,59€",
986770,16 Planes:Return,Coming soon,,
1987630,1651,"14 Jul, 2022","0,79€",
3224250,16: The Art of the 15,Coming soon,,
1305450,16bit vs Reality,"17 Jun, 2021","10,79€",
3210160,16BitSurvivors,"7 Jan, 2025","6,00€",
3511960,"17 ways to not die (or not, IDK) - Interactive Movie",Coming soon,Free,
2369760,17.waves TD,2025,,
1269370,171,"17 Nov, 2022","17,99€",
2633200,18 MINUTES,"28 Nov, 2023","14,79€",
3027700,180 Seconds: A Firefighter's Call,July 2025,,
3429680,1899: Secrets of the Maze,Coming soon,,
470060,1917 - The Alien Invasion DX,"10 Jun, 2016","3,82€",
440810,1943 Megami Strike,"24 Feb, 2016","8,99€",
957950,1971: Indian Naval Front,"5 Apr, 2023","14,79€",
1118070,1976 - Back to midway,"10 Dec, 2020","12,49€",
575880,1979 Invasion Earth,"19 Jan, 2017","0,99€",
388320,1979 Revolution: Black Friday,"4 Apr, 2016","8,19€",
639650,1982,"28 Jun, 2017",Free,
3192680,1989 After the War,"3 Feb, 2025","4,99€",
1086010,198X,"20 Jun, 2019","9,99€",
