appid,name,release_date,promo_price,normal_price
1045750,,Coming soon,,
814940,,Coming soon,,
1994240,,Coming soon,,
1718090,,Coming soon,,
449940,! That Bastard Is Trying To Steal Our Gold !,"3 Mar, 2016","2,99€",
1287250,! Wild Russia !,"28 Apr, 2020","19,00€",
866510,!AnyWay!,"6 Jun, 2018","1,99€",
870990,!LABrpgUP!,"13 Jun, 2018","0,79€",
3582290,!mrak,2025,,
2983840,#!/bin/bash,"27 May, 2024","1,99€",
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
1921480,#BLUD,"18 Jun, 2024","24,99€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
2582450,'Sassin,Coming soon,,
2264840,(para)Normal Commute,Coming soon,Free,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
3496710,(the) Rise of Willy,Coming soon,Free,
1965790,(Virus_);,To be announced,,
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
2381340,-256,"20 Apr, 2023",Free,
2245980,-HYPERDOPE-,To be announced,,
729370,-KLAUS-,"23 Jan, 2019","4,99€",
1336340,-SPROUT-,"30 Jul, 2020","4,99€",
1467600,.,"2 Dec, 2020","0,79€",
2859470,.,Coming soon,,
1963980,...,"4 May, 2022","2,20€",
1882600,...Knew the Beginning,"15 Apr, 2022","1,99€",
2691350,.Forty-Five,"24 Mar, 2024",Free,
1854900,.G,"10 Jan, 2022","1,59€",
