appid,name,release_date,promo_price,normal_price
2101450,,Coming soon,,
1718090,,Coming soon,,
449940,! That Bastard Is Trying To Steal Our Gold !,"3 Mar, 2016","2,99€",
1287250,! Wild Russia !,"28 Apr, 2020","19,00€",
866510,!AnyWay!,"6 Jun, 2018","1,99€",
870990,!LABrpgUP!,"13 Jun, 2018","0,79€",
439260,"""BUTTS: The VR Experience""","3 Feb, 2016",Free,
388390,"""Glow Ball"" - The billiard puzzle game","20 Jul, 2015","2,99€",
1102740,"""Going Up?""","19 Apr, 2020",Free,
2983840,#!/bin/bash,"27 May, 2024","1,99€",
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
861520,#AkiRobots,"4 Dec, 2020","6,99€",
782100,#CuteSnake,"15 Mar, 2018","0,99€",
834180,#CuteSnake 2,"20 Apr, 2018","0,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
614910,#monstercakes,"5 May, 2017","0,99€",
508290,$1 Ride,"28 Jul, 2016","1,99€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
1870660,(Dis)assemble,"25 Sep, 2023","7,79€",
3084790,(Neg)Entropic Wandering,"19 Jul, 2024",Free,
2264840,(para)Normal Commute,Coming soon,Free,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
3496710,(the) Rise of Willy,Coming soon,Free,
2388360,"(val)iant: or, val's guide to having a broken vag","1 Jun, 2023",Free,
1034230,***,"17 Mar, 2019","0,79€",
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
3138760,+ PC Maker,2025,,
3292540,+1%,"5 Nov, 2024","0,99€",
2876140,+1x2,"21 Mar, 2024","0,99€",
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
1692280,- R E F L E C T E D -,"11 Aug, 2021","1,99€",
3382110,-ing Angler,"2 Feb, 2025","2,99€",
729370,-KLAUS-,"23 Jan, 2019","4,99€",
1087950,.fall,"28 Oct, 2019","4,49€",
1854900,.G,"10 Jan, 2022","1,59€",
759000,.projekt,"17 Mar, 2018","4,99€",
3632010,//signal.,"18 May, 2025","6,61€",
1259240,//TODO: today,"10 Apr, 2021",Free,
869270,/reroll,Coming soon,,
1860930,001 Earth,"31 Mar, 2022","3,99€",
2930280,0101,"13 Jun, 2024",Free,
3040880,07GORILLAS,To be announced,,
3164120,0927,"29 Aug, 2024","6,89€",
1101290,0Gravity,"27 Jul, 2019",Free,
670750,0°N 0°W,"1 Mar, 2018","4,99€",
2870650,1 Bit 1 Button,Coming soon,,
3498310,1 Bit Hero,Coming soon,,
2493160,1 Bit Survivor,"11 Aug, 2023","3,99€",
2218850,1 Day Later: Escape Zombie Hospital,"2 Dec, 2022","1,99€",
1587630,1 Hop,"22 Apr, 2021","2,39€",
2331220,1 Million Zombies,"10 Dec, 2023","9,75€",
497400,1 Moment Of Time: Silentville,"22 Jul, 2016","0,99€",
2209310,1 Rule Sudoku,"2 Dec, 2022","4,99€",
3376520,1+1=？,"5 Mar, 2025","0,99€",
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
1071310,"1, 2, 3... Bruegel!","19 Jun, 2019","2,39€",
583570,1-2-Swift,"30 Jan, 2017","2,99€",
1362470,1-Bit Astronaut,Coming soon,,
3014150,1/8192,"22 Jun, 2024","2,99€",
477010,10 Minute Tower,"26 Jul, 2016","14,99€",
3046540,10 Second Mixtape,To be announced,,
435790,10 Second Ninja X,"19 Jul, 2016","9,99€",
852190,10 seconds,"16 Jul, 2018","3,99€",
1846020,10 Seconds to Win!,"28 Dec, 2021","0,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
3495020,100 Africa Cats,2025,Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
3051050,100 Aztec Cats,"4 May, 2025","0,99€",
3466430,100 Berlin Cats,2025,Free,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2784520,100 Cats Argentina,2025,,
2796360,100 Cats Beijing,2025,Free,
2796350,100 Cats Belgrade,"10 Jun, 2025",,
2791650,100 Cats Berlin,"28 Aug, 2024","0,49€",
2784210,100 Cats Greece,2025,,
3561790,100 Cats India,2025,,
3561830,100 Cats Istanbul,2025,,
3561760,100 Cats Italy,2025,,
2784140,100 Cats London,"17 Mar, 2025","1,99€",
3743830,100 Cats Lost In World Find & Color,Coming soon,,
2784250,100 Cats Mexico,"23 Sep, 2024","0,99€",
2782380,100 Cats New York,"28 Aug, 2024",Free,
2784280,100 Cats Pakistan,2025,Free,
3561810,100 Cats Philippines,2025,,
2800300,100 Cats Singapore,"1 Nov, 2024","0,49€",
3693530,100 Cats World,Coming soon,,
856260,100 Chests,"15 Jun, 2018","2,39€",
3141120,100 China Cats,Coming soon,Free,
2687190,100 Christmas Cats,"1 Dec, 2023",Free,
3517600,100 Closes,"3 Apr, 2025","0,99€",
2954460,100 Crime Cats,Coming soon,Free,
3495030,100 Cyprus Cats,2025,Free,
1704530,100 days,"18 Aug, 2021","1,59€",
1874920,100 Days without delays,"2 Feb, 2022","7,99€",
2803000,100 Dino Cats,"26 Feb, 2024",Free,
3048670,100 Dogs,"14 Jul, 2024","3,99€",
3252600,100 Dogs in India,"9 Mar, 2025","0,99€",
1743710,100 Doors - Escape from Prison,"15 Jun, 2022","8,19€",
2812900,100 Doors Escape - Let me In!,"28 Mar, 2024","9,75€",
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
1684530,100 Doors: Escape from Work,"2 Mar, 2022","8,19€",
3495040,100 Dubai Cats,2025,Free,
3017380,100 Egypt Cats,"17 Apr, 2025","0,99€",
3141080,100 Fantasy Cats,Coming soon,,
2954560,100 Forest Cats,"18 May, 2025","0,89€",
2881230,100 Funny Cats,"1 Apr, 2024",Free,
3466440,100 Greece Cats,2025,Free,
1493300,100 hidden aliens,"20 Dec, 2020","1,99€",
1834310,100 Hidden Animalnaults - Felicat & Laika,"20 Dec, 2021","1,99€",
1473050,100 hidden birds,"2 Dec, 2020","1,99€",
1766790,100 hidden birds 2,"8 Oct, 2021","2,99€",
3288020,100 Hidden Capybaras,To be announced,,
1587560,100 hidden cats,"16 Apr, 2021","1,99€",
1679320,100 hidden cats 2,"18 Jul, 2021","2,99€",
3220090,100 hidden Cats : Kitty House,"26 Sep, 2024","0,99€",
3286360,100 hidden Cats : Kitty House 2,"29 Oct, 2024","0,99€",
3549060,100 hidden Cats : Ninja,"27 Jun, 2025",,
3154590,100 hidden Cats : Pirates,"11 Oct, 2024","0,99€",
3464500,100 hidden Cats : Playground,"6 Feb, 2025","1,49€",
2998850,100 hidden Cthulhu fish,"20 Jun, 2024","2,60€",
3110750,100 hidden Cthulhu fish 2,"16 Aug, 2024","1,50€",
1740240,100 hidden cups,"15 Sep, 2021","0,49€",
1773890,100 hidden dogs,"15 Oct, 2021","1,99€",
1480120,100 hidden eternals,"10 Dec, 2020","0,59€",
1841390,100 hidden fish,"17 Jan, 2022","1,99€",
1806840,100 hidden frogs,"15 Nov, 2021",Free,
2254910,100 hidden frogs 2,"20 Apr, 2023","3,99€",
1471530,100 hidden gnomes,"2 Dec, 2020","0,99€",
1932230,100 hidden hares,"10 Jun, 2022","2,99€",
3245740,100 Hidden Kooky & Hiking Boots,"25 Oct, 2024","1,99€",
2746760,100 Hidden Kooky - Sand & Sun,"7 Jan, 2024","1,50€",
1522560,100 hidden mice,"27 Jan, 2021","1,99€",
1573750,100 hidden mushrooms,"23 Mar, 2021","1,99€",
3657290,100 Hidden Pandas: Village,"9 May, 2025","0,83€",
1708190,100 hidden rams,"21 Aug, 2021","1,99€",
1446330,100 hidden snails,"6 Nov, 2020","1,99€",
1549030,100 hidden snails 2,"26 Feb, 2021","2,99€",
2013900,100 hidden turtles,"4 Sep, 2022","3,99€",
3043330,100 Hiddensaurs,"9 Aug, 2024",Free,
3466450,100 India Cats,2025,Free,
3141070,100 Indonesia Cats,Coming soon,Free,
2845250,100 Istanbul Cats,"17 May, 2024",Free,
3141130,100 Italy Cats,Coming soon,Free,
2932930,100 Korea Cats,"15 Dec, 2024",Free,
2634210,100 lil jumps,"7 Feb, 2025",Free,
2687200,100 London Cats,Coming soon,Free,
3495000,100 Los Angeles Cats,2025,Free,
2845260,100 March Cats,"6 Mar, 2024",Free,
3717980,100 Men VS Gorilla,"22 May, 2025","2,99€",
3466420,100 Miami Cats,2025,Free,
3340750,100 New Year Cats,"5 Dec, 2024",Free,
2776810,100 Ninja Cats,"12 Feb, 2024",Free,
2776910,100 Paris Cats,Coming soon,Free,
2775830,100 Pirate Cats,Coming soon,Free,
2803010,100 Robo Cats,"26 Feb, 2024",Free,
2827560,100 Romantic Cats,"13 Feb, 2025",Free,
2770250,100 Rooms,"28 Mar, 2024","0,99€",
2560380,100 Rounds,"29 Feb, 2024","4,99€",
3141140,100 Sea Cats,Coming soon,Free,
