appid,name,release_date,promo_price,normal_price
396420,,"1 Nov, 2016",Free,
439260,"""BUTTS: The VR Experience""","3 Feb, 2016",Free,
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
2381340,-256,"20 Apr, 2023",Free,
2691350,.Forty-Five,"24 Mar, 2024",Free,
1259240,//TODO: today,"10 Apr, 2021",Free,
2930280,0101,"13 Jun, 2024",Free,
2706960,027,"31 Dec, 2023",Free,
952950,03.04,"1 Jan, 2019",Free,
1101290,0Gravity,"26 Jul, 2019",Free,
1271540,1 Screen Platformer: Prologue,"16 Jul, 2020",Free,
3359690,1-Bit Explorer,"20 Dec, 2024",Free,
3406660,1.96.9 all update,"5 Jan, 2025",Free,
3418430,10 Seconds,"30 Jan, 2025",Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2782380,100 Cats New York,"27 Aug, 2024",Free,
2687190,100 Christmas Cats,"1 Dec, 2023",Free,
2803000,100 Dino Cats,"26 Feb, 2024",Free,
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
2881230,100 Funny Cats,"1 Apr, 2024",Free,
1806840,100 hidden frogs,"15 Nov, 2021",Free,
3043330,100 Hiddensaurs,"8 Aug, 2024",Free,
2845250,100 Istanbul Cats,"17 May, 2024",Free,
2932930,100 Korea Cats,"15 Dec, 2024",Free,
2634210,100 lil jumps,"6 Feb, 2025",Free,
2845260,100 March Cats,"6 Mar, 2024",Free,
3340750,100 New Year Cats,"5 Dec, 2024",Free,
2776810,100 Ninja Cats,"12 Feb, 2024",Free,
2803010,100 Robo Cats,"26 Feb, 2024",Free,
2827560,100 Romantic Cats,"13 Feb, 2025",Free,
2854290,100 Space Cats,"16 Jun, 2024",Free,
3037060,100 Waiting Cats,"6 Oct, 2024",Free,
2345380,100% Challenge,"24 Apr, 2023",Free,
1157020,1001 Hugs,"26 Sep, 2019",Free,
1081800,101010,"3 Oct, 2019",Free,
2598690,10:16,"16 Oct, 2023",Free,
1393270,12 bananas,"16 Sep, 2020",Free,
1345080,12 Hours to Die,"5 Jul, 2020",Free,
3628530,12.12.25,"6 May, 2025",Free,
2200420,13 Candles,"13 Dec, 2022",Free,
2915860,1306 Chapter 1: Reactors & Robots,"7 May, 2025",Free,
1689680,13:ORIGIN - Prologue,"27 Aug, 2021",Free,
2362150,13iew,"4 Apr, 2023",Free,
1476690,15 puzzle,"4 Dec, 2020",Free,
513490,1943 Berlin Blitz,"3 Oct, 2018",Free,
1397010,1980,"31 Aug, 2020",Free,
639650,1982,"28 Jun, 2017",Free,
2147580,1990,"4 Oct, 2022",Free,
3485400,19th-century Printing Press Experience VR,"19 Feb, 2025",Free,
1158770,1BIT CASTLE,"25 Oct, 2019",Free,
