appid,name,release_date,promo_price,normal_price
1718090,,Coming soon,,
2942140,,To be announced,,
388390,"""Glow Ball"" - The billiard puzzle game","20 Jul, 2015","2,99€",
1921480,#BLUD,"18 Jun, 2024","24,99€",
3391910,'Golden Castle',"28 Mar, 2025","5,89€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
2582450,'Sassin,Coming soon,,
3084790,(Neg)Entropic Wandering,"19 Jul, 2024",Free,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
1961870,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,"25 May, 2022","15,90€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
1467600,.,"2 Dec, 2020","0,79€",
1963980,...,"4 May, 2022","2,20€",
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
2132900,/Conspiracy/ Girls >The Madness of Madison Delaroux,"20 Oct, 2022","14,99€",
2390410,1 Billion Spells,To be announced,,
3498310,1 Bit Hero,Coming soon,,
3359690,1-Bit Explorer,"20 Dec, 2024",Free,
1782130,1/2 Red Riding Hood,"30 Oct, 2021","9,99€",
3118850,10 Blaze Escape,"12 Feb, 2025","2,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
1573750,100 hidden mushrooms,"23 Mar, 2021","1,99€",
3657290,100 Hidden Pandas: Village,"9 May, 2025","0,83€",
2770250,100 Rooms,"28 Mar, 2024","0,99€",
2374420,100 Steps,"17 Oct, 2023","1,59€",
1491150,100 Worlds - Escape Room Game,"15 Apr, 2022","8,19€",
1363020,100-Level Dungeon,"23 Jul, 2020","1,99€",
2290290,1000 Rogues,To be announced,,
3372500,1000: The All-Mother's Embrace,Coming soon,,
2542850,1001 Nights,To be announced,,
3140910,100th Bug Brigade,"11 Apr, 2025",Free,
3164560,100 Wars,"15 Oct, 2024","0,75€",
3159900,108 Silly Ways to Die,"11 Feb, 2025","8,83€",
1389890,10mg: You are such a Soft and Round Kitten.,"15 Oct, 2020","2,39€",
2348250,13Z: The Zodiac Trials,To be announced,,
2341600,1414: Crossroads,"26 Mar, 2023","8,79€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
2231070,150 Floors,Q3 2025,,
470060,1917 - The Alien Invasion DX,"10 Jun, 2016","3,82€",
2147580,1990,"3 Oct, 2022",Free,
2641810,1BIT CASTLE REMAKE,"18 Jun, 2024","3,99€",
618720,1bitHeart,"28 Aug, 2017","1,19€",
1519920,1M84,Coming soon,,
2834690,2048 - Dungeons,Coming soon,,
2556870,2nd child,"12 May, 2026",Free,
