appid,name,release_date,promo_price,normal_price
1045750,,Coming soon,,
1074060,,Coming soon,,
1287250,! Wild Russia !,"28 Apr, 2020","19,00€",
2264840,(para)Normal Commute,Coming soon,Free,
3731150,(The Lingering) Graveyard Visit,Q2 2025,,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
3431530,-placeholder Name-,Coming soon,,
2859470,.,Coming soon,,
3347280,.HEADSPACE,Coming soon,,
3197050,.redruM,"17 Oct, 2024","4,99€",
3396850,/R - A Neurodivergent Thriller,"23 Jan, 2025","6,89€",
2706960,027,"31 Dec, 2023",Free,
952950,03.04,"1 Jan, 2019",Free,
2885400,0th floor. - The cursed elevator to floor zero -,"3 Apr, 2024","4,99€",
2493160,1 Bit Survivor,"11 Aug, 2023","3,99€",
406730,"1,000 Heads Among the Trees","11 Dec, 2015","3,99€",
1782130,1/2 Red Riding Hood,"30 Oct, 2021","9,99€",
3118850,10 Blaze Escape,"12 Feb, 2025","2,99€",
1564540,10 Dead Doves,"13 Dec, 2024","24,50€",
3006930,10 Second Rule: Infinity Labo,"10 Feb, 2025","2,99€",
3418430,10 Seconds,"30 Jan, 2025",Free,
339240,10 Years After,"30 Jan, 2015","5,99€",
1764550,100 Pumpkins,"8 Oct, 2021","0,99€",
1824290,100 Pumpkins 2,"1 Dec, 2023","2,59€",
3146550,100 SCREAMERS,Coming soon,,
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
1099840,1000$,"30 Jul, 2019","0,99€",
1128830,1001 Jigsaw World Tour: Europe,"19 Aug, 2019","4,99€",
3159900,108 Silly Ways to Die,"11 Feb, 2025","8,83€",
3064410,10:59,"15 Jul, 2024","4,71€",
1431420,10mg: Cover Me In Leaves,"15 Oct, 2020","1,59€",
1431220,"10mg: SLASHER, Interrupted","15 Oct, 2020","1,59€",
1847120,11F,"19 Apr, 2024","8,79€",
1063560,12 HOURS,"7 Jun, 2019","2,24€",
3218080,12 Hours,"9 Nov, 2024","4,99€",
1126840,12 HOURS 2,"20 Aug, 2019","3,29€",
405180,123 Slaughter Me Street,"25 Sep, 2015","2,99€",
551190,123 Slaughter Me Street 2,"31 Oct, 2016","3,99€",
2200420,13 Candles,"13 Dec, 2022",Free,
1885120,13 Steps,"18 Oct, 2022","7,79€",
1727990,13 WOOD ST,"1 Oct, 2021","9,75€",
2915860,1306 Chapter 1: Reactors & Robots,"7 May, 2025",Free,
1758220,13:ORIGIN - Chapter One,"28 Jul, 2023","1,76€",
3031590,13F,"20 Jun, 2024","3,99€",
2362150,13iew,"4 Apr, 2023",Free,
3305700,13km Deep,To be announced,,
2889370,13层：公寓异常管理员 13 Floors: Anomalies,"3 Apr, 2024","0,99€",
1043350,1406,"21 Mar, 2019","5,89€",
3387100,15 Minutes,2025,,
2834370,15th Floor,"5 Apr, 2024","3,99€",
3202260,15th Prison,"20 May, 2025","3,59€",
3210160,16BitSurvivors,"7 Jan, 2025","6,00€",
3511960,"17 ways to not die (or not, IDK) - Interactive Movie",Coming soon,Free,
3429680,1899: Secrets of the Maze,Coming soon,,
3459760,18th Floor,"20 Feb, 2025","2,99€",
2773230,18Hell:Lost,"19 Apr, 2024","7,79€",
1352230,1917 : The Prologue,"6 Nov, 2020","8,19€",
248490,1953 - KGB Unleashed,"20 Sep, 2013","2,99€",
270190,1HEART,"13 Oct, 2014","9,99€",
3160120,1K - Small Room -,To be announced,,
3407980,2 Minutes to Die,"2 Jan, 2025","0,99€",
2495340,20 Doors,"21 Jul, 2023","14,79€",
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
1360620,"20,000 Miles Under the Sea","27 Jul, 2020",Free,
2761160,2007,2025,,
2196390,2022生存指南 2022 SURVIVAL GUIDE,"15 Mar, 2023","2,99€",
3142760,209,"28 Aug, 2024","4,99€",
2578510,20MTD: Emberpath,To be announced,,
2761830,24,"27 Jun, 2025",,
2828230,24H Stories: Midnight Channel,"5 May, 2024","5,89€",
2690290,24H Stories: The Blackout,"27 Nov, 2023","4,99€",
2703070,24H Stories: The Rule 7,"6 Feb, 2024","7,79€",
904860,25 Cadre of Death,"22 Oct, 2018","5,89€",
435100,2Dark,"10 Mar, 2017","24,99€",
936510,2nd Circle - Powerful Magic,"18 Oct, 2018","2,99€",
3516780,2nd EVE,To be announced,,
2483920,2x4 Nails,"19 Mar, 2024","4,99€",
2699510,2番線 | Nibansen,"19 Jan, 2024","4,99€",
1182040,3 Blind Mice: A Remediation Game for Improper Children,"8 Nov, 2019",Free,
3323800,3 Nights of Terror,To be announced,,
1683070,3 O'clock Horror,"19 Jul, 2021",Free,
2460450,3 Scary Games,"23 Oct, 2023","11,79€",
2902400,3 Shots Left,Coming soon,,
3187790,3199,Coming soon,,
3556810,"32, Dandelion Drift",Coming soon,,
466500,35MM,"28 May, 2016","8,79€",
2909280,3AM CORP: The Balbazar Resort,"5 Jun, 2024",Free,
2541440,3am in Leicester,"12 Sep, 2023","1,99€",
535700,3D Chess,"6 Dec, 2016","3,99€",
2654640,3Paths,Coming soon,,
1131900,3rd eye,"30 Sep, 2019","12,49€",
3677120,3Tower,December 2025,,
2899580,3番線 | Sanbansen,"6 Jun, 2024","4,99€",
2348330,4 days in ***,Coming soon,,
1269700,4 Minutes to the Apocalypse,Coming soon,,
1705880,4 Months of You,"30 Aug, 2021","6,89€",
904230,40 Steps to Valhalla,Coming soon,,
3721040,404 Breakpoint,2025,,
2873810,Room 404,2025,,
3578350,40D40M,Coming soon,,
1492250,44 Minutes in Nightmare,"15 Mar, 2021","7,79€",
2702680,44 The Jail,"17 Apr, 2024","5,89€",
2660250,49 Keys,"14 Nov, 2024","9,75€",
1960620,4d Chess,"12 Jul, 2022","3,99€",
787980,4D Minesweeper,"14 Feb, 2018",Free,
3311520,4番線 | Platform 4,"18 Dec, 2024","4,99€",
3296200,5 nights at Timokha 4: School,"20 Dec, 2024","1,99€",
2199290,5.5 ROOMS,Coming soon,,
3678110,50 Cents Please,Coming soon,Free,
2835750,50 Floors: The Paranormal Investigators Prologue,"31 May, 2024",Free,
3503680,5番線おじさん救出編 Platform 5 Dungeons,"26 Mar, 2025","4,99€",
1557760,6 Feet Behind,"16 Mar, 2021",Free,
954300,6 Keys: The Gym,"25 Nov, 2024","2,99€",
1258770,6 PEOPLE,"27 Mar, 2020",Free,
1012880,60 Seconds! Reatomized,"25 Jul, 2019","4,87€",
1063230,6120,"19 Apr, 2019","4,99€",
512410,69 Ways to Kill a Zombie,"9 Jun, 2017","0,99€",
2968600,6th Floor,"3 Jun, 2024","1,99€",
3139160,7 Ate 9,"11 Nov, 2024","2,77€",
712080,7 Bones and 7 Stones - The Ritual,"20 Oct, 2020",Free,
3408470,7 Days Shrine,"19 Feb, 2025","3,99€",
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
3183430,7 Nights Keeper,Coming soon,,
2221820,7 Sins : Lost in Labyrinth,"10 Feb, 2023","3,99€",
1562920,7 Years From Now,"17 Jun, 2021","9,99€",
839450,7'scarlet,"13 Mar, 2019","28,99€",
3483190,749档案集：无锡外星人事件,Q2 2025,,
2103630,77 Oleander Avenue,"19 Dec, 2022","4,99€",
2849820,7821 Akuji,Q2 2025,,
1494140,7Days Origins,"3 May, 2021","7,39€",
3018430,7th Floor,Coming soon,,
749250,7th Sector,"5 Mar, 2019","12,79€",
3019060,7Years,Q2 2025,,
3093070,July 14th,"30 Sep, 2024","1,99€",
664850,8-bit Adventure Anthology: Volume I,"31 Oct, 2017","7,99€",
1949370,8/8/88 Needle AL,"24 May, 2023",Free,
3223090,808 - Firetower12,"7 Oct, 2024","1,99€",
1544860,8874,To be announced,,
2835590,8AM,"29 Mar, 2024","3,99€",
3179320,8ALLOWEEN,"23 Oct, 2024","3,99€",
1895890,9 Childs Street,"16 Feb, 2023","6,89€",
369420,9 Clues 2: The Ward,"23 Jul, 2015","14,79€",
284870,9 Clues: The Secret of Serpent Creek,"10 Jul, 2014","14,79€",
3183030,9 Hallways: The Anomaly Agent,"17 Dec, 2024","2,99€",
2286380,9 Realms,Coming soon,,
3757820,9 Souls,"1 Aug, 2025",,
2366080,911: Cannibal,"14 Apr, 2023","3,99€",
2537120,911: Prey,"16 Aug, 2023","3,99€",
561480,96 Mill,"26 Jan, 2017","5,99€",
2431070,98xx,"29 May, 2023","2,99€",
264280,99 Levels To Hell,"19 Feb, 2014","4,99€",
3322640,99% - 残された被検体 -,"21 Jan, 2025","5,89€",
2941480,9SHOT,"8 May, 2024",Free,
2606810,>HAL_4,Coming soon,,
3659180,?? Movie Theater,"16 May, 2025","4,49€",
3145780,[ANOMALY TAPES]: Beyond Reality,"28 Oct, 2024","9,75€",
3196750,[Bober Bros] Happy House,Coming soon,,
3001730,[Bober Bros] It's Just A Prank,"21 Jun, 2024","2,99€",
3037930,[Bober Bros] The Hole,"5 Dec, 2024","2,99€",
1130620,[Chilla's Art] Aka Manto | 赤マント,"24 Sep, 2019","4,49€",
1400290,[Chilla's Art] Hanako | 花子さん,"12 Dec, 2020","7,01€",
1185160,[Chilla's Art] Inunaki Tunnel | 犬鳴トンネル,"20 Nov, 2019","2,69€",
1220390,[Chilla's Art] Jimmu | 神武,Coming soon,,
2716110,[Chilla's Art] Jisatsu | 自撮,"16 Dec, 2023","5,30€",
1306620,[Chilla's Art] Missing Children | 行方不明,"13 Jun, 2020","2,69€",
1611490,[Chilla's Art] Night Delivery | 例外配達,"5 Jun, 2021","2,69€",
2367230,[Chilla's Art] Night Security | 夜間警備,"17 Jun, 2023","7,01€",
1147960,[Chilla's Art] Okaeri | おかえり,"7 Sep, 2019","2,69€",
1267310,[Chilla's Art] Onryo | 怨霊,"25 Apr, 2020","4,49€",
2314720,[Chilla's Art] Parasocial | パラソーシャル,"26 Aug, 2023","7,01€",
2793370,[Chilla's Art] Shinkansen 0 | 新幹線 0号,"23 Mar, 2024","6,20€",
1162680,[Chilla's Art] Stigmatized Property | 事故物件,"26 Oct, 2019","2,69€",
1503670,[Chilla's Art] The Caregiver | 終焉介護,"3 Apr, 2021","4,49€",
1228520,[Chilla's Art] The Convenience Store | 夜勤事件,"18 Feb, 2020","2,69€",
1349960,[Chilla's Art] The Ghost Train | 幽霊列車,"24 Jul, 2020","2,69€",
2200190,[Chilla's Art] The Karaoke | ヒトカラ🎤,"4 Feb, 2023","5,30€",
2593900,[Chilla's Art] The Kidnap | 誘拐事件,"1 Nov, 2023","8,77€",
1191070,[Chilla's Art] Yuki Onna | 雪女,"3 Jan, 2020","4,49€",
1558000,[ECHOSTASIS],"30 May, 2024","19,99€",
2933290,[Nightmare Files] Clap Clap,"4 Jun, 2024",Free,
3212260,[Nightmare Files] Stoned,Coming soon,,
3509050,[REC] Desolation,"27 Feb, 2025","2,79€",
2974060,[REC] Paroxysm,"25 Jul, 2024","2,58€",
3176560,[Southern Fjords] Newspaper Day,"11 Nov, 2024","3,99€",
3431830,[Southern Fjords] Veil of Pestilence,Coming soon,,
3240540,[Stories to Tell] Greyville Stay,"6 Jan, 2025",Free,
2252070,[SUBJECT],"13 Apr, 2023","8,79€",
2800410,[WIP] 100 HIDDEN CATS,Coming soon,,
878950,_dive,"5 Jul, 2018","1,99€",
3439300,A Butterfly,"23 Jan, 2025","0,99€",
2365410,A Call From Under the House,2025,,
2070550,A Castle Full of Cats,"9 Nov, 2022","3,90€",
427760,A Chair in a Room : Greenwater,"31 Mar, 2016","22,99€",
1556610,A Conversation With Mister Rabbit,"5 Mar, 2021","0,99€",
1600720,A Curse From Beyond,"31 Aug, 2021","3,99€",
468530,A Date in the Park,"20 Jul, 2016",Free,
1285510,A Day Without Me,"27 Jun, 2020","4,99€",
569430,A Demon's Game - Episode 1,"10 Feb, 2017","5,89€",
3185170,A Developer Nightmare,To be announced,,
2497920,A Difficult Game About Climbing,"6 Mar, 2024","9,75€",
709140,A Dream For Aaron,"9 Mar, 2018","8,99€",
577080,A Dump in the Dark,"24 Jan, 2018","2,99€",
535460,"A Fear Of Heights, And Other Things","17 Oct, 2016","0,99€",
3556760,A Game About Cutting A Tree,June 2025,,
3244220,A Game About Digging A Hole,"7 Feb, 2025","4,99€",
