appid,name,release_date,promo_price,normal_price
1074060,,Coming soon,,
814940,,Coming soon,,
1045750,,Coming soon,,
2942140,,To be announced,,
449940,! That Bastard Is Trying To Steal Our Gold !,"3 Mar, 2016","2,99€",
870990,!LABrpgUP!,"13 Jun, 2018","0,79€",
388390,"""Glow Ball"" - The billiard puzzle game","20 Jul, 2015","2,99€",
1102740,"""Going Up?""","19 Apr, 2020",Free,
1908870,"""LIFE"" not found;","23 Jun, 2022",Free,
2983840,#!/bin/bash,"27 May, 2024","1,99€",
861520,#AkiRobots,"4 Dec, 2020","6,99€",
493790,#Archery,"19 Dec, 2017","9,99€",
782100,#CuteSnake,"15 Mar, 2018","0,99€",
834180,#CuteSnake 2,"20 Apr, 2018","0,99€",
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
2164050,#INNER UNIVERSE 1F0000,2025,,
303720,#KILLALLZOMBIES,"10 Aug, 2016","8,19€",
614910,#monstercakes,"5 May, 2017","0,99€",
392190,#SelfieTennis,"1 Apr, 2016","8,19€",
392150,#SkiJump,"28 Jun, 2019","9,99€",
1530070,#Snake2 DX: Reawakening,"28 Feb, 2021","1,59€",
560660,#Utopia,Coming soon,,
508290,$1 Ride,"28 Jul, 2016","1,99€",
3391910,'Golden Castle',"28 Mar, 2025","5,89€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
2264840,(para)Normal Commute,Coming soon,Free,
2061630,(square),"8 Aug, 2022",Free,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
1965790,(Virus_);,To be announced,,
568330,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,"20 Jan, 2017","1,99€",
1034230,***,"17 Mar, 2019","0,79€",
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
3138760,+ PC Maker,2025,,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
1692280,- R E F L E C T E D -,"11 Aug, 2021","1,99€",
1714080,---Red---Tether-->,"18 Jan, 2022","12,49€",
2381340,-256,"20 Apr, 2023",Free,
1566990,-A-,"19 May, 2021","0,99€",
3382110,-ing Angler,"2 Feb, 2025","2,99€",
729370,-KLAUS-,"23 Jan, 2019","4,99€",
1336340,-SPROUT-,"30 Jul, 2020","4,99€",
1467600,.,"2 Dec, 2020","0,79€",
1882600,...Knew the Beginning,"15 Apr, 2022","1,99€",
3014650,.45 PARABELLUM BLOODHOUND - Cyberpunk Active Time Action,To be announced,,
3088370,.Decluster & .Decluster Zero,"7 Aug, 2024","8,79€",
1087950,.fall,"28 Oct, 2019","4,49€",
759000,.projekt,"17 Mar, 2018","4,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,"13 Feb, 2014","3,99€",
3632010,//signal.,"19 May, 2025","6,61€",
355430,//SNOWFLAKE TATTOO//,"27 Mar, 2015","4,49€",
1259240,//TODO: today,"10 Apr, 2021",Free,
869270,/reroll,Coming soon,,
1781250,/tilt/,Coming soon,,
554920,0 Day,"16 Nov, 2016","6,99€",
1860930,001 Earth,"31 Mar, 2022","3,99€",
2930280,0101,"13 Jun, 2024",Free,
2706960,027,"31 Dec, 2023",Free,
952950,03.04,"1 Jan, 2019",Free,
3040880,07GORILLAS,To be announced,,
1101290,0Gravity,"27 Jul, 2019",Free,
278440,0RBITALIS,"28 May, 2015","7,99€",
2885400,0th floor. - The cursed elevator to floor zero -,"3 Apr, 2024","4,99€",
2981290,1 AM MOSCOW TIME,Q4 2026,,
2870650,1 Bit 1 Button,Coming soon,,
2218850,1 Day Later: Escape Zombie Hospital,"2 Dec, 2022","1,99€",
1587630,1 Hop,"22 Apr, 2021","2,39€",
2331220,1 Million Zombies,"10 Dec, 2023","9,75€",
497400,1 Moment Of Time: Silentville,"22 Jul, 2016","0,99€",
1296470,1 Screen Platformer 2,Coming soon,,
1271540,1 Screen Platformer: Prologue,"16 Jul, 2020",Free,
2830760,1 Shot 1 Kill,To be announced,,
3376520,1+1=？,"5 Mar, 2025","0,99€",
1071310,"1, 2, 3... Bruegel!","19 Jun, 2019","2,39€",
406730,"1,000 Heads Among the Trees","11 Dec, 2015","3,99€",
1025480,1-Bit Revival: The Residuals of Null,"20 Mar, 2019","3,29€",
3406660,1.96.9 all update,"5 Jan, 2025",Free,
3014150,1/8192,"22 Jun, 2024","2,99€",
1015140,10 Miles To Safety,"21 Oct, 2020","7,95€",
477010,10 Minute Tower,"26 Jul, 2016","14,99€",
3046540,10 Second Mixtape,To be announced,,
271670,10 Second Ninja,"5 Mar, 2014","1,99€",
435790,10 Second Ninja X,"19 Jul, 2016","9,99€",
3006930,10 Second Rule: Infinity Labo,"11 Feb, 2025","2,99€",
1130440,10 Second Shuriken,"29 Apr, 2020","4,99€",
3418430,10 Seconds,"30 Jan, 2025",Free,
852190,10 seconds,"16 Jul, 2018","3,99€",
1846020,10 Seconds to Win!,"28 Dec, 2021","0,99€",
339240,10 Years After,"30 Jan, 2015","5,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
1055140,10-4 Indirect Contact,"15 Apr, 2019","3,29€",
3495020,100 Africa Cats,2025,Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
3051050,100 Aztec Cats,"4 May, 2025","0,99€",
3466430,100 Berlin Cats,2025,Free,
2609550,100 Caliber Dash,Q3 2026,,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2784520,100 Cats Argentina,2025,,
2796360,100 Cats Beijing,2025,Free,
2796350,100 Cats Belgrade,"10 Jun, 2025",,
2791650,100 Cats Berlin,"28 Aug, 2024","0,49€",
2784210,100 Cats Greece,2025,,
3561790,100 Cats India,2025,,
3561830,100 Cats Istanbul,2025,,
3561760,100 Cats Italy,2025,,
2784140,100 Cats London,"17 Mar, 2025","1,99€",
3743830,100 Cats Lost In World Find & Color,Coming soon,,
2784250,100 Cats Mexico,"23 Sep, 2024","0,99€",
