appid,name,release_date,promo_price,normal_price
303720,#KILLALLZOMBIES,"10 Aug, 2016","8,19€",
1870660,(Dis)assemble,"25 Sep, 2023","7,79€",
1587630,1 Hop,"22 Apr, 2021","2,39€",
2830760,1 Shot 1 Kill,To be announced,,
787580,10 Pin Bowling (VR Support),"28 May, 2021","8,99€",
2345380,100% Challenge,"24 Apr, 2023",Free,
260790,1001 Spikes,"3 Jun, 2014","9,99€",
3257310,10S FOREVER,May 2025,,
1140110,141,"21 Nov, 2019","9,75€",
2474640,15 Minutes At The World's End,Coming soon,,
322110,20XX,"16 Aug, 2017","14,99€",
2133330,2tinycowboys,"13 Sep, 2022",Free,
504090,3..2..1..Grenades!,"21 Jun, 2017","6,89€",
1029210,30XX,"9 Aug, 2023","19,50€",
859050,360 No Scope!,"28 Aug, 2018","3,99€",
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
416700,5 Minutes Rage - Hatred Edition,"2 Mar, 2018","7,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
382260,8Bit Fiesta - The Drinking Game,"30 Sep, 2016",Free,
3399580,8 YOUs+ (from KUUKIYOMI 4: Consider It),"12 Mar, 2025","2,39€",
739080,9 Monkeys of Shaolin,"16 Oct, 2020","19,99€",
557040,99Vidas,"22 Dec, 2016","12,99€",
2673730,A ARMY BASE,"7 Dec, 2023","0,99€",
1582120,A Couple Of Cubes,Coming soon,,
229810,A Fistful of Gun,"23 Sep, 2015","9,75€",
585190,A Gummy's Life,"2 Oct, 2018","19,99€",
2567670,A Lively Haunt,"7 Sep, 2023","9,75€",
3075170,A Pair of Feathers Squawk Together,"16 Aug, 2024","4,99€",
347280,A Quiver of Crows,"19 Oct, 2016","14,99€",
603530,A Robot Named Fight!,"7 Sep, 2017","12,65€",
963470,A Sound Plan,"30 Apr, 2019","3,99€",
1759720,A Step Forward,"12 Dec, 2021","3,99€",
3365300,A Stitch In Time,To be announced,,
1167730,A Time Paradox,"1 Sep, 2020","9,99€",
3408830,A Tiny Snow Game,"24 Jan, 2025","1,99€",
207650,A Virus Named TOM,"1 Aug, 2012","9,99€",
1222700,A Way Out,"18 Jun, 2020","29,99€",
3010090,Aaero2,"13 Dec, 2024","14,79€",
2984220,Aard and Wyzz: The rise of minions,"15 Jul, 2024",Free,
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
1817500,Abandoned Archive,2025,,
