appid,name,release_date,promo_price,normal_price
708030,,Coming soon,Free,
1059220,'83,Q4 2025,,
2582450,'Sassin,Coming soon,,
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
2859470,.,Coming soon,,
1854900,.G,"10 Jan, 2022","1,59€",
952950,03.04,"1 Jan, 2019",Free,
1101290,0Gravity,"26 Jul, 2019",Free,
2830760,1 Shot 1 Kill,To be announced,,
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
1015140,10 Miles To Safety,"21 Oct, 2020","7,95€",
787580,10 Pin Bowling (VR Support),"28 May, 2021","8,99€",
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
2360940,100 Humans Vs Gorilla,To be announced,,
2597660,100 in 1 Game Collection,"19 Jun, 2025",,
2702970,100 KILLS CHALLENGE,"15 Apr, 2024","2,99€",
2784540,100 KILLS CHALLENGE: ORIGINS,"8 Apr, 2024",Free,
2560380,100 Rounds,"29 Feb, 2024","4,99€",
3146550,100 SCREAMERS,Coming soon,,
282800,100% Orange Juice,"16 May, 2014","6,89€",
1269400,100-Player Twitch Chat Party Pack,"1 Apr, 2020","13,50€",
260790,1001 Spikes,"3 Jun, 2014","9,99€",
368000,100ft Robot Golf,"16 Mar, 2017","9,99€",
3257310,10S FOREVER,May 2025,,
949450,11th Dream,"17 Sep, 2021","9,99€",
529950,12 orbits,"24 Oct, 2016","1,99€",
2113200,1387: MMO Strategy,Coming soon,Free,
2348250,13Z: The Zodiac Trials,To be announced,,
1140110,141,"21 Nov, 2019","9,75€",
1487640,16-Bit Soccer,"7 Jan, 2021","3,99€",
2369760,17.waves TD,2025,,
1269370,171,"17 Nov, 2022","17,99€",
1758370,18Korea,"7 Dec, 2021","16,79€",
373480,1993 Space Machine,"28 Mar, 2016","9,99€",
2484960,1v1 Deathmatch,"2 Aug, 2023","2,99€",
2305790,1v1.LOL - Battle Royale Game,"18 Jun, 2023",Free,
3601150,1！2！3！Battle Card!,Coming soon,,
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
335190,200% Mixed Juice!,"23 Oct, 2015","6,89€",
322110,20XX,"16 Aug, 2017","14,99€",
3031250,21Pirates Card Game,To be announced,,
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
2704120,256vs256,"11 Feb, 2024",Free,
1244520,2D Baseball Duel,"4 May, 2021","2,99€",
2825780,2D?!,"12 May, 2024","8,79€",
3583000,2Deez,July 2025,,
2133330,2tinycowboys,"13 Sep, 2022",Free,
1626980,3 Club Golf,Coming soon,,
2460450,3 Scary Games,"23 Oct, 2023","11,79€",
1344570,300k - The Game,"24 Jul, 2020",Free,
259620,3079 -- Block Action RPG,"14 Nov, 2013","4,99€",
1029210,30XX,"9 Aug, 2023","19,50€",
883100,360 No Scope Arena,"6 Sep, 2018","0,99€",
859050,360 No Scope!,"28 Aug, 2018","3,99€",
3308580,360Hexaworld,Coming soon,Free,
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
1657880,3Cushion Masters,"19 Jul, 2021",Free,
535700,3D Chess,"6 Dec, 2016","3,99€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
2077200,3D Chess Q14,"26 Mar, 2024","2,99€",
492160,3D Pool,"17 Jun, 2016","6,99€",
1292630,3on3 FreeStyle: Rebound,"15 Jul, 2020",Free,
2564630,3XTINCTION,"21 Feb, 2025","7,99€",
772160,4 for the Money Demo,"17 Jan, 2018",Free,
2729720,4 in a row,"8 Jul, 2024","14,99€",
361630,404Sight,"16 Apr, 2015",Free,
1941640,4D Miner,Coming soon,,
1432880,4Line,"30 Dec, 2020","2,39€",
1632020,4Prot,"9 Aug, 2021",Free,
3609170,4STORY : The Original,"29 May, 2025",Free,
1544720,4th & Inches,"5 Mar, 2021","2,84€",
1204230,4th Generation Warfare,"28 Jul, 2022","29,99€",
1416690,4X4 Masters,"25 Sep, 2020","1,59€",
1599170,5 Force Fighters,To be announced,,
2936130,5 Minute Raid,"29 Nov, 2024","4,99€",
416700,5 Minutes Rage - Hatred Edition,"2 Mar, 2018","7,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2835750,50 Floors: The Paranormal Investigators Prologue,"31 May, 2024",Free,
