appid,name,release_date,promo_price,normal_price
2582450,'Sassin,Coming soon,,
2348250,13Z: The Zodiac Trials,To be announced,,
3609170,4STORY : The Original,"11 Jun, 2025",Free,
2936130,5 Minute Raid,"29 Nov, 2024","4,99€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
2075720,9 Days,"8 Mar, 2024","14,79€",
977950,A Dance of Fire and Ice,"24 Jan, 2019","4,99€",
559330,A Fisherman's Tale,"22 Jan, 2019","3,74€",
58550,A Game of Thrones - Genesis,"28 Sep, 2011","9,99€",
1075190,A Game of Thrones: The Board Game - Digital Edition,"6 Oct, 2020","8,99€",
763550,A Journey Through Valhalla,"12 Sep, 2021","4,99€",
3618930,A Kingdom Together,Coming soon,Free,
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
209330,A Valley Without Wind,"24 Apr, 2012","14,79€",
228320,A Valley Without Wind 2,"24 Apr, 2012","14,79€",
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
354200,Aberoth,"17 Jul, 2015",Free,
1788130,Abomifighters: World League,Coming soon,,
1233250,Abracadabrew,"14 Oct, 2020","11,49€",
1456080,Abyss Delvers,2025,,
2244780,Abyss World : Apocalypse,To be announced,Free,
2747280,Abyss: New Dawn,July 2025,,
2496890,Abysswalkers,To be announced,Free,
3291800,Acrogorpon,To be announced,,
1385380,Across the Obelisk,"16 Aug, 2022","19,99€",
2597200,Across the Wonderlands,To be announced,,
2524870,Adrift in the Backrooms,"13 Oct, 2023","6,89€",
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
1050580,Adventure In Aellion,"26 Aug, 2020","4,99€",
901020,Adventure Portal,"31 Oct, 2018","0,99€",
2603930,Adventurer's Gambit: Dungeons of Fortune,Coming soon,,
1668470,Aether Story,Coming soon,Free,
2958610,Aetherdale,To be announced,,
3060390,Aetherian Chronicles,2025,Free,
2572620,Aetherift,Coming soon,,
1786010,AETHERIS,"7 Nov, 2023","23,99€",
2629630,AFK Chess - Chess Auto Battler,Q3 2025,,
3385390,After Nightfall,To be announced,,
2101490,After Wave: Downfall,"19 Jan, 2023","9,75€",
1338490,AFTERBLAST,Q3 2025,,
3149180,Afterblast,Coming soon,,
1491810,Afterland,Coming soon,,
855590,Age of Cards - Ra's Chess,Coming soon,,
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
1426450,Age of Darkness: Final Stand,"15 Jan, 2025","26,99€",
817390,Age of Giants,"16 Apr, 2018","0,79€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
1934680,Age of Mythology: Retold,"4 Sep, 2024","29,99€",
61500,Age of Wonders,"12 Oct, 2010","5,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
61520,Age of Wonders Shadow Magic,"12 Oct, 2010","8,99€",
3220110,Agent Fall,"29 Jan, 2025","4,99€",
3492730,Agora,June 2025,Free,
1059010,AI ARCADE,To be announced,,
1208690,Ailuri,"6 Feb, 2025","14,79€",
261430,AION MMO,"16 Dec, 2015",Free,
2341700,Akpala,"29 Sep, 2023",Free,
867470,Albedon Wars,"7 Nov, 2019","20,99€",
761890,Albion Online,"16 May, 2018",Free,
2208530,Alchemia Story,"22 Feb, 2023",Free,
431450,Alchemist's Awakening,"3 Jun, 2019","9,50€",
3397720,Alchemist: Journey of the Soul Prologue,"30 May, 2025",Free,
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
2870840,Ale & Tale Tavern: First Pints,"20 Jun, 2024",Free,
2948720,Algomancy,Coming soon,Free,
2084590,Alkurai,"9 Mar, 2023","5,30€",
459160,Allods Online,"3 Jun, 2016",Free,
1206600,Almighty: Kill Your Gods,"5 May, 2021","22,49€",
1355560,Aloof,"25 Mar, 2021","3,99€",
2958920,AmberForge,To be announced,Free,
672380,Ameline and the Ultimate Burger,"2 Aug, 2017","3,99€",
2355840,American Christmas 2,Coming soon,,
2131280,Ancient,To be announced,,
2650620,Ancient Stars,Coming soon,Free,
1743880,Andalia,"8 Oct, 2021",Free,
488440,Angeldust,"21 Dec, 2019",Free,
2340180,Angels of Darkness Angels of Light,"15 Apr, 2023",Free,
968190,Angels of Ryina,Coming soon,Free,
2931700,Angry Tiny Sun,To be announced,Free,
822240,Animal Jam,"9 Jan, 2025",Free,
2274010,Animal portal - Puzzle,"31 Jan, 2023","3,99€",
2461140,Animalism,"5 Nov, 2024",Free,
2062840,Animperium,"8 Jan, 2023","0,99€",
2786760,Another Door,2025,,
3618910,Another Level,Coming soon,,
2351990,Anseion - Fantasy MMORPG,December 2025,Free,
2657580,Anterris,To be announced,Free,
3072850,Apeiron,To be announced,Free,
3431700,Apes At Sea,To be announced,Free,
1841690,Apoceus: Winter Wars,2025,,
2109980,Apostate,To be announced,,
3229260,AQUAPAZZA: Aquaplus Dream Match,2025,,
583530,Aquila Bird Flight Simulator,"27 Dec, 2020","3,99€",
2575530,Aradena: Battlegrounds,Coming soon,Free,
1158370,Aragami 2,"17 Sep, 2021","33,99€",
2842430,ARC TCG,"19 Mar, 2024",Free,
3212540,ARCADIA: House of gods,To be announced,,
2504810,Arcane Arena,2025,,
2806840,Arcane Array Arena,"23 Feb, 2024","1,99€",
983790,Arcane Domains,"28 Feb, 2019","1,59€",
1337250,ARCANE DUEL 術法亂鬥,"5 Jul, 2020",,
2621460,Arcane Fighters,"1 Jan, 2024",Free,
2899410,Arcane Raiders,"19 Feb, 2025",Free,
3136450,Arcane spark,"30 Aug, 2024","1,99€",
1787410,Arcane Treasures: Trading Card Game,2025,Free,
1492050,Arcane Wilds,"18 Nov, 2024","17,49€",
1678760,Arcano: The Trickery,"24 Sep, 2021","3,99€",
2844870,Arcanterra,To be announced,Free,
3131770,Arch Legends,"18 Oct, 2024","3,89€",
3244320,Archaeology Rush,To be announced,,
207230,ArcheBlade™,"25 Apr, 2014",Free,
2644490,Archery Showdown,"10 Nov, 2023",Free,
1662150,Ardent Azur,Coming soon,,
2712600,Arena of Faith,"23 Jan, 2025",Free,
1352760,Arena of Ruins,"26 Jul, 2020","11,79€",
2665450,Arena Tails,Coming soon,,
1956740,Argentum Online,"29 Apr, 2022",Free,
1337870,Argy Bargy Legends,"17 Jul, 2020","6,59€",
2050420,ARK 2,To be announced,,
2399830,ARK: Survival Ascended,"26 Oct, 2023","44,99€",
2221270,Arkero VR,"9 May, 2025","17,49€",
1856740,Arkheim - Realms at War,"5 Apr, 2022",Free,
2389770,Arobynn: Below The Surface,"1 Jun, 2023",Free,
3342080,Arobynn: Sword of Adventure,"12 Dec, 2024","19,50€",
1545080,Arran: The Book of Heroes,To be announced,,
2074620,Ars Notoria,Coming soon,,
3384330,Art Strikers,To be announced,,
1336290,ARTHA,"2 Mar, 2021","8,19€",
583950,Artifact,"28 Nov, 2018",Free,
2270400,Artovya,"13 Oct, 2024",Free,
2113570,Ascend: Reborn,"1 Dec, 2022",Free,
1181780,Ascendants Rising,"25 Jun, 2021","16,79€",
1504090,Ascendum,"12 Apr, 2023","13,79€",
320430,Ascension: Deckbuilding Game,"16 Dec, 2014","9,75€",
2270240,Ascribe,Coming soon,Free,
649950,Ashen,"9 Dec, 2019","9,24€",
937380,Ashen Empires,"3 Sep, 2022",Free,
1430970,Astatos,"17 Dec, 2021","14,79€",
2384720,Astebros,"31 May, 2023","12,79€",
2866330,Astera,To be announced,Free,
1584040,Astonia Resurgence,"25 May, 2021",Free,
2484250,ASTRA: Knights of Veda,"2 Apr, 2024",Free,
1790630,Astral Masters,"1 Nov, 2021","3,99€",
266190,Astral Terra,"10 Nov, 2015","9,99€",
3193350,Astralith,To be announced,,
2997190,Astro Arena,"22 Jan, 2025",Free,
1979350,Astro World,Coming soon,,
2549130,ASURAJANG,"27 Mar, 2025",Free,
1731130,At Your Service,Coming soon,,
2403380,ATGANGA: Spectacle for the Gods,Coming soon,,
2463510,Atlas Brave,To be announced,,
