appid,name,release_date,promo_price,normal_price
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
392150,#SkiJump,"28 Jun, 2019","9,99€",
560660,#Utopia,Coming soon,,
1781250,/tilt/,Coming soon,,
1130440,10 Second Shuriken,"29 Apr, 2020","4,99€",
1879620,1000 Needles,"11 Feb, 2022","0,49€",
12520,18 Wheels of Steel: American Long Haul,"29 Jan, 2008","9,99€",
2326890,1980s & 90s Style - Retro Track Car Racer,"8 Mar, 2023","4,99€",
3321610,1St Pc Game In 1958,"15 Nov, 2024","0,99€",
1795830,2021,"11 Nov, 2021","0,79€",
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
2927170,2D Top Racing,"15 Jun, 2024","3,99€",
2240780,307 Racing,"26 Feb, 2023","0,59€",
3390250,32 SECS,"14 Feb, 2025","2,49€",
3651720,3D PUZZLE - Leafless,"20 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
2630820,3D PUZZLE - Harbor,"18 Oct, 2023","37,05€",
2947730,3D PUZZLE - Hospital 1,"9 May, 2024","58,50€",
2973540,3D PUZZLE - Hospital 2,"27 May, 2024","194,99€",
3009820,3D PUZZLE - Hospital 4,"26 Jun, 2024","9,74€",
2670730,3D PUZZLE - Kingdom in dark,"13 Nov, 2023","58,50€",
2423660,3D PUZZLE - LAST OF CITY,"23 May, 2023","23,40€",
2466890,3D PUZZLE - Medieval Inn,"22 Jun, 2023","46,80€",
1885090,3D PUZZLE - Modern House,"9 Feb, 2022","23,40€",
2973560,3D PUZZLE - Old Sea Port,"22 May, 2024","58,50€",
3009770,3D PUZZLE - OldHospital,"26 Jun, 2024","9,74€",
3009800,3D PUZZLE - OutPost,"26 Jun, 2024","9,74€",
3165290,3D PUZZLE - Pirate Tavern,"20 Sep, 2024","9,74€",
2947740,3D PUZZLE - Pirates,"9 May, 2024","58,50€",
2423650,3D PUZZLE - PORT,"23 May, 2023","23,40€",
2703260,3D PUZZLE - Post-Apocalyptic 3,"26 Dec, 2023","5,85€",
3660800,3D PUZZLE - Race Track,"20 May, 2025","116,99€",
3009790,3D PUZZLE - Rusty,"26 Jun, 2024","9,74€",
3079410,3D PUZZLE - Sun Temple,"23 Jul, 2024","194,99€",
3009780,3D PUZZLE - Underground,"26 Jun, 2024","9,74€",
2703210,3D PUZZLE - Wild West,"8 Dec, 2023","194,99€",
2703220,3D PUZZLE - World War II,"8 Dec, 2023","194,99€",
2147950,4D Golf,"22 Mar, 2024","19,50€",
