appid,name,release_date,promo_price,normal_price
1636860,,Coming soon,,
1074060,,Coming soon,,
1045750,,Coming soon,,
1908870,"""LIFE"" not found;","23 Jun, 2022",Free,
3165610,"""Otherworldly: Beginning of the Rift"" Pre-Alpha","16 Sep, 2024",Free,
1377600,"""draw a card"" -Simulator","26 Aug, 2020","1,00€",
782100,#CuteSnake,"15 Mar, 2018","0,99€",
834180,#CuteSnake 2,"20 Apr, 2018","0,99€",
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
1059220,'83,Q4 2025,,
2264840,(para)Normal Commute,Coming soon,Free,
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
3138760,+ PC Maker,2025,,
3292540,+1%,"5 Nov, 2024","0,99€",
2876140,+1x2,"21 Mar, 2024","0,99€",
1961860,- Doki Doki Family - 特異体質者のドキドキ家族生活,"25 May, 2022","15,90€",
1961870,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,"25 May, 2022","15,90€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
2381340,-256,"20 Apr, 2023",Free,
2245980,-HYPERDOPE-,To be announced,,
3382110,-ing Angler,"2 Feb, 2025","2,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
278440,0RBITALIS,"28 May, 2015","7,99€",
2885400,0th floor. - The cursed elevator to floor zero -,"3 Apr, 2024","4,99€",
583570,1-2-Swift,"29 Jan, 2017","2,99€",
3406660,1.96.9 all update,"5 Jan, 2025",Free,
787580,10 Pin Bowling (VR Support),"28 May, 2021","8,99€",
3006930,10 Second Rule: Infinity Labo,"10 Feb, 2025","2,99€",
1704530,100 days,"18 Aug, 2021","1,59€",
2812900,100 Doors Escape - Let me In!,"28 Mar, 2024","9,75€",
2360940,100 Humans Vs Gorilla,To be announced,,
3715540,100 Men vs 1 Gorilla,Coming soon,Free,
3717980,100 Men VS Gorilla,"22 May, 2025","2,99€",
2242070,100%HITS,To be announced,,
1103100,1000 days to escape,"25 Jul, 2019","3,99€",
2320660,1000 Man General,"28 Mar, 2023","9,75€",
1879620,1000 Needles,"11 Feb, 2022","0,49€",
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
2290290,1000 Rogues,To be announced,,
1099840,1000$,"30 Jul, 2019","0,99€",
2656510,100F BLESSING OF THE GUARDIAN,Coming soon,,
761190,1010,"13 Dec, 2017","0,99€",
3064410,10:59,"15 Jul, 2024","4,71€",
1431220,"10mg: SLASHER, Interrupted","15 Oct, 2020","1,59€",
793460,112 Operator,"23 Apr, 2020","4,19€",
1063560,12 HOURS,"8 Jun, 2019","2,24€",
1126840,12 HOURS 2,"21 Aug, 2019","3,29€",
1703470,12 locks and keys,"11 Aug, 2021","0,62€",
3297440,123 wooden figures,"13 Dec, 2024","0,99€",
3031590,13F,"20 Jun, 2024","3,99€",
2889370,13层：公寓异常管理员 13 Floors: Anomalies,"4 Apr, 2024","0,99€",
3387100,15 Minutes,2025,,
2834370,15th Floor,"5 Apr, 2024","3,99€",
3202260,15th Prison,"20 May, 2025","3,59€",
986770,16 Planes:Return,Coming soon,,
1784970,1630 - The Thirty Years' War,Coming soon,,
3224250,16: The Art of the 15,Coming soon,,
375460,16bit Trader,"4 Jun, 2015","2,99€",
514160,18 Wheels of Steel: Across America,"26 Aug, 2016","5,49€",
12520,18 Wheels of Steel: American Long Haul,"29 Jan, 2008","5,49€",
514170,18 Wheels of Steel: Convoy,"2 Sep, 2016","5,49€",
33730,18 Wheels of Steel: Extreme Trucker,"23 Sep, 2009","5,49€",
362780,18 Wheels of Steel: Extreme Trucker 2,"8 May, 2015","5,49€",
1318750,18 Wheels of Steel: Hard Truck,"19 Mar, 2021","4,50€",
514180,18 Wheels of Steel: Haulin’,"9 Sep, 2016","5,49€",
337460,18 Wheels of Steel: Pedal to the Metal,"5 Jun, 2020","4,50€",
1486900,18 ЕСТЬ?,Coming soon,,
3027700,180 Seconds: A Firefighter's Call,July 2025,,
290970,1849,"8 May, 2014","14,99€",
1758370,18Korea,"7 Dec, 2021","16,79€",
334850,1931: Scheherazade at the Library of Pergamum,"26 Mar, 2015","1,99€",
347230,1942: The Pacific Air War,"1 Apr, 2015","6,99€",
1118070,1976 - Back to midway,"10 Dec, 2020","12,49€",
2326890,1980s & 90s Style - Retro Track Car Racer,"8 Mar, 2023","4,99€",
2390780,1984,To be announced,,
3593470,1992: Rasputie,2026,,
3273530,1998: The Toll Keeper Story,To be announced,,
3485400,19th-century Printing Press Experience VR,"19 Feb, 2025",Free,
2305790,1v1.LOL - Battle Royale Game,"18 Jun, 2023",Free,
3601150,1！2！3！Battle Card!,Coming soon,,
700200,20 Minute Metropolis - The Action City Builder,"3 Sep, 2020","2,99€",
1360620,"20,000 Miles Under the Sea","27 Jul, 2020",Free,
2376740,200 DAYS Zombie Apocalypse,"4 May, 2023","8,79€",
2542440,2024 U.S. Election Simulator,"30 Aug, 2023","2,92€",
3696710,2025,June 2025,Free,
1752890,2030,"22 Feb, 2022","4,99€",
1833670,2048 3D,"15 Dec, 2021","0,79€",
607660,21 Days,"16 Jun, 2017","1,99€",
3031250,21Pirates Card Game,To be announced,,
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
2704120,256vs256,"12 Feb, 2024",Free,
2377520,2D Dogfight,"1 May, 2023","4,99€",
696880,2D Paintball,"1 May, 2019","12,49€",
1230860,2MD: VR Football Evolution,"1 Apr, 2020","10,79€",
2091930,2MD:VR Football Unleashed ALL✰STAR,"20 Sep, 2022","12,49€",
3446810,Slime Bros. Maker,Coming soon,Free,
2699510,2番線 | Nibansen,"19 Jan, 2024","4,99€",
1182040,3 Blind Mice: A Remediation Game for Improper Children,"8 Nov, 2019",Free,
462110,3 Coins At School,"20 Apr, 2016","0,49€",
2217540,3 Households,"2 Dec, 2022","13,79€",
988080,3 on 3 Super Robot Hockey,"6 Apr, 2019","3,99€",
