appid,name,release_date,promo_price,normal_price
1356840,,Coming soon,,
1718090,,Coming soon,,
1045750,,Coming soon,,
2942140,,To be announced,,
1994240,,Coming soon,,
3582290,!mrak,2025,,
1908870,"""LIFE"" not found;","23 Jun, 2022",Free,
1377600,"""draw a card"" -Simulator","26 Aug, 2020","1,00€",
2983840,#!/bin/bash,"27 May, 2024","1,99€",
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
861520,#AkiRobots,"4 Dec, 2020","6,99€",
1921480,#BLUD,"18 Jun, 2024","24,99€",
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
2164050,#INNER UNIVERSE 1F0000,2025,,
614910,#monstercakes,"5 May, 2017","0,99€",
1530070,#Snake2 DX: Reawakening,"28 Feb, 2021","1,59€",
879270,'1st Core: The Zombie Killing Cyborg',"30 Jun, 2018","2,99€",
3391910,'Golden Castle',"28 Mar, 2025","5,89€",
1364510,'Member the Alamo?,"30 Oct, 2020","3,99€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
2582450,'Sassin,Coming soon,,
3207450,(a)woken,Coming soon,,
1870660,(Dis)assemble,"25 Sep, 2023","7,79€",
2264840,(para)Normal Commute,Coming soon,Free,
2061630,(square),"8 Aug, 2022",Free,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
3496710,(the) Rise of Willy,Coming soon,Free,
2388360,"(val)iant: or, val's guide to having a broken vag","1 Jun, 2023",Free,
1965790,(Virus_);,To be announced,,
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
