appid,name,release_date,promo_price,normal_price
2101450,,Coming soon,,
1045750,,Coming soon,,
1994240,,Coming soon,,
3582290,!mrak,2025,,
2243560,"""I Know This Place..?"" chapter I (prologue)","20 Apr, 2023","1,42€",
3165610,"""Otherworldly: Beginning of the Rift"" Pre-Alpha","16 Sep, 2024",Free,
3342050,#7-J5Z: The Driftwood Experiment,"30 Apr, 2025",Free,
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
2582450,'Sassin,Coming soon,,
1737960,(Old steam page),To be announced,,
3731150,(The Lingering) Graveyard Visit,Q2 2025,,
3518780,(The Lingering) Last Customer,"24 Mar, 2025","5,89€",
3496710,(the) Rise of Willy,Coming soon,Free,
2381340,-256,"20 Apr, 2023",Free,
1833060,-HOME- Survival,"12 Jul, 2024","8,79€",
2245980,-HYPERDOPE-,To be announced,,
2859470,.,Coming soon,,
3197050,.redruM,"17 Oct, 2024","4,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
3396850,/R - A Neurodivergent Thriller,"23 Jan, 2025","6,89€",
2706960,027,"31 Dec, 2023",Free,
3164120,0927,"29 Aug, 2024","6,89€",
2218760,0xFF,"28 Mar, 2023","11,79€",
670750,0°N 0°W,"1 Mar, 2018","4,99€",
1587630,1 Hop,"22 Apr, 2021","2,39€",
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
3359690,1-Bit Explorer,"20 Dec, 2024",Free,
3014150,1/8192,"22 Jun, 2024","2,99€",
3006930,10 Second Rule: Infinity Labo,"10 Feb, 2025","2,99€",
3495020,100 Africa Cats,2025,Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
3051050,100 Aztec Cats,"4 May, 2025","0,99€",
3466430,100 Berlin Cats,2025,Free,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2784520,100 Cats Argentina,2025,,
2796360,100 Cats Beijing,2025,Free,
2796350,100 Cats Belgrade,"9 Jun, 2025",,
2791650,100 Cats Berlin,"27 Aug, 2024","0,49€",
2784210,100 Cats Greece,2025,,
3561790,100 Cats India,2025,,
2784140,100 Cats London,"16 Mar, 2025","1,99€",
3743830,100 Cats Lost In World Find & Color,Coming soon,,
2784250,100 Cats Mexico,"22 Sep, 2024","0,99€",
2782380,100 Cats New York,"27 Aug, 2024",Free,
2784280,100 Cats Pakistan,2025,Free,
2800300,100 Cats Singapore,"1 Nov, 2024","0,49€",
3693530,100 Cats World,Coming soon,,
856260,100 Chests,"15 Jun, 2018","2,39€",
3141120,100 China Cats,Coming soon,Free,
2687190,100 Christmas Cats,"1 Dec, 2023",Free,
2954460,100 Crime Cats,Coming soon,,
3495030,100 Cyprus Cats,2025,Free,
1704530,100 days,"18 Aug, 2021","1,59€",
2803000,100 Dino Cats,"26 Feb, 2024",Free,
3048670,100 Dogs,"14 Jul, 2024","3,99€",
1684530,100 Doors: Escape from Work,"2 Mar, 2022","8,19€",
3495040,100 Dubai Cats,2025,Free,
3017380,100 Egypt Cats,"17 Apr, 2025","0,99€",
3141080,100 Fantasy Cats,Coming soon,,
2954560,100 Forest Cats,"18 May, 2025","0,89€",
2881230,100 Funny Cats,"1 Apr, 2024",Free,
3466440,100 Greece Cats,2025,Free,
1493300,100 hidden aliens,"20 Dec, 2020","1,99€",
1834310,100 Hidden Animalnaults - Felicat & Laika,"20 Dec, 2021","1,99€",
1473050,100 hidden birds,"2 Dec, 2020","1,99€",
1766790,100 hidden birds 2,"8 Oct, 2021","2,99€",
3288020,100 Hidden Capybaras,To be announced,,
1587560,100 hidden cats,"16 Apr, 2021","1,99€",
1679320,100 hidden cats 2,"18 Jul, 2021","2,99€",
3464500,100 hidden Cats : Playground,"6 Feb, 2025","1,49€",
2701240,100 Hidden Cats in America,"18 Dec, 2023",Free,
1740240,100 hidden cups,"15 Sep, 2021","0,49€",
1773890,100 hidden dogs,"15 Oct, 2021","1,99€",
1806840,100 hidden frogs,"15 Nov, 2021",Free,
1932230,100 hidden hares,"10 Jun, 2022","2,99€",
3245740,100 Hidden Kooky & Hiking Boots,"25 Oct, 2024","1,99€",
2746760,100 Hidden Kooky - Sand & Sun,"7 Jan, 2024","1,50€",
1522560,100 hidden mice,"27 Jan, 2021","1,99€",
1573750,100 hidden mushrooms,"23 Mar, 2021","1,99€",
1708190,100 hidden rams,"21 Aug, 2021","1,99€",
