appid,name,release_date,promo_price,normal_price
1994240,,Coming soon,,
2243560,"""I Know This Place..?"" chapter I (prologue)","20 Apr, 2023","1,42€",
1908870,"""LIFE"" not found;","23 Jun, 2022",Free,
3165610,"""Otherworldly: Beginning of the Rift"" Pre-Alpha","16 Sep, 2024",Free,
2983840,#!/bin/bash,"27 May, 2024","1,99€",
1921480,#BLUD,"18 Jun, 2024","24,99€",
1364510,'Member the Alamo?,"30 Oct, 2020","3,99€",
3207450,(a)woken,Coming soon,,
1737960,(Old steam page),To be announced,,
2388360,"(val)iant: or, val's guide to having a broken vag","1 Jun, 2023",Free,
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
1961860,- Doki Doki Family - 特異体質者のドキドキ家族生活,"25 May, 2022","15,90€",
1961870,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,"25 May, 2022","15,90€",
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,"23 Nov, 2022","6,10€",
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"23 Nov, 2022","6,10€",
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"23 Nov, 2022","6,10€",
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,"23 Nov, 2022","6,10€",
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,"23 Nov, 2022","6,10€",
729370,-KLAUS-,"23 Jan, 2019","4,99€",
1467600,.,"2 Dec, 2020","0,79€",
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
3347280,.HEADSPACE,Coming soon,,
3197050,.redruM,"17 Oct, 2024","4,99€",
2132900,/Conspiracy/ Girls >The Madness of Madison Delaroux,"20 Oct, 2022","14,99€",
3498310,1 Bit Hero,Coming soon,,
2149630,1 Trait Escape,"7 Dec, 2024","12,79€",
3359690,1-Bit Explorer,"20 Dec, 2024",Free,
1564540,10 Dead Doves,"13 Dec, 2024","24,50€",
3006930,10 Second Rule: Infinity Labo,"10 Feb, 2025","2,99€",
3146550,100 SCREAMERS,Coming soon,,
1141260,1000 Deaths (Thousand Deaths),Coming soon,,
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
3372500,1000: The All-Mother's Embrace,Coming soon,,
1675830,1000xRESIST,"9 May, 2024","19,50€",
2542850,1001 Nights,To be announced,,
3140910,100th Bug Brigade,"11 Apr, 2025",Free,
913850,103,"21 Dec, 2018","3,99€",
3159900,108 Silly Ways to Die,"11 Feb, 2025","8,83€",
1418520,109 Remastered,"4 Nov, 2020","0,99€",
1415480,10mg: Locked In,"15 Oct, 2020","2,39€",
1435480,10mg: Sealed Estate,"15 Oct, 2020","1,99€",
1431220,"10mg: SLASHER, Interrupted","15 Oct, 2020","1,59€",
1404050,10mg: Stroke,"15 Oct, 2020","1,59€",
735580,11-11 Memories Retold,"8 Nov, 2018","24,99€",
1126840,12 HOURS 2,"20 Aug, 2019","3,29€",
1727990,13 WOOD ST,"1 Oct, 2021","9,75€",
2915860,1306 Chapter 1: Reactors & Robots,"7 May, 2025",Free,
1758220,13:ORIGIN - Chapter One,"28 Jul, 2023","1,76€",
1689680,13:ORIGIN - Prologue,"27 Aug, 2021",Free,
1043350,1406,"21 Mar, 2019","5,89€",
2341600,1414: Crossroads,"27 Mar, 2023","8,79€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
2691090,14: Overmind,2025,,
2231070,150 Floors,Q3 2025,,
1784970,1630 - The Thirty Years' War,Coming soon,,
3511960,"17 ways to not die (or not, IDK) - Interactive Movie",Coming soon,Free,
2633200,18 MINUTES,"28 Nov, 2023","14,79€",
1282650,180 Files: The Aegis Project,"9 Jul, 2020","5,89€",
3429680,1899: Secrets of the Maze,Coming soon,,
2773230,18Hell:Lost,"19 Apr, 2024","7,79€",
1352230,1917 : The Prologue,"6 Nov, 2020","8,19€",
248490,1953 - KGB Unleashed,"20 Sep, 2013","2,99€",
255280,1954 Alcatraz,"11 Mar, 2014","9,99€",
1186630,1971 PROJECT HELIOS,"9 Jun, 2020","9,99€",
1118070,1976 - Back to midway,"10 Dec, 2020","12,49€",
388320,1979 Revolution: Black Friday,"4 Apr, 2016","8,19€",
2390780,1984,To be announced,,
3273530,1998: The Toll Keeper Story,To be announced,,
1805730,19|19,Coming soon,,
618720,1bitHeart,"28 Aug, 2017","1,19€",
1647740,1f y0u're a gh0st ca11 me here! 幽铃热线,"1 Nov, 2021","5,69€",
3160120,1K - Small Room -,To be announced,,
3208890,Villa No. 1,Coming soon,,
3550190,2-Headed Boy,To be announced,Free,
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
2761160,2007,2025,,
