appid,name,release_date,promo_price,normal_price
1074060,,Coming soon,,
2942140,,To be announced,,
388390,"""Glow Ball"" - The billiard puzzle game","20 Jul, 2015","2,99€",
1102740,"""Going Up?""","19 Apr, 2020",Free,
879270,'1st Core: The Zombie Killing Cyborg',"30 Jun, 2018","2,99€",
1059220,'83,Q4 2025,,
2582450,'Sassin,Coming soon,,
1870660,(Dis)assemble,"25 Sep, 2023","7,79€",
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,"13 Jul, 2021",Free,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
1692280,- R E F L E C T E D -,"11 Aug, 2021","1,99€",
2691350,.Forty-Five,"24 Mar, 2024",Free,
554920,0 Day,"15 Nov, 2016","6,99€",
1672480,0 World TD,Coming soon,,
2706960,027,"31 Dec, 2023",Free,
2218760,0xFF,"28 Mar, 2023","11,79€",
2493160,1 Bit Survivor,"11 Aug, 2023","3,99€",
1015140,10 Miles To Safety,"21 Oct, 2020","7,95€",
3418430,10 Seconds,"30 Jan, 2025",Free,
227580,"10,000,000","15 Jan, 2013","4,99€",
1055140,10-4 Indirect Contact,"15 Apr, 2019","3,29€",
3717980,100 Men VS Gorilla,"22 May, 2025","2,99€",
553830,100 nya,"12 Nov, 2016","8,19€",
2374420,100 Steps,"17 Oct, 2023","1,59€",
1025530,100 Years’ War,"9 Aug, 2019","8,19€",
282800,100% Orange Juice,"16 May, 2014","6,89€",
2725950,100% Plasma Vitae,"28 Mar, 2025","4,99€",
2242070,100%HITS,To be announced,,
2320660,1000 Man General,"28 Mar, 2023","9,75€",
3434280,1000 Missiles: Defense of Tornwa,"21 Jan, 2025","2,99€",
1879620,1000 Needles,"11 Feb, 2022","0,49€",
2948020,1000 Seconds,"6 Feb, 2025","2,99€",
3312510,1000 Waves,"21 Nov, 2024","5,89€",
1157020,1001 Hugs,"26 Sep, 2019",Free,
3140910,100th Bug Brigade,"11 Apr, 2025",Free,
413480,101 Ways to Die,"17 Mar, 2016","9,99€",
761190,1010,"13 Dec, 2017","0,99€",
793460,112 Operator,"23 Apr, 2020","4,19€",
342580,12 Labours of Hercules,"23 Mar, 2015","2,99€",
360640,12 Labours of Hercules II: The Cretan Bull,"5 Jun, 2015","2,99€",
360650,12 Labours of Hercules III: Girl Power,"7 Aug, 2015","2,99€",
396800,12 Labours of Hercules IV: Mother Nature (Platinum Edition),"25 Dec, 2015","2,99€",
1026070,12 Labours of Hercules IX: A Hero's Moonwalk,"24 Oct, 2019","9,99€",
491330,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),"17 Jun, 2016","2,99€",
567800,12 Labours of Hercules VI: Race for Olympus (Platinum Edition),"21 Dec, 2016","2,99€",
663210,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),"12 Jan, 2018","2,99€",
938310,12 Labours of Hercules VIII: How I Met Megara,"26 Dec, 2018","2,39€",
1191280,12 Labours of Hercules X: Greed for Speed,"22 Apr, 2020","9,99€",
1402350,12 Labours of Hercules XI: Painted Adventure,"18 Nov, 2020","9,99€",
1475650,12 Labours of Hercules XII: Timeless Adventure,"28 Jun, 2021","9,99€",
1720780,12 Labours of Hercules XIII: Wonder-ful Builder,"3 Jan, 2022","9,99€",
1912330,12 Labours of Hercules XIV: Message in a Bottle,"24 Oct, 2022","9,99€",
2324370,12 Labours of Hercules XV: Little Big Adventure,"14 Aug, 2023","11,79€",
2700260,12 Labours of Hercules XVI: Olympic Bugs,"2 Feb, 2024","11,79€",
3163110,12 Labours of Hercules XVII: Feathered Fury,"14 Oct, 2024","11,79€",
1703470,12 locks and keys,"11 Aug, 2021","0,62€",
551190,123 Slaughter Me Street 2,"1 Nov, 2016","3,99€",
3297440,123 wooden figures,"13 Dec, 2024","0,99€",
814510,1248,"7 Mar, 2019","1,99€",
2503990,13 Playing Cards Of Demon,Coming soon,,
2915860,1306 Chapter 1: Reactors & Robots,"7 May, 2025",Free,
2113200,1387: MMO Strategy,Coming soon,Free,
1865060,14 Minesweeper Variants,"14 Nov, 2022","6,89€",
2231070,150 Floors,Q3 2025,,
2680390,15in1 Solitaire,"22 Feb, 2024","2,99€",
1784970,1630 - The Thirty Years' War,Coming soon,,
3224250,16: The Art of the 15,Coming soon,,
375460,16bit Trader,"4 Jun, 2015","2,99€",
3128470,16X16,"28 Feb, 2025","0,99€",
2369760,17.waves TD,2025,,
422610,1775: Rebellion,"29 Sep, 2016","22,99€",
3027700,180 Seconds: A Firefighter's Call,July 2025,,
1166230,1812: Napoleon Wars,"17 Oct, 2019","5,54€",
555370,1812: The Invasion of Canada,"4 Aug, 2017","22,99€",
290970,1849,"8 May, 2014","14,99€",
1758370,18Korea,"7 Dec, 2021","16,79€",
470060,1917 - The Alien Invasion DX,"10 Jun, 2016","3,82€",
2236080,1941 - Operation Barbarossa,"6 Jan, 2023","4,99€",
347230,1942: The Pacific Air War,"1 Apr, 2015","6,99€",
616750,1943 Deadly Desert,"15 May, 2018","9,99€",
325470,1953: NATO vs Warsaw Pact,"2 Mar, 2025","0,99€",
1186630,1971 PROJECT HELIOS,"9 Jun, 2020","9,99€",
575880,1979 Invasion Earth,"19 Jan, 2017","0,99€",
1397010,1980,"31 Aug, 2020",Free,
3593470,1992: Rasputie,2026,,
2641810,1BIT CASTLE REMAKE,"18 Jun, 2024","3,99€",
3601150,1！2！3！Battle Card!,Coming soon,,
3407980,2 Minutes to Die,"2 Jan, 2025","0,99€",
657110,2 Planets Fire and Ice,"7 Aug, 2017","8,99€",
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
700200,20 Minute Metropolis - The Action City Builder,"3 Sep, 2020","2,99€",
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
1795830,2021,"11 Nov, 2021","0,79€",
2542440,2024 U.S. Election Simulator,"30 Aug, 2023","2,92€",
3058100,2033 the order,"19 Jul, 2024","3,99€",
942050,2048,"1 Nov, 2018","7,99€",
2834690,2048 - Dungeons,Coming soon,,
1833670,2048 3D,"15 Dec, 2021","0,79€",
1665810,2048 Royal Cards,"9 Dec, 2021","2,99€",
1653770,2089 - Space Divided,"30 Nov, 2024","14,99€",
2578510,20MTD: Emberpath,To be announced,,
2223590,2112TD: Tower Defense Survival,"19 Jan, 2023","4,69€",
3031250,21Pirates Card Game,To be announced,,
3098160,The World 21: Gambit Abyss,Coming soon,,
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
1715840,25 Layers of Pain,"13 Oct, 2021",Free,
2704120,256vs256,"12 Feb, 2024",Free,
3395920,25920,"25 Dec, 2024",Free,
855010,270 | Two Seventy US Election,"31 May, 2018",Free,
