appid,name,release_date,promo_price,normal_price
879270,'1st Core: The Zombie Killing Cyborg',"30 Jun, 2018","2,99€",
3431530,-placeholder Name-,Coming soon,,
2859470,.,Coming soon,,
3396850,/R - A Neurodivergent Thriller,"23 Jan, 2025","6,89€",
2706960,027,"31 Dec, 2023",Free,
952950,03.04,"1 Jan, 2019",Free,
2493160,1 Bit Survivor,"11 Aug, 2023","3,99€",
3118850,10 Blaze Escape,"12 Feb, 2025","2,99€",
1564540,10 Dead Doves,"13 Dec, 2024","24,50€",
3418430,10 Seconds,"30 Jan, 2025",Free,
282800,100% Orange Juice,"16 May, 2014","6,89€",
2480720,10MINUTES,"31 Aug, 2023","7,79€",
1345080,12 Hours to Die,"5 Jul, 2020",Free,
551190,123 Slaughter Me Street 2,"31 Oct, 2016","3,99€",
3305700,13km Deep,To be announced,,
3429680,1899: Secrets of the Maze,Coming soon,,
3235920,2 Hours Later,Coming soon,,
2495340,20 Doors,"21 Jul, 2023","14,79€",
2196390,2022生存指南 2022 SURVIVAL GUIDE,"14 Mar, 2023","2,99€",
1752890,2030,"21 Feb, 2022","4,99€",
3142760,209,"28 Aug, 2024","4,99€",
3098160,The World 21: Gambit Abyss,Coming soon,,
444420,24 Hours 'til Rescue,"19 Feb, 2016","3,99€",
904860,25 Cadre of Death,"22 Oct, 2018","5,89€",
435100,2Dark,"10 Mar, 2017","24,99€",
936510,2nd Circle - Powerful Magic,"18 Oct, 2018","2,99€",
2483920,2x4 Nails,"19 Mar, 2024","4,99€",
3684010,3 Hell,Coming soon,,
3187790,3199,Coming soon,,
466500,35MM,"27 May, 2016","8,79€",
2909280,3AM CORP: The Balbazar Resort,"5 Jun, 2024",Free,
1269700,4 Minutes to the Apocalypse,Coming soon,,
1705880,4 Months of You,"29 Aug, 2021","6,89€",
3721040,404 Breakpoint,2025,,
1960620,4d Chess,"12 Jul, 2022","3,99€",
2099900,4X4,"5 Oct, 2022","4,99€",
3583060,5 NIGHTS AT BOBR KURWA,"28 Mar, 2025","2,24€",
3296200,5 nights at Timokha 4: School,"20 Dec, 2024","1,99€",
2324930,50 Rounds,"29 Mar, 2023","0,99€",
1063230,6120,"19 Apr, 2019","4,99€",
1683290,666 Masks,Coming soon,,
512410,69 Ways to Kill a Zombie,"8 Jun, 2017","0,99€",
712080,7 Bones and 7 Stones - The Ritual,"20 Oct, 2020",Free,
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
2221820,7 Sins : Lost in Labyrinth,"10 Feb, 2023","3,99€",
3019060,7Years,Q2 2025,,
2366080,911: Cannibal,"14 Apr, 2023","3,99€",
2537120,911: Prey,"16 Aug, 2023","3,99€",
3322640,99% - 残された被検体 -,"21 Jan, 2025","5,89€",
2606810,>HAL_4,Coming soon,,
3659180,?? Movie Theater,"16 May, 2025","4,49€",
3145780,[ANOMALY TAPES]: Beyond Reality,"28 Oct, 2024","9,75€",
1130620,[Chilla's Art] Aka Manto | 赤マント,"24 Sep, 2019","4,49€",
1400290,[Chilla's Art] Hanako | 花子さん,"12 Dec, 2020","7,01€",
1267310,[Chilla's Art] Onryo | 怨霊,"25 Apr, 2020","4,49€",
1503670,[Chilla's Art] The Caregiver | 終焉介護,"3 Apr, 2021","4,49€",
1843090,[Chilla's Art] The Closing Shift | 閉店事件,"19 Mar, 2022","5,30€",
2200190,[Chilla's Art] The Karaoke | ヒトカラ🎤,"4 Feb, 2023","5,30€",
2593900,[Chilla's Art] The Kidnap | 誘拐事件,"1 Nov, 2023","8,77€",
1191070,[Chilla's Art] Yuki Onna | 雪女,"3 Jan, 2020","4,49€",
2800410,[WIP] 100 HIDDEN CATS,Coming soon,,
3290130,A Deep World,Q2 2025,Free,
2497920,A Difficult Game About Climbing,"6 Mar, 2024","9,75€",
2385800,A Good Place To Die,"31 Jan, 2024","1,99€",
1275450,A letter to you!,"24 Sep, 2020","6,48€",
2063260,A Long Time Ago,"26 Feb, 2026",,
2631270,A Mausoleum for All,To be announced,,
1877820,A Moustache in the House 2,"21 Feb, 2022","3,50€",
2515300,A Night in Prison,"6 Aug, 2023","0,69€",
1900650,A Night With Gigsjaw VR,"27 Feb, 2022","0,99€",
2403020,A Priest Walks Into a Graveyard,"20 May, 2023","0,99€",
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
1387210,A Short Tale of Solitude,2025,,
2706400,A Silent Desolation,Coming soon,,
3118700,A Simple Door,Coming soon,,
2450620,A Tale of Moss & Bone,To be announced,Free,
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
2262410,A Terrible Place,"4 Mar, 2023","4,99€",
2929020,A Twisted Place,2025,,
1383690,A Wake Inn,"25 Feb, 2021","16,79€",
1645700,A Wake Inn: Rebooked,2027,,
842420,A Walk in the Woods,"1 May, 2018",Free,
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
578210,A-Tech Cybernetic VR,"28 Mar, 2020","12,49€",
909170,"A.D.M(Angels,Demons And Men)","15 Aug, 2018","0,99€",
2695430,A.I.L.A,Coming soon,,
3459900,A.M.C.A.: Monitor,Coming soon,,
2590550,AAS Mos Apocalypse,"2 Aug, 2025",,
2341220,Abaddon,2025,,
2678950,Abandoned Cabins in the Woods,"16 Nov, 2023","3,99€",
1661380,Abandoned Croxon Mansion,"16 Jul, 2021","3,99€",
3683880,Abandoned Hospital,Coming soon,,
2412490,Abandoned Souls,"14 Jul, 2023","4,99€",
2300600,Abandoned World,"16 May, 2023","6,89€",
1425190,Abducted: The Night Hunters,"1 Jul, 2021","14,79€",
1822770,Abduction,"6 Jan, 2022","8,19€",
1439130,ABH,"3 Nov, 2020","1,59€",
2692600,Abondoned village,Coming soon,,
2602790,Above the Hill,"5 Jan, 2024","4,99€",
1201090,Abstraction,Coming soon,,
1562020,Abyss of Neptune,"26 Apr, 2021",Free,
3401570,Abyss Ring,Q4 2025,,
2473710,Abyss School,"19 Jan, 2024","3,99€",
3647630,Abyssal Trench,"26 Apr, 2025","3,99€",
2065560,Acanthoceras,"21 Jul, 2022","1,99€",
3581160,Accelerate,"6 Jun, 2025",,
1351290,AccidentHouse,"22 Dec, 2020","3,99€",
3533520,Accursed Isle: Survival,"12 Mar, 2025","4,99€",
2932900,Acre Crisis,"18 Jul, 2024","4,99€",
1533610,Across Killzone,"15 Feb, 2021","0,79€",
1390070,Ad Infernum,"29 Feb, 2024","9,75€",
1234430,Ad Infinitum,"14 Sep, 2023","34,99€",
3291870,Addled Clicker,"14 Nov, 2024","2,99€",
3715630,Adohiinage,"27 May, 2025",,
