appid,name,release_date,promo_price,normal_price
814940,,Coming soon,,
2942140,,To be announced,,
1045750,,Coming soon,,
2556940,! Shakabula *,"13 Oct, 2023","14,79€",
870990,!LABrpgUP!,"13 Jun, 2018","0,79€",
1102740,"""Going Up?""","19 Apr, 2020",Free,
879270,'1st Core: The Zombie Killing Cyborg',"30 Jun, 2018","2,99€",
3391910,'Golden Castle',"28 Mar, 2025","5,89€",
1737960,(Old steam page),To be announced,,
603750,- Arcane Raise -,"10 Mar, 2017","0,99€",
1467600,.,"2 Dec, 2020","0,79€",
1963980,...,"4 May, 2022","2,20€",
3014650,.45 PARABELLUM BLOODHOUND - Cyberpunk Active Time Action,To be announced,,
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
3714100,.V: Valor Runs Deep,To be announced,,
3632010,//signal.,"18 May, 2025","6,61€",
355430,//SNOWFLAKE TATTOO//,"27 Mar, 2015","4,49€",
3359690,1-Bit Explorer,"20 Dec, 2024",Free,
227580,"10,000,000","15 Jan, 2013","4,99€",
2360940,100 Humans Vs Gorilla,To be announced,,
3717980,100 Men VS Gorilla,"22 May, 2025","2,99€",
1363020,100-Level Dungeon,"23 Jul, 2020","1,99€",
1879620,1000 Needles,"11 Feb, 2022","0,49€",
2290290,1000 Rogues,To be announced,,
2948020,1000 Seconds,"6 Feb, 2025","2,99€",
3312510,1000 Waves,"21 Nov, 2024","5,89€",
2542850,1001 Nights,To be announced,,
2172410,100animalease,"25 Dec, 2022","6,89€",
2656510,100F BLESSING OF THE GUARDIAN,Coming soon,,
3140910,100th Bug Brigade,"11 Apr, 2025",Free,
3164560,100 Wars,"15 Oct, 2024","0,75€",
3159900,108 Silly Ways to Die,"11 Feb, 2025","8,83€",
1413790,10mg: HANDMADEDEATHLABYRINTH issue 0,"15 Oct, 2020","2,39€",
1431220,"10mg: SLASHER, Interrupted","15 Oct, 2020","1,59€",
3297440,123 wooden figures,"13 Dec, 2024","0,99€",
3031590,13F,"20 Jun, 2024","3,99€",
2348250,13Z: The Zodiac Trials,To be announced,,
2341600,1414: Crossroads,"26 Mar, 2023","8,79€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
2449060,15 Minutes Dungeon,"27 Jun, 2023","2,99€",
2231070,150 Floors,Q3 2025,,
986770,16 Planes:Return,Coming soon,,
375460,16bit Trader,"4 Jun, 2015","2,99€",
3210160,16BitSurvivors,"7 Jan, 2025","6,00€",
1282650,180 Files: The Aegis Project,"9 Jul, 2020","5,89€",
2773230,18Hell:Lost,"19 Apr, 2024","7,79€",
627950,1914: Prelude to Chaos,"8 May, 2017","0,99€",
334850,1931: Scheherazade at the Library of Pergamum,"26 Mar, 2015","1,99€",
2147580,1990,"3 Oct, 2022",Free,
1519920,1M84,Coming soon,,
332710,1Quest,"3 Dec, 2014","3,99€",
1045930,1vs1: Battle Royale for the throne,"27 Mar, 2019","0,49€",
3208890,Villa No. 1,Coming soon,,
3235920,2 Hours Later,Coming soon,,
3634950,"2,4D Game",Coming soon,Free,
3550190,2-Headed Boy,To be announced,Free,
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
335190,200% Mixed Juice!,"23 Oct, 2015","6,89€",
575600,2017 VR,"9 May, 2017","19,99€",
2196390,2022生存指南 2022 SURVIVAL GUIDE,"15 Mar, 2023","2,99€",
2834690,2048 - Dungeons,Coming soon,,
2578510,20MTD: Emberpath,To be announced,,
582840,20something,"26 Jan, 2017","2,99€",
2788440,A 20-year-old RPG Maker game remade with the latest RPG MAKER UNITE and available for free?! ~The Heroes of the RPG Maker series vs. the Demon Lord~,"6 Mar, 2025",Free,
3098160,The World 21: Gambit Abyss,Coming soon,,
1192630,23UL,"26 Oct, 2021","1,59€",
2761830,24,"27 Jun, 2025",,
444420,24 Hours 'til Rescue,"19 Feb, 2016","3,99€",
1668310,24 Killers,"9 Mar, 2023","16,79€",
2825780,2D?!,"12 May, 2024","8,79€",
2556870,2nd child,"13 May, 2026",Free,
936510,2nd Circle - Powerful Magic,"18 Oct, 2018","2,99€",
3516780,2nd EVE,To be announced,,
1881790,3 DAYS: Ghosts of War,Coming soon,,
2243470,3 Last Chances,2026,,
278530,3 Stars of Destiny,"28 Mar, 2014","14,79€",
1523500,3 TACTICAL LINES,"24 May, 2021","3,29€",
1995220,30 days in red army,"22 Jun, 2022","2,39€",
1260240,30 days of plague,"29 Apr, 2020","0,79€",
1908490,30 Days to be the Best - Ultimate Edition,"22 Sep, 2022",Free,
1098080,3000th Duel,"13 Dec, 2019","12,49€",
464360,3030 Deathwar Redux - A Space Odyssey,"13 Sep, 2017","14,99€",
259620,3079 -- Block Action RPG,"14 Nov, 2013","4,99€",
263360,3089 -- Futuristic Action RPG,"10 Jan, 2014","6,89€",
723020,3571 The Game,"2 Jan, 2018","8,19€",
576390,365 Days,"25 Feb, 2019","9,99€",
3404940,3D Desktop Pets,"5 Feb, 2025","5,89€",
2052380,3D Massage,"20 Apr, 2023","2,56€",
3651720,3D PUZZLE - Leafless,"21 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
3165280,3D PUZZLE - Apocalyptic Wasteland,"20 Sep, 2024","9,74€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
1990310,3D PUZZLE - Castle,"19 May, 2022","27,30€",
3214780,3D PUZZLE - Colonial Graveyard,"24 Sep, 2024","9,74€",
3120290,3D PUZZLE - Courtyard,"19 Aug, 2024","194,99€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
3079460,3D PUZZLE - Deserted Village,"15 Aug, 2024","9,74€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3079420,3D PUZZLE - Flooded Grounds,"23 Jul, 2024","194,99€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
2630820,3D PUZZLE - Harbor,"18 Oct, 2023","37,05€",
2947730,3D PUZZLE - Hospital 1,"9 May, 2024","58,50€",
2973540,3D PUZZLE - Hospital 2,"28 May, 2024","194,99€",
2973550,3D PUZZLE - Hospital 3,"28 May, 2024","194,99€",
3009820,3D PUZZLE - Hospital 4,"26 Jun, 2024","9,74€",
2670730,3D PUZZLE - Kingdom in dark,"13 Nov, 2023","58,50€",
2423660,3D PUZZLE - LAST OF CITY,"23 May, 2023","23,40€",
2466890,3D PUZZLE - Medieval Inn,"22 Jun, 2023","46,80€",
3746510,3D PUZZLE - Mountain Life,"3 Jun, 2025",,
2973560,3D PUZZLE - Old Sea Port,"23 May, 2024","58,50€",
3009770,3D PUZZLE - OldHospital,"26 Jun, 2024","9,74€",
3009800,3D PUZZLE - OutPost,"26 Jun, 2024","9,74€",
3165290,3D PUZZLE - Pirate Tavern,"20 Sep, 2024","9,74€",
2947740,3D PUZZLE - Pirates,"9 May, 2024","58,50€",
3120300,3D PUZZLE - Pizza Shop 1,"19 Aug, 2024","194,99€",
3120320,3D PUZZLE - Pizza Shop 2,"11 Sep, 2024","9,74€",
2423650,3D PUZZLE - PORT,"23 May, 2023","23,40€",
2703260,3D PUZZLE - Post-Apocalyptic 3,"26 Dec, 2023","5,85€",
3660800,3D PUZZLE - Race Track,"21 May, 2025","116,99€",
3009790,3D PUZZLE - Rusty,"26 Jun, 2024","9,74€",
3009780,3D PUZZLE - Underground,"26 Jun, 2024","9,74€",
2388390,3D PUZZLE - Vintage House,"25 Apr, 2023","23,40€",
2703210,3D PUZZLE - Wild West,"8 Dec, 2023","194,99€",
3120310,3D PUZZLE - Winter Outpost,"11 Sep, 2024","9,74€",
2703220,3D PUZZLE - World War II,"8 Dec, 2023","194,99€",
2572320,3D Survivors,"2 Nov, 2023","2,99€",
431840,3DRPG,"12 Jan, 2016","1,99€",
954280,3dSen VR,"4 Jun, 2019","23,99€",
1499030,3D Double Dealing Character,"30 Sep, 2021","12,49€",
1292630,3on3 FreeStyle: Rebound,"15 Jul, 2020",Free,
1269700,4 Minutes to the Apocalypse,Coming soon,,
2894980,4.1.60Co,"6 Jul, 2024","4,99€",
329770,4089: Ghost Within,"9 Jan, 2015","5,89€",
1263680,486,"1 Jun, 2020","0,79€",
3180460,4fools1,Coming soon,Free,
1632020,4Prot,"9 Aug, 2021",Free,
1191830,4STORY 2,To be announced,Free,
3609170,4STORY : The Original,"29 May, 2025",Free,
1078610,4th Era - The RuneChild,"9 Apr, 2025","4,99€",
922450,4X-Galaxy 无主之地：银河,"21 Dec, 2018",Free,
2719680,5 Bucks for the Bus,To be announced,,
2205130,5 Days,"23 Nov, 2022","7,79€",
357200,500 Years Act 1,"15 Apr, 2015","0,99€",
414510,5089: The Action RPG,"3 Feb, 2016","7,79€",
3245080,5th Cataclysm,To be announced,,
646270,60 Parsecs!,"18 Sep, 2018","4,87€",
712080,7 Bones and 7 Stones - The Ritual,"20 Oct, 2020",Free,
3247640,7 Days,Q3 2025,,
1823610,7 Days To Save The World,"14 Feb, 2022","2,99€",
1279270,7 Girls War,"28 Aug, 2021","8,39€",
3584440,7 Keys Saga,"4 Apr, 2025","9,75€",
654640,7 Pillars,"21 Jun, 2017","1,99€",
1562920,7 Years From Now,"17 Jun, 2021","9,99€",
306290,"7,62 Hard Life","1 Oct, 2015",,
289890,"7,62 High Calibre","30 Apr, 2014","4,99€",
3065350,7.7 Gate,Coming soon,,
1143420,70 Seconds! Adventure,"30 Aug, 2019","0,60€",
1814050,7Swordsman,"27 Apr, 2022","3,29€",
806580,7th Deep,"9 Mar, 2018","1,99€",
3088410,7th Domain:Tree of Chaos,"16 Aug, 2024","11,79€",
3088420,7th Domain:Tree of Chaos Prologue,"29 Jul, 2024",Free,
996450,7th Sea: A Pirate's Pact,"14 Dec, 2018","4,99€",
3093070,July 14th,"30 Sep, 2024","1,99€",
