appid,name,release_date,promo_price,normal_price
2582450,'Sassin,Coming soon,,
2859470,.,Coming soon,,
1854900,.G,"10 Jan, 2022","1,59€",
952950,03.04,"1 Jan, 2019",Free,
2830760,1 Shot 1 Kill,To be announced,,
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
260790,1001 Spikes,"3 Jun, 2014","9,99€",
2348250,13Z: The Zodiac Trials,To be announced,,
2305790,1v1.LOL - Battle Royale Game,"18 Jun, 2023",Free,
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
335190,200% Mixed Juice!,"23 Oct, 2015","6,89€",
2825780,2D?!,"12 May, 2024","8,79€",
2460450,3 Scary Games,"23 Oct, 2023","11,79€",
1029210,30XX,"9 Aug, 2023","19,50€",
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
1941640,4D Miner,Coming soon,,
3609170,4STORY : The Original,"29 May, 2025",Free,
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
250420,8BitMMO,"26 Jan, 2015",Free,
2075720,9 Days,"8 Mar, 2024","14,79€",
3454470,9mm Roulette 💀,2025,,
3240540,[Stories to Tell] Greyville Stay,"6 Jan, 2025",Free,
3607380,A Bottled Up Island,To be announced,,
1582120,A Couple Of Cubes,Coming soon,,
1547670,A Day Out,"27 Jun, 2024","9,75€",
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
3666900,A Game About Clicking Crystals,To be announced,,
763550,A Journey Through Valhalla,"12 Sep, 2021","4,99€",
3075170,A Pair of Feathers Squawk Together,"16 Aug, 2024","4,99€",
1333920,"A Place, Forbidden","25 Jun, 2020",Free,
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
1594990,A Single Step (No longer in development),Coming soon,Free,
2896330,A slightly different Backrooms,Coming soon,,
3257910,A Thousand Shores,Coming soon,,
3408830,A Tiny Snow Game,"24 Jan, 2025","1,99€",
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","29,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
209330,A Valley Without Wind,"24 Apr, 2012","14,79€",
228320,A Valley Without Wind 2,"24 Apr, 2012","14,79€",
842420,A Walk in the Woods,"1 May, 2018",Free,
1222700,A Way Out,"18 Jun, 2020","29,99€",
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
683930,A Wonder,"13 Nov, 2017",Free,
3238580,A World of Keflings,Coming soon,,
2590550,AAS Mos Apocalypse,"2 Aug, 2025",,
822660,Abacus,"5 Jul, 2021","4,99€",
2295610,Abathor,"25 Jul, 2024","14,79€",
2358610,Abathor - Atlantis Landing,"29 Jun, 2023",Free,
921730,Abberbury,"18 Apr, 2019","1,99€",
354200,Aberoth,"17 Jul, 2015",Free,
427410,Abiotic Factor,"2 May, 2024","33,99€",
979000,Abrakadaboom,"18 Apr, 2019","17,90€",
473690,Absolver,"29 Aug, 2017","28,99€",
