appid,name,release_date,promo_price,normal_price
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
2859470,.,Coming soon,,
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
1015140,10 Miles To Safety,"21 Oct, 2020","7,95€",
787580,10 Pin Bowling (VR Support),"28 May, 2021","8,99€",
3809640,100 Cats Lost in Brazil,Coming soon,Free,
3809590,100 Cats Lost in China,Coming soon,Free,
3809600,100 Cats Lost in Italy,Coming soon,Free,
3809660,100 Cats Lost in Russia,Coming soon,Free,
3809550,100 Cats Lost in South Africa,Coming soon,Free,
3809620,100 Cats Lost in Thailand,Coming soon,Free,
3809570,100 Cats Lost in Turkey,Coming soon,Free,
2360940,100 Humans Vs Gorilla,To be announced,,
2560380,100 Rounds,"29 Feb, 2024","4,99€",
3146550,100 SCREAMERS,Coming soon,,
1269400,100-Player Twitch Chat Party Pack,"1 Apr, 2020","13,50€",
2348250,13Z: The Zodiac Trials,To be announced,,
1140110,141,"21 Nov, 2019","9,75€",
2369760,17.waves TD,2025,,
2484960,1v1 Deathmatch,"2 Aug, 2023","4,99€",
322110,20XX,"16 Aug, 2017","14,99€",
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
2825780,2D?!,"12 May, 2024","8,79€",
1292630,3on3 FreeStyle: Rebound,"14 Jul, 2020",Free,
2564630,3XTINCTION,"20 Feb, 2025","7,99€",
1632020,4Prot,"9 Aug, 2021",Free,
3609170,4STORY : The Original,"10 Jun, 2025",Free,
2936130,5 Minute Raid,"29 Nov, 2024","4,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2312280,7 Days Blood Moons,Coming soon,,
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
2221820,7 Sins : Lost in Labyrinth,"10 Feb, 2023","3,99€",
531680,8-Bit Invaders!,"16 Dec, 2016","7,39€",
250420,8BitMMO,"26 Jan, 2015",Free,
1222740,_space_train,Coming soon,,
3607380,A Bottled Up Island,To be announced,,
1582120,A Couple Of Cubes,Coming soon,,
1547670,A Day Out,"27 Jun, 2024","9,75€",
3185170,A Developer Nightmare,To be announced,,
3617840,A Game About Penguins,To be announced,,
3618930,A Kingdom Together,Coming soon,Free,
2366100,A Long Survive,2025,,
1833870,A Million Lightyears Beyond,Coming soon,,
3075170,A Pair of Feathers Squawk Together,"16 Aug, 2024","4,99€",
1594990,A Single Step (No longer in development),Coming soon,Free,
2896330,A slightly different Backrooms,Coming soon,,
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
3257910,A Thousand Shores,Coming soon,,
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","7,49€",
2304660,A Twisted Path to Renown,"17 Dec, 2024","28,99€",
1222700,A Way Out,"18 Jun, 2020","29,99€",
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
3238580,A World of Keflings,Coming soon,,
319540,A Year Of Rain,"13 Mar, 2020","14,99€",
1473480,A.V.A Global,"24 Aug, 2022",Free,
3010090,Aaero2,"13 Dec, 2024","14,79€",
2590550,AAS Mos Apocalypse,"2 Aug, 2025",,
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
427410,Abiotic Factor,"2 May, 2024","33,99€",
3072570,Abomin-Agency!,To be announced,,
823230,Demolition Pro Online,"17 Nov, 2022","19,95€",
2114540,Absolute Matter,To be announced,,
