appid,name,release_date,promo_price,normal_price
2582450,'Sassin,Coming soon,,
2859470,.,Coming soon,,
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
3766170,100 Cats Lost In Japan Find & Color,Coming soon,Free,
2825780,2D?!,"12 May, 2024","8,79€",
2133330,2tinycowboys,"13 Sep, 2022",Free,
1632020,4Prot,"9 Aug, 2021",Free,
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
3498800,740 Racing,"4 Apr, 2025","5,89€",
2075720,9 Days,"8 Mar, 2024","14,79€",
3240540,[Stories to Tell] Greyville Stay,"6 Jan, 2025",Free,
3607380,A Bottled Up Island,To be announced,,
3810610,Granny's House,Coming soon,,
1582120,A Couple Of Cubes,Coming soon,,
3666900,A Game About Clicking Crystals,To be announced,,
3617840,A Game About Penguins,To be announced,,
2896330,A slightly different Backrooms,Coming soon,,
228320,A Valley Without Wind 2,"24 Apr, 2012","3,69€",
427410,Abiotic Factor,"2 May, 2024","33,99€",
2541890,Abnormality,"28 Oct, 2024","9,99€",
823230,Demolition Pro Online,"17 Nov, 2022","19,95€",
2786120,Abyss,"3 May, 2024","2,99€",
1292910,Accident: The Pilot,"16 Jul, 2020",Free,
1314000,Achilles: Legends Untold,"2 Nov, 2023","15,76€",
1200570,AColony,"19 Jan, 2023","19,99€",
2597200,Across the Wonderlands,To be announced,,
3466260,Adrenaline: Online,Coming soon,,
1285690,Adrorium,2025,Free,
1947570,Advenclave,Coming soon,,
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
1252240,Aeon Drive,"30 Sep, 2021","14,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
3385390,After Nightfall,To be announced,,
2171490,Against The Backrooms,To be announced,,
750510,Age of Ascent,Coming soon,Free,
817390,Age of Giants,"16 Apr, 2018","0,79€",
369080,Age of Survival,"4 Jan, 2025","18,99€",
2695490,Age of Water,"16 Jan, 2025","29,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
2605210,AGO BRISTOL 1775: From Warship to Prison Hulk,"1 Nov, 2023",Free,
1493430,Agony: Lords of Hell,Coming soon,,
1787230,Ahoy,To be announced,,
1461470,Airborne Ranger: FightOut,To be announced,,
3397720,Alchemist: Journey of the Soul Prologue,"30 May, 2025",Free,
3202220,Aldian of Ancients,2025,,
2683150,Ale & Tale Tavern,"5 Sep, 2024","8,87€",
1246540,Alice Sisters,"20 Sep, 2020","5,89€",
2672170,Alien Tag,"19 Apr, 2024",Free,
2084210,Alight: Lunar Survival,Coming soon,,
2084590,Alkurai,"9 Mar, 2023","5,30€",
3112340,ALL IN VAIN,Q4 2025,,
1775770,All To Race,"11 Jul, 2022","2,39€",
1660080,Aloft,"15 Jan, 2025","24,99€",
1733610,Alpine - The Simulation Game,"23 Nov, 2021","19,99€",
2524700,Altarium,"21 Oct, 2024","9,75€",
3292260,Amenti,"5 Jan, 2025","6,89€",
