appid,name,release_date,promo_price,normal_price
2859470,.,Coming soon,,
952950,03.04,"1 Jan, 2019",Free,
3146550,100 SCREAMERS,Coming soon,,
2460450,3 Scary Games,"23 Oct, 2023","11,79€",
535700,3D Chess,"6 Dec, 2016","3,99€",
2835750,50 Floors: The Paranormal Investigators Prologue,"31 May, 2024",Free,
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
2221820,7 Sins : Lost in Labyrinth,"10 Feb, 2023","3,99€",
3240540,[Stories to Tell] Greyville Stay,"6 Jan, 2025",Free,
3810610,Granny's House,Coming soon,,
3185170,A Developer Nightmare,To be announced,,
1333920,"A Place, Forbidden","25 Jun, 2020",Free,
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
2896330,A slightly different Backrooms,Coming soon,,
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
842420,A Walk in the Woods,"1 May, 2018",Free,
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
683930,A Wonder,"13 Nov, 2017",Free,
2541890,Abnormality,"28 Oct, 2024","9,99€",
1562020,Abyss of Neptune,"26 Apr, 2021",Free,
2887580,Active Matter,2025,,
2524870,Adrift in the Backrooms,"13 Oct, 2023","6,89€",
675130,AEGYPTUS,"15 Aug, 2017","0,99€",
543390,Aeon,"22 May, 2017","8,19€",
1794250,After Dark VR,"21 Jan, 2022",Free,
989040,After Hours,"20 Dec, 2018",Free,
2135580,Again and Again,"15 Sep, 2022","3,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
1493430,Agony: Lords of Hell,Coming soon,,
1059010,AI ARCADE,To be announced,,
1839710,Alchemists,"21 Feb, 2025","5,89€",
22670,Alien Breed 3: Descent,"17 Nov, 2010","0,99€",
2445380,Alien Cube,"11 Jul, 2023","0,99€",
2574270,Alien Investigator,"8 Sep, 2023","11,79€",
3730,Aliens versus Predator Classic 2000,"15 Jan, 2010","4,99€",
"10680,10695,10697",Aliens VS Predator Collection,,"21,99€",
10680,Aliens vs. Predator™,"16 Feb, 2010","14,99€",
49540,Aliens: Colonial Marines Collection,"1 May, 2012","29,99€",
1549970,Aliens: Fireteam Elite,"23 Aug, 2021","29,99€",
2084210,Alight: Lunar Survival,Coming soon,,
2084590,Alkurai,"8 Mar, 2023","5,30€",
373330,All Is Dust,"26 Jun, 2015",Free,
1994230,Almost Home Now,"25 May, 2022",Free,
1544540,ALONE,"31 May, 2021","0,99€",
275060,Alone in the Dark: Illumination™,"11 Jun, 2015","19,99€",
405780,Alpha Polaris : A Horror Adventure Game,"21 Oct, 2015",Free,
2524700,Altarium,"21 Oct, 2024","9,75€",
2000590,Alvo VR,"12 Feb, 2024","14,79€",
1413540,Amarok Dreams Demo,"6 Oct, 2020",Free,
3292260,Amenti,"5 Jan, 2025","6,89€",
3168600,Among Us 3D,"6 May, 2025","9,49€",
1849900,Among Us 3D: VR,"10 Nov, 2022","9,49€",
2150810,Amorphous,To be announced,,
1592680,Anarchy: Wolf's law : Prologue,"26 Aug, 2021",Free,
2823070,Ancraophobia,"29 Feb, 2024","3,99€",
2949910,ANGST: A TALE OF SURVIVAL,2025,,
871100,Animyst,"2 Jul, 2018",Free,
2900600,Anomaly Escape,"9 Jun, 2024","2,99€",
2232600,Anomaly Exit,"31 Mar, 2024","3,99€",
3524700,Anomaly Living,"10 Mar, 2025","6,89€",
3640740,Anomaly Protocol,Coming soon,,
2487070,Anonymous Hacker Simulator: Prologue,"28 Aug, 2023",Free,
3675630,Another Day to Die,Coming soon,,
3193490,Another One,2025,,
1838900,Apocalypse: Floodgates,"8 Apr, 2022","0,99€",
2113710,ApoZomb,To be announced,,
745950,Apparition,"31 Oct, 2018","2,99€",
1190130,Araha : Curse of Yieun Island,"6 Jan, 2020","13,29€",
466740,ARAYA,"23 Nov, 2016","14,99€",
513720,Archipelago,"18 Aug, 2016","0,49€",
342180,Arizona Sunshine®,"6 Dec, 2016","19,99€",
1991570,Arruyo,"11 Jun, 2022",Free,
2822980,ARSONATE,Coming soon,,
2270400,Artovya,"13 Oct, 2024",Free,
3226990,Ascendance Fighters,Coming soon,,
1200520,Ascent Free-Roaming VR Experience,"27 Dec, 2019","999,00€",
2930260,Astrovoid: Invasion,Coming soon,,
2924860,Astrumis - Survive Together,"26 May, 2025","9,75€",
1450830,At Dead Of Night,"19 Nov, 2020","15,79€",
449800,Attack on Titan / A.O.T. Wings of Freedom,"26 Aug, 2016","23,99€",
601050,Attack on Titan 2 - A.O.T.2,"27 Apr, 2023","34,99€",
3044610,Avalon Crew,Coming soon,,
769730,Awkward,"5 Jun, 2018","12,99€",
529110,Awkward Dimensions Redux,"22 Oct, 2016",Free,
3438900,Azazel Gamble 阿撒兹勒赌局,"13 May, 2025","9,75€",
1293650,b 2,"16 May, 2020",Free,
3589010,B.A.N.K.,July 2025,,
3682950,B.O.O. Squad,Coming soon,,
2240530,BABBDI,"22 Dec, 2022",Free,
2836820,Baby Blues Nightmares - Toddler Horror Game,"16 Sep, 2024","12,56€",
924970,Back 4 Blood,"12 Oct, 2021","59,99€",
3172500,Back to the Rooms,"22 Oct, 2024","6,89€",
2446180,Backdoors,"30 Jun, 2023","5,89€",
3010460,Backroom Company,"28 Oct, 2024","8,99€",
2246350,Backroom Warfare II,"27 Jan, 2023","1,99€",
2417180,Backroom: Constructions,"25 Oct, 2023","16,49€",
1906190,BackRooms,Coming soon,Free,
3035270,Backrooms,2025,Free,
3673500,BACKROOMS,Q3 2025,,
3673110,Backrooms,2025,,
3370270,Backrooms,2025,Free,
2785620,Backrooms #999999999,2025,,
3140990,Backrooms Cleanup Crew,"16 Apr, 2025","9,75€",
2294280,Backrooms Cycle,"15 Jul, 2023","9,99€",
2232180,Backrooms Descent: Multiplayer Horror,"28 Oct, 2023","6,89€",
3575840,Backrooms Escape Protocol,"9 Apr, 2025","4,99€",
2523460,Backrooms Interception,Coming soon,,
2928660,BACKROOMS INVASION,"1 May, 2024","1,99€",
3072120,Backrooms Lost Runners,Coming soon,,
2238240,Backrooms Mainframe,"23 Dec, 2022","3,86€",
2714970,Backrooms Media,"10 Sep, 2024","6,99€",
2866360,BACKROOMS NO RETURN: Prologue,"10 Aug, 2024",Free,
1896310,Backrooms of Reality,2025,,
2275020,Backrooms Rec.,"6 Mar, 2024","6,89€",
2304620,Backrooms Society,"19 Jun, 2023","6,89€",
2700560,Backrooms Together,Coming soon,,
2421450,Backrooms Versus,To be announced,,
2118890,Backrooms VHS,Coming soon,Free,
3347960,BackRooms X,To be announced,,
2234150,BACKROOMS: APPREHENSION,"31 Jan, 2023","2,99€",
3022120,Backrooms: Dark Labyrinth,Coming soon,,
2141730,Backrooms: Escape Together,"18 Oct, 2022","9,75€",
2835530,Backrooms: Extractions,"30 Apr, 2025","6,89€",
3801330,Backrooms: Final Exam Part II,To be announced,,
3802260,Backrooms: Flicker,To be announced,,
3215190,Backrooms: Found Footage,"25 Oct, 2024",Free,
3396740,Backrooms: Hide Together,"18 Apr, 2025","3,99€",
2563130,Backrooms: Infinite Halls,Coming soon,,
2787750,Backrooms: Liminal Conflict,"19 Jan, 2025","2,99€",
3546790,Backrooms: Liminal Nightmare,2025,,
2924300,Backrooms: Lost,"25 Jul, 2024","5,89€",
2420040,Backrooms: Lost Place,"31 Oct, 2024","4,79€",
2216840,BACKROOMS: NO RETURN,Coming soon,,
3628360,Backrooms: No Way Out,Coming soon,,
3799280,Backrooms: Noise,To be announced,,
1964830,Backrooms: Perpetual,Coming soon,,
2327480,Backrooms: Realm of Shadows,"11 Jul, 2023",Free,
3801370,Backrooms: Recode,To be announced,,
2941470,Backrooms: Step Into The Void,2025,,
2792420,Backrooms: Steps into the abyss,"9 Apr, 2025","1,99€",
3587260,Backrooms: The Deep Dark,"1 Apr, 2025","1,99€",
3239660,Backrooms: The Lost Circus,"6 Mar, 2025","0,89€",
3551630,Backrooms: The Next Level,"14 Mar, 2025","1,99€",
3585080,Backrooms: The Others,To be announced,,
2561680,Backrooms: The Phobolore,"10 Feb, 2024","1,99€",
3592490,Backrooms: The Scream,"4 Jun, 2025","1,99€",
3592170,Backrooms: The Silence,"9 Apr, 2025","0,89€",
3616910,BACKROOMS: We Escape Forever,"1 May, 2025","6,90€",
3381170,Backrooms: What's Next,"23 Jan, 2025","2,99€",
2419010,Backrooms: Wit's End,Q4 2025,,
2095330,BackRoomsNew,"3 Jan, 2023","1,99€",
2841490,Backrooms：The Exit,"5 Apr, 2024","1,99€",
