appid,name,release_date,promo_price,normal_price
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
3146550,100 SCREAMERS,Coming soon,,
2460450,3 Scary Games,"23 Oct, 2023","11,79€",
535700,3D Chess,"6 Dec, 2016","3,99€",
1941640,4D Miner,Coming soon,,
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2835750,50 Floors: The Paranormal Investigators Prologue,"31 May, 2024",Free,
2164500,99 Fails,Q4 2025,,
3240540,[Stories to Tell] Greyville Stay,"6 Jan, 2025",Free,
1547670,A Day Out,"27 Jun, 2024","9,75€",
3185170,A Developer Nightmare,To be announced,,
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
1506760,A House of Thieves,"21 Jan, 2021","10,99€",
3075170,A Pair of Feathers Squawk Together,"16 Aug, 2024","4,99€",
1333920,"A Place, Forbidden","25 Jun, 2020",Free,
2896330,A slightly different Backrooms,Coming soon,,
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
2541890,Abnormality,"28 Oct, 2024","9,99€",
366760,Adorables,"30 Mar, 2016","4,99€",
2524870,Adrift in the Backrooms,"13 Oct, 2023","6,89€",
2337630,AFL 23,"3 May, 2023","59,99€",
1794250,After Dark VR,"21 Jan, 2022",Free,
2135580,Again and Again,"15 Sep, 2022","3,99€",
304530,Agents of Mayhem,"15 Aug, 2017","29,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
2574270,Alien Investigator,"8 Sep, 2023","11,79€",
2084590,Alkurai,"8 Mar, 2023","5,30€",
1994230,Almost Home Now,"25 May, 2022",Free,
1544540,ALONE,"31 May, 2021","0,99€",
405780,Alpha Polaris : A Horror Adventure Game,"21 Oct, 2015",Free,
2524700,Altarium,"21 Oct, 2024","9,75€",
1413540,Amarok Dreams Demo,"6 Oct, 2020",Free,
3292260,Amenti,"5 Jan, 2025","6,89€",
2823070,Ancraophobia,"29 Feb, 2024","3,99€",
2773280,ANEURISM IV,"11 Mar, 2025","9,75€",
591960,Animation Throwdown: The Quest for Cards,"5 May, 2017",Free,
3537230,ANLG_VOID,Q1 2026,,
2232600,Anomaly Exit,"31 Mar, 2024","3,99€",
3216330,Another Door: Escape Room,"4 Nov, 2024","19,50€",
3193490,Another One,2025,,
2306590,Apewar,"24 Mar, 2023","0,99€",
466740,ARAYA,"23 Nov, 2016","14,99€",
2822980,ARSONATE,Coming soon,,
1200520,Ascent Free-Roaming VR Experience,"27 Dec, 2019","999,00€",
449800,Attack on Titan / A.O.T. Wings of Freedom,"26 Aug, 2016","23,99€",
1892970,Auto Kingdom Crunch,"14 Apr, 2022",Free,
3044610,Avalon Crew,Coming soon,,
529110,Awkward Dimensions Redux,"21 Oct, 2016",Free,
1293650,b 2,"16 May, 2020",Free,
2240530,BABBDI,"22 Dec, 2022",Free,
2836820,Baby Blues Nightmares - Toddler Horror Game,"16 Sep, 2024","12,56€",
3010460,Backroom Company,"28 Oct, 2024","8,99€",
2417180,Backroom: Constructions,"25 Oct, 2023","16,49€",
3035270,Backrooms,2025,Free,
3370270,Backrooms,2025,Free,
3673110,Backrooms,2025,,
3673500,BACKROOMS,Q3 2025,,
2785620,Backrooms #999999999,2025,,
3140990,Backrooms Cleanup Crew,"16 Apr, 2025","9,75€",
2294280,Backrooms Cycle,"15 Jul, 2023","9,99€",
