appid,name,release_date,promo_price,normal_price
2360940,100 Humans Vs Gorilla,To be announced,,
2348250,13Z: The Zodiac Trials,To be announced,,
2932040,2.5 DIMENSIONAL SEDUCTION: Angels on Stage!,"31 Oct, 2024",Free,
335190,200% Mixed Juice!,"23 Oct, 2015","6,89€",
2825780,2D?!,"12 May, 2024","8,79€",
259620,3079 -- Block Action RPG,"14 Nov, 2013","4,99€",
1292630,3on3 FreeStyle: Rebound,"14 Jul, 2020",Free,
1632020,4Prot,"9 Aug, 2021",Free,
3609170,4STORY : The Original,"29 May, 2025",Free,
414510,5089: The Action RPG,"3 Feb, 2016","7,79€",
250420,8BitMMO,"26 Jan, 2015",Free,
2075720,9 Days,"8 Mar, 2024","14,79€",
2164500,99 Fails,Q4 2025,,
3454470,9mm Roulette 💀,2025,,
763550,A Journey Through Valhalla,"12 Sep, 2021","4,99€",
3257910,A Thousand Shores,Coming soon,,
319540,A Year Of Rain,"13 Mar, 2020","14,99€",
354200,Aberoth,"17 Jul, 2015",Free,
473690,Absolver,"29 Aug, 2017","28,99€",
769520,Abyss Crew,"31 Mar, 2025","9,99€",
1456080,Abyss Delvers,2025,,
2244780,Abyss World : Apocalypse,To be announced,Free,
607880,Accel World VS. Sword Art Online Deluxe Edition,"12 Sep, 2017","49,99€",
1385380,Across the Obelisk,"16 Aug, 2022","19,99€",
1285690,Adrorium,2025,Free,
1947570,Advenclave,Coming soon,,
1050580,Adventure In Aellion,"26 Aug, 2020","4,99€",
901020,Adventure Portal,"31 Oct, 2018","0,99€",
728240,Adventure Time: Pirates of the Enchiridion,"17 Jul, 2018","13,74€",
2603930,Adventurer's Gambit: Dungeons of Fortune,Coming soon,,
371140,Aegis Defenders,"8 Feb, 2018","19,99€",
543390,Aeon,"22 May, 2017","0,81€",
1668470,Aether Story,Coming soon,Free,
2958610,Aetherdale,To be announced,,
3060390,Aetherian Chronicles,2025,Free,
1786010,AETHERIS,"7 Nov, 2023","5,99€",
1341210,Afterinfection,"19 May, 2025","4,43€",
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
61500,Age of Wonders,"12 Oct, 2010","5,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
61520,Age of Wonders Shadow Magic,"12 Oct, 2010","8,99€",
1059010,AI ARCADE,To be announced,,
261430,AION MMO,"16 Dec, 2015",Free,
1461470,Airborne Ranger: FightOut,To be announced,,
223630,AirBuccaneers,,Free,
331920,Airline Tycoon Deluxe,"14 Nov, 2014","9,99€",
206500,AirMech,"30 Mar, 2018",Free,
867470,Albedon Wars,"7 Nov, 2019","20,99€",
761890,Albion Online,"16 May, 2018",Free,
2208530,Alchemia Story,"22 Feb, 2023",Free,
1944660,AlexanderBall: A Countryball Tale,"14 Feb, 2024","12,79€",
2257590,Alien Agent X,"27 Sep, 2024","3,99€",
2589370,Alien Battle Champions,To be announced,,
843200,Alien Hominid Invasion,"1 Nov, 2023","19,50€",
1549970,Aliens: Fireteam Elite,"24 Aug, 2021","29,99€",
3112340,ALL IN VAIN,Q4 2025,,
459160,Allods Online,"3 Jun, 2016",Free,
1206600,Almighty: Kill Your Gods,"5 May, 2021","22,49€",
1544540,ALONE,"31 May, 2021","0,74€",
3471350,Alpha League HD,"14 Feb, 2025",Free,
1909820,ALTAIR BREAKER,"18 Aug, 2022","20,99€",
3104430,Amikin Village,Coming soon,Free,
396280,Anarchy Online,"22 Feb, 2017",Free,
536270,Ancestors: The Humankind Odyssey,"27 Aug, 2020","9,99€",
1125240,Ancient Dungeon,"3 Nov, 2021","18,99€",
2650620,Ancient Stars,Coming soon,Free,
1306840,Ancient World War,"21 May, 2020",Free,
3343010,AND10,To be announced,,
1743880,Andalia,"8 Oct, 2021",Free,
2773280,ANEURISM IV,"11 Mar, 2025","9,75€",
1333350,Angel Legion,"14 Aug, 2020",Free,
488440,Angeldust,"21 Dec, 2019",Free,
1440570,Angelic: The Chaos Theatre,Coming soon,Free,
2209180,Angira Online,Q4 2025,,
591960,Animation Throwdown: The Quest for Cards,"5 May, 2017",Free,
3683030,Anime,Coming soon,,
3596260,Anime Girls - Gacha Game,"1 Apr, 2025",Free,
871100,Animyst,"2 Jul, 2018",Free,
2776730,Anno Dominis,Coming soon,,
1157250,Anomaly Zone,"31 Oct, 2019",Free,
