appid,name,release_date,promo_price,normal_price
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
1416690,4X4 Masters,"25 Sep, 2020","1,59€",
3498800,740 Racing,"4 Apr, 2025","5,89€",
2422040,808cc,To be announced,,
2786140,99 Moves,"3 May, 2024","2,99€",
2706370,AC Sailing,"9 Apr, 2024",Free,
285820,Action Henk,"11 May, 2015","14,99€",
3466260,Adrenaline: Online,Coming soon,,
3118620,AERO BATTLE ROYALE,"9 Aug, 2024","2,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
2946240,AguaBlitz: Alien Racer,Coming soon,,
2522120,Airframe Ultra,Coming soon,,
1386310,Airplane Racer 2021,"5 Nov, 2021","1,59€",
1778040,Airplanes Dogfight Racer,"28 Oct, 2021","0,99€",
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
1775770,All To Race,"11 Jul, 2022","2,39€",
2074750,All-In-One Summer Sports VR,"30 Jul, 2023","19,50€",
673190,All-Star Fruit Racing,"13 Jul, 2018","19,99€",
2953660,Amazing Curves Racing,"24 Dec, 2024","28,99€",
1536660,Ancient Arenas: Chariots,Coming soon,,
2987320,Animal Adventure,"16 Mar, 2025",Free,
1634410,Animal Rivals: Up In The Air,"4 Apr, 2022","9,99€",
2196780,ANXRacers - Drift Space,"27 Aug, 2023","2,99€",
113400,APB Reloaded,"6 Dec, 2011",Free,
2102520,Apex Point,"4 Mar, 2023","18,49€",
2325690,ApocalypticSoup's Racing Sim Experience (A.R.S.E),"2 Aug, 2023","5,89€",
2882650,Aqua Conflict: Canal Carnage,To be announced,,
468100,Aqua Moto Racing Utopia,"30 Nov, 2016","10,79€",
3090620,Arcade Galaxy,Coming soon,,
2766210,Arcanos One,Coming soon,,
1877790,Armchair Racer,"8 Feb, 2022","1,99€",
2958900,Ascension: The Immortal Alchemist,Coming soon,,
2748420,Ascent: Rivals,2026,,
1815780,Asphalt Legends Unite,"2 Aug, 2022",Free,
244210,Assetto Corsa,"19 Dec, 2014","4,99€",
805550,Assetto Corsa Competizione,"29 May, 2019","9,99€",
3058630,Assetto Corsa EVO,"16 Jan, 2025","31,99€",
1340020,Aster Fpv Drone Simulator,"22 Oct, 2020","16,79€",
2190380,Astral Tracks,"21 Nov, 2024","9,75€",
235800,Audiosurf 2,"26 May, 2015","14,79€",
3603020,Auto Legends,2025,Free,
483770,Autobahn Police Simulator 2,"7 Dec, 2017","19,95€",
2775520,"AutoBrawl : One World, One Winner",Coming soon,,
2817580,Autofahrt,Q2 2026,,
431600,Automobilista,"24 Aug, 2016","23,99€",
1066890,Automobilista 2,"30 Jun, 2020","36,99€",
1978850,AV-Racer,"20 May, 2022","4,99€",
903730,AXIOM SOCCER,"11 Apr, 2019",Free,
1534040,Baby Racer,"15 May, 2021","10,79€",
2470330,BabyRace,Coming soon,,
1906190,BackRooms,Coming soon,Free,
3558400,Backseat Drivers,Q3 2025,,
3558050,Bad Teams,Coming soon,,
378480,Badland Bandits,"16 Jul, 2015",Free,
2437980,Ball Bash,Coming soon,,
1799290,Ball Boys,"22 Sep, 2022","3,99€",
1797270,Ball Game,Coming soon,Free,
3202400,Ball Race Party,"10 Jan, 2025","3,99€",
3700920,Ball Stars,Coming soon,,
473770,BallisticNG,"15 Dec, 2018","12,49€",
3607560,Balloomia: Sky Playground,2025,,
3548980,Ballrun,2025,,
3243220,Banana Blitz,"23 Oct, 2024","4,99€",
1351480,Barely Racing,"29 Dec, 2023","8,79€",
2100980,Barji Kart,"29 Oct, 2022",Free,
2436750,Baro Kart,Coming soon,,
618140,Barro,"28 Mar, 2018","1,66€",
1168660,Barro 2020,"1 Nov, 2019","4,90€",
3119720,Barro 2024,"9 Aug, 2024","0,49€",
1797610,Barro 22,"5 Nov, 2021","0,49€",
1239260,Barro F,"28 Feb, 2020","1,12€",
1958600,Barro F22,"25 Apr, 2022","1,66€",
3626800,Barro F25,"11 Apr, 2025","4,90€",
1990740,Barro GT,"19 May, 2022","0,49€",
1307090,Barro Racing,"11 Sep, 2020","0,49€",
2379030,Barro T23,"25 Apr, 2023","1,66€",
1068350,Battle Life Online,"21 May, 2022",Free,
3147780,Battle Mountain,"13 Jun, 2025","4,41€",
601590,BattleTrucks,"3 Apr, 2017","0,49€",
284160,BeamNG.drive,"29 May, 2015","22,50€",
2925400,Belly Chubs: The Party Game,Coming soon,,
1775640,Biggest Stream Hover Racing,"18 Mar, 2022",Free,
3395370,BigPEmu,Coming soon,Free,
2322050,BIKEOUT,"12 Sep, 2023","24,99€",
3682550,Birb Game,Coming soon,,
3491190,Birddawg X,Coming soon,,
2178290,Bitmagic,To be announced,,
1434330,Blaze and the Monster Machines: Axle City Racers,"1 Oct, 2021","39,99€",
302710,BlazeRush,"28 Oct, 2014","8,89€",
3438210,Blimpy,To be announced,,
2845300,Blinding Speed,Coming soon,,
2490210,Blitz Runner,"8 Sep, 2023",Free,
2348900,BLOCK OPS 3D,Coming soon,,
2967080,Block Trucks Multiplayer Racing,Coming soon,Free,
