appid,name,release_date,promo_price,normal_price
1059220,'83,Q4 2025,,
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),Coming soon,Free,
1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,"25 Mar, 2022",Free,
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"27 Nov, 2020",Free,
787580,10 Pin Bowling (VR Support),"28 May, 2021","8,99€",
2360940,100 Humans Vs Gorilla,To be announced,,
1758370,18Korea,"7 Dec, 2021","16,79€",
2305790,1v1.LOL - Battle Royale Game,"18 Jun, 2023",Free,
3601150,1！2！3！Battle Card!,Coming soon,,
3031250,21Pirates Card Game,To be announced,,
422890,22 Racing Series | RTS-Racing,"30 Nov, 2022","20,99€",
2704120,256vs256,"11 Feb, 2024",Free,
1344570,300k - The Game,"23 Jul, 2020",Free,
3308580,360Hexaworld,Coming soon,Free,
535700,3D Chess,"6 Dec, 2016","3,99€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
492160,3D Pool,"17 Jun, 2016","6,99€",
1632020,4Prot,"9 Aug, 2021",Free,
1544720,4th & Inches,"5 Mar, 2021","2,84€",
1204230,4th Generation Warfare,"28 Jul, 2022","29,99€",
1416690,4X4 Masters,"25 Sep, 2020","1,59€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2835750,50 Floors: The Paranormal Investigators Prologue,"31 May, 2024",Free,
2335720,69 Balls,"16 Jun, 2023",Free,
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2311510,8-Ball Pocket,"3 Mar, 2023","5,89€",
427250,8-Bit Armies,"22 Apr, 2016","14,79€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
531680,8-Bit Invaders!,"16 Dec, 2016","14,79€",
3399580,8 YOUs+ (from KUUKIYOMI 4: Consider It),"12 Mar, 2025","2,39€",
2410680,9-Ball Pocket,"19 Jul, 2023","5,89€",
468070,90 Minute Fever - Online Football (Soccer) Manager,"1 Sep, 2023",Free,
3454470,9mm Roulette 💀,2025,,
1222740,_space_train,Coming soon,,
2186510,A Land: Dubai Metaverse,Coming soon,,
1833870,A Million Lightyears Beyond,Coming soon,,
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
3408830,A Tiny Snow Game,"24 Jan, 2025","1,99€",
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","29,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
2304660,A Twisted Path to Renown,"17 Dec, 2024","28,99€",
3238580,A World of Keflings,Coming soon,,
1587170,A World To Win,Coming soon,,
427410,Abiotic Factor,"2 May, 2024","33,99€",
823230,Demolition Pro Online,"17 Nov, 2022","19,95€",
2706370,AC Sailing,"9 Apr, 2024",Free,
1292910,Accident: The Pilot,"16 Jul, 2020",Free,
502500,ACE COMBAT™ 7: SKIES UNKNOWN,"31 Jan, 2019","59,99€",
2754090,Aces of Thunder,2025,,
1702130,ACL Pro Cornhole,"29 Mar, 2023","28,99€",
1200570,AColony,"19 Jan, 2023","19,99€",
2578190,Across the Gap,Coming soon,,
1297320,ACT,"27 Dec, 2020",Free,
2183800,Actua Golf,"13 Dec, 2022","7,79€",
2152710,Actua Ice Hockey,"28 Oct, 2022","7,79€",
2152720,Actua Ice Hockey 2,"30 Nov, 2022","7,79€",
2152730,Actua Tennis,"12 Oct, 2022","7,79€",
1111870,Admiral Stepinski,"21 Oct, 2019","12,49€",
1285690,Adrorium,2025,Free,
310390,Advanced Tactics Gold,"16 Aug, 2014","28,99€",
1148750,Advisors at the End of the Universe,"23 Oct, 2023","4,99€",
675130,AEGYPTUS,"16 Aug, 2017","0,99€",
543390,Aeon,"22 May, 2017","0,81€",
3118620,AERO BATTLE ROYALE,"9 Aug, 2024","2,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
2394350,aerofly RC 10 - RC Flight Simulator,"1 Nov, 2023","77,99€",
2337630,AFL 23,"3 May, 2023","59,99€",
3468640,AFL 26,"8 May, 2025","59,99€",
989040,After Hours,"20 Dec, 2018",Free,
2258080,AfterImpaKt,To be announced,,
750510,Age of Ascent,Coming soon,Free,
603850,Age of History II,"21 Nov, 2018","4,99€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
616780,Age of Space,Coming soon,,
369080,Age of Survival,"5 Jan, 2025","18,99€",
2605210,AGO BRISTOL 1775: From Warship to Prison Hulk,"2 Nov, 2023",Free,
3492730,Agora,June 2025,Free,
1787230,Ahoy,To be announced,,
1059010,AI ARCADE,To be announced,,
573410,AI War 2,"22 Oct, 2019","19,50€",
40400,AI War: Fleet Command,"22 Oct, 2009","9,75€",
2154230,AI: Art Impostor,"3 Nov, 2022","4,99€",
518030,Aim Hero,"5 Sep, 2016","4,99€",
1100990,Aimbeast,"14 May, 2020","5,45€",
714010,Aimlabs,"17 Jun, 2023",Free,
95900,Air Conflicts: Secret Wars,"15 Jul, 2011","5,99€",
2504390,Air Hockey VR,"24 Dec, 2023","9,99€",
423490,Air Missions: HIND,"14 Jun, 2017","16,99€",
1641650,Airline Manager,"23 Jun, 2021",Free,
331920,Airline Tycoon Deluxe,"14 Nov, 2014","9,99€",
2715810,AirlineSim,"11 Jun, 2024",Free,
1384310,Airplane Arena,Coming soon,,
1386310,Airplane Racer 2021,"5 Nov, 2021","1,59€",
2088630,Airport Ground Handling Simulator VR,"25 Aug, 2022","27,99€",
1715280,AirportSim,"19 Oct, 2023","33,99€",
2932450,Airsoft Online,To be announced,,
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
3669570,Alchemy Factory,July 2025,,
3202220,Aldian of Ancients,2025,,
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
2870840,Ale & Tale Tavern: First Pints,"20 Jun, 2024",Free,
313660,Alea Jacta Est,"4 Nov, 2014","24,50€",
1944660,AlexanderBall: A Countryball Tale,"14 Feb, 2024","12,79€",
1946150,Alexandria - Port of Worlds,"14 May, 2022",Free,
2257590,Alien Agent X,"27 Sep, 2024","3,99€",
2096120,ALIEN INVASION,Coming soon,,
2084210,Alight: Lunar Survival,Coming soon,,
36910,All Aspect Warfare,"18 Aug, 2009","4,99€",
2346780,ALL IN THE GAME: Crime Strategy,"25 Jun, 2024","19,50€",
2192970,All On Board!,"27 Feb, 2025","9,99€",
1999450,All You Can Take,To be announced,,
1514840,All-In-One Sports VR,"7 Apr, 2023","14,99€",
2074750,All-In-One Summer Sports VR,"31 Jul, 2023","19,50€",
1000860,Allspace,"18 Oct, 2019","3,99€",
1660080,Aloft,"15 Jan, 2025","24,99€",
2651070,Alone Or Together,"2 Apr, 2024","1,99€",
3471350,Alpha League HD,"14 Feb, 2025",Free,
1733610,Alpine - The Simulation Game,"23 Nov, 2021","19,99€",
796530,ALTERA,Coming soon,,
1800230,Alternate Universe,To be announced,,
41300,Altitude,"4 Dec, 2009",Free,
3379690,Amanaha hockey,Coming soon,,
2953660,Amazing Curves Racing,"25 Dec, 2024","28,99€",
203290,America's Army: Proving Grounds,"29 Aug, 2013",Free,
1868300,American Theft 80s: Prologue,"8 Mar, 2022",Free,
270880,American Truck Simulator,"2 Feb, 2016","4,99€",
341720,Among Ripples,"22 Jan, 2015",Free,
266430,Anarchy Arcade,"3 Sep, 2014",Free,
1592680,Anarchy: Wolf's law : Prologue,"26 Aug, 2021",Free,
536270,Ancestors: The Humankind Odyssey,"27 Aug, 2020","9,99€",
2773280,ANEURISM IV,"11 Mar, 2025","9,75€",
367270,Angels Fall First,"1 Oct, 2015","17,99€",
36900,Angle of Attack,"17 Aug, 2009","4,99€",
1660510,Animal Diner,To be announced,,
1601910,Animal Express,"1 Jan, 2026",,
822240,Animal Jam,"9 Jan, 2025",Free,
2658510,Animal Shelter 2,Q2 2025,,
2887780,Animal Shelter 2: Prologue,"13 Sep, 2024",Free,
1661260,Animal Shelter: Prologue,"3 Nov, 2021",Free,
1364290,Animalia Survival,"9 Sep, 2021","16,79€",
3587200,AnimeSports: Party Basketball!,Coming soon,,
3274580,Anno 117: Pax Romana,2025,,
1281630,Anno 1404 - History Edition,"25 Jun, 2020","14,99€",
2820110,Anno 1503 History Edition,"22 Apr, 2024","9,99€",
2820130,Anno 1602 History Edition,"22 Apr, 2024","9,99€",
2820140,Anno 1701 History Edition,"22 Apr, 2024","9,99€",
916440,Anno 1800,"16 Apr, 2019","59,99€",
48240,Anno 2070™,"17 Nov, 2011","19,99€",
375910,Anno 2205™,"3 Nov, 2015","39,99€",
2487070,Anonymous Hacker Simulator: Prologue,"28 Aug, 2023",Free,
1307980,Another Earth: Gaming Grid,To be announced,,
1576980,Answer Me,Coming soon,,
3132610,Antidotera,To be announced,,
2196780,ANXRacers - Drift Space,"27 Aug, 2023","2,99€",
1072500,AO Tennis 2,"9 Jan, 2020","49,99€",
3266580,Apes Warfare,2025,,
2334340,Apex Armor Swap Trainer,"7 Apr, 2023","0,99€",
2102520,Apex Point,"5 Mar, 2023","18,49€",
2325690,ApocalypticSoup's Racing Sim Experience (A.R.S.E),"2 Aug, 2023","5,89€",
3258370,Apple Ring,"29 Nov, 2024",Free,
468100,Aqua Moto Racing Utopia,"30 Nov, 2016","10,79€",
39630,AquaNox,"20 Apr, 2010","4,99€",
2299400,Aquascapers,"2 May, 2024","9,75€",
583530,Aquila Bird Flight Simulator,"27 Dec, 2020","3,99€",
1475700,Arcade Machine Basketball,"2 Feb, 2021","1,59€",
1388870,Arcade Paradise,"11 Aug, 2022","19,99€",
1105130,Arcadius,"17 Feb, 2022",Free,
2942000,Arcanatica,To be announced,,
2806840,Arcane Array Arena,"23 Feb, 2024","1,99€",
2941660,Archean,"16 May, 2024","19,99€",
2322530,Archery Battle VR,"31 Mar, 2023","1,99€",
2876030,Archery Pro VR,Q4 2025,Free,
513720,Archipelago,"18 Aug, 2016","0,99€",
1203160,ArchiTac,"25 Jun, 2020",Free,
2778120,UTF-8,To be announced,,
655200,Arena,"1 Aug, 2017","3,99€",
33900,Arma 2,"29 Jun, 2009","9,99€",
33930,Arma 2: Operation Arrowhead,"29 Jun, 2010","14,99€",
107410,Arma 3,"12 Sep, 2013","27,99€",
