appid,name,release_date,promo_price,normal_price
2859470,.,Coming soon,,
952950,03.04,"1 Jan, 2019",Free,
282800,100% Orange Juice,"16 May, 2014","6,89€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
2221820,7 Sins : Lost in Labyrinth,"10 Feb, 2023","3,99€",
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
2472390,A Technician's Nightmare,"1 Jan, 2024","1,99€",
842420,A Walk in the Woods,"1 May, 2018",Free,
1480030,A Way To Be Dead,"23 Jul, 2021","5,69€",
2590550,AAS Mos Apocalypse,"2 Aug, 2025",,
1562020,Abyss of Neptune,"26 Apr, 2021",Free,
2524870,Adrift in the Backrooms,"13 Oct, 2023","6,89€",
1794250,After Dark VR,"21 Jan, 2022",Free,
751630,After the Fall®,"9 Dec, 2021","19,99€",
2171490,Against The Backrooms,To be announced,,
369080,Age of Survival,"4 Jan, 2025","18,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
1839710,Alchemists,"21 Feb, 2025","5,89€",
1376580,Alien Dawn,"23 Oct, 2021","13,79€",
"10680,10695,10697",Aliens VS Predator Collection,,"21,99€",
10680,Aliens vs. Predator™,"16 Feb, 2010","14,99€",
1549970,Aliens: Fireteam Elite,"23 Aug, 2021","29,99€",
2084210,Alight: Lunar Survival,Coming soon,,
3112340,ALL IN VAIN,Q4 2025,,
373330,All Is Dust,"26 Jun, 2015",Free,
1544540,ALONE,"31 May, 2021","0,99€",
275060,Alone in the Dark: Illumination™,"11 Jun, 2015","19,99€",
2524700,Altarium,"21 Oct, 2024","9,75€",
1413540,Amarok Dreams Demo,"6 Oct, 2020",Free,
1133060,Anarchy: Wolf's law,"8 Jun, 2023","6,57€",
1592680,Anarchy: Wolf's law : Prologue,"26 Aug, 2021",Free,
2949910,ANGST: A TALE OF SURVIVAL,2025,,
3537230,ANLG_VOID,Q1 2026,,
1838900,Apocalypse: Floodgates,"7 Apr, 2022","0,99€",
745950,Apparition,"31 Oct, 2018","2,99€",
1190130,Araha : Curse of Yieun Island,"6 Jan, 2020","13,29€",
342180,Arizona Sunshine®,"6 Dec, 2016","19,99€",
2924860,Astrumis - Survive Together,"26 May, 2025","9,75€",
1450830,At Dead Of Night,"19 Nov, 2020","15,79€",
3044610,Avalon Crew,Coming soon,,
2414420,Avalon Lost,To be announced,,
924970,Back 4 Blood,"12 Oct, 2021","59,99€",
3172500,Back to the Rooms,"22 Oct, 2024","6,89€",
2446180,Backdoors,"30 Jun, 2023","5,89€",
3010460,Backroom Company,"27 Oct, 2024","8,99€",
2417180,Backroom: Constructions,"25 Oct, 2023","16,49€",
3035270,Backrooms,2025,Free,
3370270,Backrooms,2025,Free,
3673500,BACKROOMS,Q3 2025,,
2785620,Backrooms #999999999,2025,,
3140990,Backrooms Cleanup Crew,"16 Apr, 2025","9,75€",
2294280,Backrooms Cycle,"15 Jul, 2023","9,99€",
2232180,Backrooms Descent: Multiplayer Horror,"28 Oct, 2023","6,89€",
3575840,Backrooms Escape Protocol,"9 Apr, 2025","4,99€",
2523460,Backrooms Interception,Coming soon,,
2928660,BACKROOMS INVASION,"1 May, 2024","1,99€",
3072120,Backrooms Lost Runners,Coming soon,,
2714970,Backrooms Media,"10 Sep, 2024","6,99€",
2866360,BACKROOMS NO RETURN: Prologue,"10 Aug, 2024",Free,
2275020,Backrooms Rec.,"6 Mar, 2024","6,89€",
2304620,Backrooms Society,"19 Jun, 2023","6,89€",
2700560,Backrooms Together,Coming soon,,
3347960,BackRooms X,To be announced,,
2234150,BACKROOMS: APPREHENSION,"31 Jan, 2023","2,99€",
2141730,Backrooms: Escape Together,"18 Oct, 2022","9,75€",
2835530,Backrooms: Extractions,"30 Apr, 2025","6,89€",
3801330,Backrooms: Final Exam Part II,To be announced,,
3802260,Backrooms: Flicker,To be announced,,
3396740,Backrooms: Hide Together,"18 Apr, 2025","3,99€",
2563130,Backrooms: Infinite Halls,Coming soon,,
2787750,Backrooms: Liminal Conflict,"19 Jan, 2025","2,99€",
3546790,Backrooms: Liminal Nightmare,2025,,
3628360,Backrooms: No Way Out,Coming soon,,
3799280,Backrooms: Noise,To be announced,,
2327480,Backrooms: Realm of Shadows,"11 Jul, 2023",Free,
3801370,Backrooms: Recode,To be announced,,
2941470,Backrooms: Step Into The Void,2025,,
2792420,Backrooms: Steps into the abyss,"9 Apr, 2025","1,99€",
3587260,Backrooms: The Deep Dark,"1 Apr, 2025","1,99€",
3239660,Backrooms: The Lost Circus,"6 Mar, 2025","0,89€",
3551630,Backrooms: The Next Level,"14 Mar, 2025","1,99€",
3585080,Backrooms: The Others,To be announced,,
2561680,Backrooms: The Phobolore,"10 Feb, 2024","1,99€",
3592490,Backrooms: The Scream,"4 Jun, 2025","1,99€",
3592170,Backrooms: The Silence,"9 Apr, 2025","0,89€",
3381170,Backrooms: What's Next,"23 Jan, 2025","2,99€",
2419010,Backrooms: Wit's End,Q4 2025,,
3492480,Backrooms: Worlds,2025,,
1715980,Bail or Jail(OBAKEIDORO!),"21 Jul, 2022","9,99€",
3015610,Banana & Cucumber,"12 Jun, 2024",Free,
2922250,Baptiste,Coming soon,,
602960,Barotrauma,"13 Mar, 2023","34,99€",
2593810,Battle of Rebels,Q2 2025,,
1412190,BEACHED,"4 Aug, 2021",Free,
1563250,Beast Hour,To be announced,,
1441560,Beast Nature,Coming soon,,
1313230,Beautiful Light,December 2026,,
2791600,Becut - An Impostor Game,2026,,
2654040,Beneath The Earth - Backrooms,"1 Dec, 2023","14,79€",
2562390,Bennys Backrooms,Coming soon,,
3476240,Berghotel Heist,October 2025,,
2560740,Beyond fantasy,"27 Nov, 2023","12,79€",
2779540,Beyond The Vale,Coming soon,,
3160490,BEYONDER,To be announced,,
509980,BIGFOOT,"31 Jan, 2017","19,99€",
1506230,Bigfoot Forest,"8 Jan, 2021","0,49€",
3266110,Black Pine: Incident Response,Coming soon,,
453890,Black Rose,"15 Mar, 2016",Free,
3066870,Black Site,Coming soon,,
1152950,Blackberry,"5 Feb, 2021","9,75€",
1092660,Blair Witch,"30 Aug, 2019","29,99€",
"1092660,1141710,1141711",Blair Witch Deluxe Edition,"30 Aug, 2019","34,99€",
530330,Blameless,"13 Oct, 2016",Free,
1774880,Blight: Survival,To be announced,,
2657570,Block Catching,To be announced,,
434570,Blood and Bacon,"1 Feb, 2016","0,99€",
1739880,Blood And Zombies,"26 Jul, 2022","13,99€",
2372370,Blood Moon Horror,August 2025,,
2194570,Blood Red,"20 Oct, 2023","9,75€",
2790330,Blood Typers,"20 Feb, 2025","9,75€",
2478600,BloodMoon,"3 Oct, 2023",Free,
350990,Bloodwood Reload,"2 Nov, 2015",Free,
1894770,Bloody Forest,"28 Apr, 2022","3,99€",
3281400,BodyPanic,"8 Jun, 2025","5,89€",
754050,Bomb Bots Arena,"1 Jun, 2020",Free,
567130,Boogeyman 2,"7 Feb, 2017","4,99€",
2260100,Borderwatch: Dark Armada,"10 Jan, 2024","8,86€",
3071740,Box Clicker,"11 Jul, 2024",Free,
3203360,BRAINDEAD,2025,,
3592220,Breaking the Grip,"3 Apr, 2025","6,89€",
2179940,Brink Of Death,Coming soon,,
1474390,Broken : Paranormal investigation,"29 Sep, 2022","12,49€",
3436870,Broken Pact,Coming soon,,
3409010,Brutal Cube,Coming soon,,
2796230,Bunny Guntz,"16 Feb, 2024","1,99€",
2840210,Bureau of Contacts,"12 Apr, 2025","3,89€",
3164900,Bureau of Contacts: Mansion,"5 Sep, 2024",Free,
3185820,Buried Horrors,To be announced,,
3795170,Burning Out,July 2025,,
2633940,Byte Breach,2025,,
2138100,Cabin of Shadows - Dueling Impostors-,"27 Jul, 2023","3,99€",
209160,Call of Duty®: Ghosts,"25 Mar, 2014","59,99€",
2169140,CantEscapeTheBackrooms,"31 Dec, 2023",Free,
2766480,Cargo Duty,"3 Feb, 2024",Free,
1181550,Carnival Hunt,Coming soon,,
722960,CASE 2: Animatronics Survival,"28 Feb, 2019","9,75€",
489360,CASE: Animatronics,"3 Aug, 2016","9,75€",
2138780,CashGrab,"19 Sep, 2022","2,93€",
3602720,CashGrab: Refunded,"20 Jun, 2025",,
3061430,Caspers,Coming soon,Free,
3505060,Castle of Mist,"28 May, 2025","4,99€",
253430,CastleMiner Z,"3 Feb, 2014","5,89€",
2283600,Cataclysm Upon Us,Coming soon,,
1522980,Cavebound,"1 Mar, 2021","0,79€",
2867380,CBO TD,"26 Jul, 2024","1,99€",
2923810,Celestial Fall,Coming soon,,
3560470,Chains Of Reality,December 2025,,
