appid,name,release_date,promo_price,normal_price
866510,!AnyWay!,"6 Jun, 2018","1,99€",
1100350,#Funtime,"16 Jul, 2020","12,49€",
614910,#monstercakes,"5 May, 2017","0,99€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
1034230,***,"17 Mar, 2019","0,79€",
3138760,+ PC Maker,2025,,
2876140,+1x2,"21 Mar, 2024","0,99€",
729370,-KLAUS-,"23 Jan, 2019","4,99€",
3164120,0927,"29 Aug, 2024","6,89€",
670750,0°N 0°W,"1 Mar, 2018","4,99€",
2218850,1 Day Later: Escape Zombie Hospital,"2 Dec, 2022","1,99€",
2331220,1 Million Zombies,"10 Dec, 2023","9,75€",
497400,1 Moment Of Time: Silentville,"22 Jul, 2016","0,99€",
3376520,1+1=？,"4 Mar, 2025","0,99€",
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
1071310,"1, 2, 3... Bruegel!","19 Jun, 2019","2,39€",
1362470,1-Bit Astronaut,Coming soon,,
435790,10 Second Ninja X,"19 Jul, 2016","9,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
3495020,100 Africa Cats,2025,Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
3051050,100 Aztec Cats,"4 May, 2025","0,99€",
3466430,100 Berlin Cats,2025,Free,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2784520,100 Cats Argentina,2025,,
2796360,100 Cats Beijing,2025,Free,
2796350,100 Cats Belgrade,"9 Jun, 2025",,
2791650,100 Cats Berlin,"27 Aug, 2024","0,49€",
2784210,100 Cats Greece,2025,,
3561790,100 Cats India,2025,,
3561830,100 Cats Istanbul,2025,,
3561760,100 Cats Italy,2025,,
2784140,100 Cats London,"16 Mar, 2025","1,99€",
3743830,100 Cats Lost In World Find & Color,Coming soon,,
2784250,100 Cats Mexico,"22 Sep, 2024","0,99€",
2782380,100 Cats New York,"27 Aug, 2024",Free,
2784280,100 Cats Pakistan,2025,Free,
3561810,100 Cats Philippines,2025,,
2800300,100 Cats Singapore,"1 Nov, 2024","0,49€",
3693530,100 Cats World,Coming soon,,
3141120,100 China Cats,Coming soon,Free,
2687190,100 Christmas Cats,"1 Dec, 2023",Free,
2954460,100 Crime Cats,Coming soon,Free,
3495030,100 Cyprus Cats,2025,Free,
2803000,100 Dino Cats,"26 Feb, 2024",Free,
3048670,100 Dogs,"13 Jul, 2024","3,99€",
3252600,100 Dogs in India,"9 Mar, 2025","0,99€",
1743710,100 Doors - Escape from Prison,"15 Jun, 2022","8,19€",
2812900,100 Doors Escape - Let me In!,"28 Mar, 2024","9,75€",
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
1684530,100 Doors: Escape from Work,"2 Mar, 2022","8,19€",
3495040,100 Dubai Cats,2025,Free,
3017380,100 Egypt Cats,"17 Apr, 2025","0,99€",
3141080,100 Fantasy Cats,Coming soon,,
2954560,100 Forest Cats,"18 May, 2025","0,89€",
2881230,100 Funny Cats,"1 Apr, 2024",Free,
3466440,100 Greece Cats,2025,Free,
3288020,100 Hidden Capybaras,To be announced,,
3220090,100 hidden Cats : Kitty House,"26 Sep, 2024","0,99€",
3286360,100 hidden Cats : Kitty House 2,"29 Oct, 2024","0,99€",
3549060,100 hidden Cats : Ninja,"27 Jun, 2025",,
3154590,100 hidden Cats : Pirates,"11 Oct, 2024","0,99€",
3464500,100 hidden Cats : Playground,"6 Feb, 2025","1,49€",
2998850,100 hidden Cthulhu fish,"20 Jun, 2024","2,60€",
3110750,100 hidden Cthulhu fish 2,"16 Aug, 2024","1,50€",
3245740,100 Hidden Kooky & Hiking Boots,"25 Oct, 2024","1,99€",
2746760,100 Hidden Kooky - Sand & Sun,"7 Jan, 2024","1,50€",
3657290,100 Hidden Pandas: Village,"9 May, 2025","0,83€",
3466450,100 India Cats,2025,Free,
3141070,100 Indonesia Cats,Coming soon,Free,
2845250,100 Istanbul Cats,"17 May, 2024",Free,
3141130,100 Italy Cats,Coming soon,Free,
2932930,100 Korea Cats,"15 Dec, 2024",Free,
2687200,100 London Cats,Coming soon,Free,
3495000,100 Los Angeles Cats,2025,Free,
2845260,100 March Cats,"6 Mar, 2024",Free,
3466420,100 Miami Cats,2025,Free,
3340750,100 New Year Cats,"5 Dec, 2024",Free,
2776810,100 Ninja Cats,"12 Feb, 2024",Free,
2776910,100 Paris Cats,Coming soon,Free,
2775830,100 Pirate Cats,Coming soon,Free,
2803010,100 Robo Cats,"26 Feb, 2024",Free,
2827560,100 Romantic Cats,"13 Feb, 2025",Free,
3141140,100 Sea Cats,Coming soon,Free,
3466460,100 Singapore Cats,2025,Free,
2854290,100 Space Cats,"16 Jun, 2024",Free,
3445520,100 Sri Lanka Cats,2025,Free,
3141090,100 Thailand Cats,Coming soon,Free,
3037060,100 Waiting Cats,"6 Oct, 2024",Free,
1491150,100 Worlds - Escape Room Game,"16 Apr, 2022","8,19€",
