appid,name,release_date,promo_price,normal_price
1921480,#BLUD,"18 Jun, 2024","24,99€",
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
3657290,100 Hidden Pandas: Village,"9 May, 2025","0,83€",
1491150,100 Worlds - Escape Room Game,"15 Apr, 2022","8,19€",
3164560,100 Wars,"15 Oct, 2024","0,75€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
3214780,3D PUZZLE - Colonial Graveyard,"24 Sep, 2024","9,74€",
2902660,3Souls Parallel Edition,"5 Apr, 2024","3,99€",
3074660,5 Crowns,"13 Aug, 2024",Free,
3222860,60 BPM,"27 Jan, 2025","3,44€",
1153520,6Souls,"3 Dec, 2021","4,99€",
1859280,7 Days to End with You,"6 Feb, 2022","7,79€",
3300260,8 Ball: Reborn,"6 Nov, 2024","0,99€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
369420,9 Clues 2: The Ward,"23 Jul, 2015","14,79€",
284870,9 Clues: The Secret of Serpent Creek,"10 Jul, 2014","14,79€",
3564700,9 Trials of Whiskers,Q3 2025,,
1402120,9 Years of Shadows,"27 Mar, 2023","18,49€",
2773640,99 Waves,"2 Feb, 2024","3,99€",
2687040,9Cat Saga,Q1 2026,,
1550180,9th Dawn Remake,"25 Sep, 2024","15,79€",
1598880,A Boy's Journey,Coming soon,,
2375640,A Cairn Tale,To be announced,,
977950,A Dance of Fire and Ice,"24 Jan, 2019","4,99€",
2564240,A Dragon's Tale: Fading Light,"15 Feb, 2024","5,89€",
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
1561080,A Frog's Tale,To be announced,,
58550,A Game of Thrones - Genesis,"28 Sep, 2011","9,99€",
1075190,A Game of Thrones: The Board Game - Digital Edition,"6 Oct, 2020","19,99€",
1914740,A HERO AND A GARDEN,"5 May, 2022","4,99€",
2833430,A Journey's End,To be announced,,
1252830,A Juggler's Tale,"29 Sep, 2021","14,99€",
1934800,a pet shop after dark,"30 Aug, 2022","9,75€",
2832470,A Rite from the Stars: Remaster Edition,"2 Feb, 2025","11,99€",
2818690,A Short Odyssey,To be announced,,
278360,A Story About My Uncle,"28 May, 2014","14,99€",
500320,A Tale of Caos: Overture,"21 Dec, 2016","9,75€",
2918070,A Tale of Sand and Bone,Coming soon,,
2319470,A TAVERN FOR TEA,"24 Mar, 2023","2,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
313870,A Vampyre Story,"15 Jul, 2014","9,75€",
2337310,"A Viking's Quest, the Lost Continent",To be announced,,
2560020,A Walk in the Park,"18 Jul, 2024","3,99€",
909170,"A.D.M(Angels,Demons And Men)","15 Aug, 2018","0,99€",
2687300,Aarik And The Ruined Kingdom,"20 Jun, 2024","7,79€",
222640,Aarklash: Legacy,"12 Sep, 2013","13,29€",
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
1681840,Abalon: Roguelike Tactics CCG,"11 May, 2023","28,99€",
1788130,Abomifighters: World League,Coming soon,,
611860,Aborigenus,"17 Oct, 2018","0,62€",
2515110,About Cannons & Sparrows,To be announced,,
1233250,Abracadabrew,"14 Oct, 2020","11,49€",
2998050,Abrakajumpa,"12 Jun, 2024",Free,
2536710,Absence of Light,"9 Nov, 2024","1,17€",
1670530,Absentis,"28 Jan, 2025","0,99€",
1904480,Absolum,Coming soon,,
1636660,Absolute Tactics: Daughters of Mercy,"15 Sep, 2022","24,50€",
2473070,Absorber,"10 Jul, 2023","3,00€",
2955700,Abyss Looters,Coming soon,,
3190990,Abyss Lord,2025,,
255070,Abyss Odyssey,"15 Jul, 2014","14,99€",
3433960,Abyss Unleashed,Coming soon,,
2244780,Abyss World : Apocalypse,To be announced,Free,
2747280,Abyss: New Dawn,June 2025,,
284710,Abyss: The Wraiths of Eden,"3 Apr, 2014","14,79€",
3343810,AbyssCat,Coming soon,,
384190,ABZU,"2 Aug, 2016","19,99€",
2719000,Ace Triad,"22 Jan, 2024","0,99€",
1815570,Aces & Adventures,"23 Feb, 2023","19,50€",
1385380,Across the Obelisk,"16 Aug, 2022","19,99€",
2597200,Across the Wonderlands,To be announced,,
2535850,ADA: Tainted Soil,Q4 2025,,
2752680,Adapta Solva,"14 Feb, 2024",Free,
1082780,ADM 2(WHEN WORLDS COLLIDE),"14 Jun, 2019","0,99€",
2327060,Adspectabilis,To be announced,,
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
2244450,Adventure mosaics. Autumn Journey,"8 May, 2023","5,89€",
1162640,Adventure mosaics. Forest spirits,"5 Mar, 2020","4,99€",
1597870,Adventure Mosaics. Granny’s Farm,"20 Jul, 2021","4,99€",
2244440,Adventure mosaics. Lost Expedition,"20 Jan, 2023","5,89€",
1929950,Adventure Mosaics. Moto-Trip,"24 Mar, 2022","4,99€",
1314270,Adventure mosaics. Small Islanders,"11 Aug, 2020","4,99€",
2244460,Adventure Mosaics. Winter Holidays,"12 Dec, 2024","5,89€",
3733990,Adventurer's Gate,Coming soon,,
3297040,Adventurers Guild Inc.,Q1 2026,,
3022380,Adventures in Calculon,To be announced,,
2394330,Adventures of Ben: Rabbit Run,"4 May, 2023","12,79€",
1943610,Aero Tales Online: The World - Anime MMORPG,"1 Aug, 2022",Free,
2710920,Aeterna Lucis,September 2025,,
1249070,AeternoBlade II: Infinity,"7 Sep, 2020","20,99€",
2462790,Aether,"14 Nov, 2023","4,99€",
1786010,AETHERIS,"7 Nov, 2023","5,99€",
2101490,After Wave: Downfall,"19 Jan, 2023","9,75€",
1338490,AFTERBLAST,Q2 2025,,
1491810,Afterland,Coming soon,,
762220,Afterparty,"22 Oct, 2020","19,50€",
1745190,Against Ether,To be announced,,
1709520,Age Of Albuvia,Coming soon,,
1753500,Age of Barbarians Chronicles,To be announced,,
855590,Age of Cards - Ra's Chess,Coming soon,,
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
1426450,Age of Darkness: Final Stand,"15 Jan, 2025","26,99€",
603320,Age of Defense,"29 Jul, 2024","13,99€",
3042480,Age of Defense: Prehistory,"29 Jul, 2024",Free,
2555570,Age of Goblins,"24 Jul, 2024","4,99€",
2173200,Age of Heroes: The Beginning,"24 Oct, 2022","1,95€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
1934680,Age of Mythology: Retold,"4 Sep, 2024","29,99€",
1161830,Age of Reforging:The Freelands,"29 Apr, 2025","28,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
497580,Agent Walker: Secret Journey,"1 Sep, 2016","14,79€",
2186320,Ages of Conflict: World War Simulator,"17 Feb, 2023","6,89€",
3198410,Agnition: Ignis,"4 Nov, 2024","4,99€",
3492730,Agora,June 2025,Free,
2407270,AI LIMIT,"27 Mar, 2025","34,99€",
1889620,AI Roguelite,"26 Oct, 2023","9,75€",
261430,AION MMO,"16 Dec, 2015",Free,
1144520,Air,"30 Oct, 2019","2,99€",
3397780,Air Master HANEMARU,Coming soon,,
2403620,Air Twister,"10 Nov, 2023","24,99€",
664590,Airi's World,"13 Jul, 2017","9,75€",
1493940,Airoheart,"30 Sep, 2022","19,99€",
2422080,Ajax’s Trial,"26 May, 2023",Free,
1442520,Akatori,To be announced,,
1904640,Al-Qadim: The Genie's Curse,"29 Mar, 2022","4,99€",
919360,Alaloth: Champions of The Four Kingdoms,"21 Nov, 2024","34,99€",
761890,Albion Online,"16 May, 2018",Free,
521620,Alchemist Adventure,"10 Jun, 2021","14,79€",
3043310,Alchemist Shop Simulator,"11 Mar, 2025","9,59€",
431450,Alchemist's Awakening,"3 Jun, 2019","9,50€",
2487110,Alchemy Deck,"18 Mar, 2024","9,75€",
935400,Alchemy Garden,"12 Dec, 2022","8,79€",
326190,Alchemy Mysteries: Prague Legends,"22 Dec, 2014","1,99€",
1865650,Aldebaran Legend,"27 Oct, 2022","7,79€",
3191740,Aldo: Memory of the Kingdom,"1 Apr, 2025","13,79€",
1460820,"Aldriak, the advent of a new world","28 Nov, 2024","19,99€",
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
2870840,Ale & Tale Tavern: First Pints,"20 Jun, 2024",Free,
1195560,Alek - The Lost Kingdom,"27 Mar, 2021","16,79€",
3471760,Aleprok,"28 Mar, 2025","5,89€",
3092710,Alia's Chronicles,To be announced,,
839670,Alice's Adventures - Hidden Object Puzzle Game,"9 Jun, 2018","3,99€",
1034380,Alice's Jigsaw. Wonderland Chronicles,"10 Apr, 2019","4,99€",
19680,Alice: Madness Returns,"17 Jun, 2011","9,99€",
1450620,Alien Duel Elements,"27 Nov, 2020","1,99€",
