appid,name,release_date,promo_price,normal_price
1074060,,Coming soon,,
1045750,,Coming soon,,
3197050,.redruM,"17 Oct, 2024","4,99€",
3146550,100 SCREAMERS,Coming soon,,
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
1128830,1001 Jigsaw World Tour: Europe,"19 Aug, 2019","4,99€",
3064410,10:59,"15 Jul, 2024","4,71€",
1727990,13 WOOD ST,"1 Oct, 2021","9,75€",
1758220,13:ORIGIN - Chapter One,"28 Jul, 2023","1,76€",
3305700,13km Deep,To be announced,,
3387100,15 Minutes,2025,,
2834370,15th Floor,"5 Apr, 2024","3,99€",
3202260,15th Prison,"20 May, 2025","3,59€",
3459760,18th Floor,"20 Feb, 2025","2,99€",
248490,1953 - KGB Unleashed,"20 Sep, 2013","2,99€",
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
1360620,"20,000 Miles Under the Sea","27 Jul, 2020",Free,
2761830,24,"27 Jun, 2025",,
2690290,24H Stories: The Blackout,"27 Nov, 2023","4,99€",
435100,2Dark,"10 Mar, 2017","24,99€",
3323800,3 Nights of Terror,To be announced,,
535700,3D Chess,"6 Dec, 2016","3,99€",
1269700,4 Minutes to the Apocalypse,Coming soon,,
1012880,60 Seconds! Reatomized,"25 Jul, 2019","4,87€",
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
1562920,7 Years From Now,"17 Jun, 2021","9,99€",
1494140,7Days Origins,"2 May, 2021","7,39€",
3018430,7th Floor,Coming soon,,
749250,7th Sector,"5 Mar, 2019","12,79€",
1544860,8874,To be announced,,
369420,9 Clues 2: The Ward,"23 Jul, 2015","14,79€",
284870,9 Clues: The Secret of Serpent Creek,"10 Jul, 2014","14,79€",
2366080,911: Cannibal,"14 Apr, 2023","3,99€",
2537120,911: Prey,"16 Aug, 2023","3,99€",
3196750,[Bober Bros] Happy House,Coming soon,,
3037930,[Bober Bros] The Hole,"5 Dec, 2024","2,99€",
2716110,[Chilla's Art] Jisatsu | 自撮,"15 Dec, 2023","5,30€",
2367230,[Chilla's Art] Night Security | 夜間警備,"16 Jun, 2023","7,01€",
1147960,[Chilla's Art] Okaeri | おかえり,"6 Sep, 2019","2,69€",
2314720,[Chilla's Art] Parasocial | パラソーシャル,"25 Aug, 2023","7,01€",
2793370,[Chilla's Art] Shinkansen 0 | 新幹線 0号,"22 Mar, 2024","6,20€",
1162680,[Chilla's Art] Stigmatized Property | 事故物件,"25 Oct, 2019","2,69€",
2200190,[Chilla's Art] The Karaoke | ヒトカラ🎤,"3 Feb, 2023","5,30€",
3509050,[REC] Desolation,"27 Feb, 2025","2,79€",
2974060,[REC] Paroxysm,"25 Jul, 2024","2,58€",
3176560,[Southern Fjords] Newspaper Day,"11 Nov, 2024","3,99€",
3431830,[Southern Fjords] Veil of Pestilence,Coming soon,,
2070550,A Castle Full of Cats,"9 Nov, 2022","3,90€",
1285510,A Day Without Me,"26 Jun, 2020","4,99€",
