appid,name,release_date,promo_price,normal_price
2830760,1 Shot 1 Kill,To be announced,,
322110,20XX,"16 Aug, 2017","14,99€",
1029210,30XX,"9 Aug, 2023","19,50€",
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
739080,9 Monkeys of Shaolin,"16 Oct, 2020","19,99€",
2673730,A ARMY BASE,"7 Dec, 2023","0,99€",
585190,A Gummy's Life,"2 Oct, 2018","19,99€",
347280,A Quiver of Crows,"19 Oct, 2016","14,99€",
1167730,A Time Paradox,"1 Sep, 2020","9,99€",
1222700,A Way Out,"18 Jun, 2020","29,99€",
3010090,Aaero2,"13 Dec, 2024","14,79€",
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
2295610,Abathor,"25 Jul, 2024","14,79€",
921730,Abberbury,"18 Apr, 2019","1,99€",
1233250,Abracadabrew,"14 Oct, 2020","11,49€",
1904480,Absolum,Coming soon,,
255070,Abyss Odyssey,"15 Jul, 2014","14,99€",
2747280,Abyss: New Dawn,June 2025,,
859350,Aces of the Luftwaffe - Squadron,"24 Jul, 2018","14,99€",
2187300,Active Soccer 2023,"29 Mar, 2023","14,79€",
725120,ADIOS Amigos: Galactic Explorers,"12 Sep, 2018","12,49€",
1460050,Adventure Bit,"10 Jan, 2021","1,99€",
1097770,Aeolis Tournament,"16 Jul, 2020","4,99€",
1252240,Aeon Drive,"30 Sep, 2021","14,99€",
573660,AereA,"2 Jun, 2017","6,89€",
2804740,Aerial_Knight's We Never Yield,"16 Jul, 2024","7,49€",
2462790,Aether,"14 Nov, 2023","4,99€",
1913210,AEW: Fight Forever,"29 Jun, 2023","39,99€",
2101490,After Wave: Downfall,"19 Jan, 2023","9,75€",
1753500,Age of Barbarians Chronicles,To be announced,,
820610,Ages of Mages: The last keeper,"13 Feb, 2019","5,99€",
390930,AIPD - Artificial Intelligence Police Department,"28 Jan, 2016","9,99€",
2076220,Akai Katana Shin,"14 Dec, 2022","28,49€",
1246540,Alice Sisters,"20 Sep, 2020","5,89€",
