appid,name,release_date,promo_price,normal_price
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
3651720,3D PUZZLE - Leafless,"20 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
2630820,3D PUZZLE - Harbor,"18 Oct, 2023","37,05€",
2947730,3D PUZZLE - Hospital 1,"9 May, 2024","58,50€",
2973540,3D PUZZLE - Hospital 2,"27 May, 2024","194,99€",
3009820,3D PUZZLE - Hospital 4,"26 Jun, 2024","9,74€",
2670730,3D PUZZLE - Kingdom in dark,"13 Nov, 2023","58,50€",
2423660,3D PUZZLE - LAST OF CITY,"23 May, 2023","23,40€",
2466890,3D PUZZLE - Medieval Inn,"22 Jun, 2023","46,80€",
1885090,3D PUZZLE - Modern House,"9 Feb, 2022","23,40€",
2973560,3D PUZZLE - Old Sea Port,"22 May, 2024","58,50€",
3009770,3D PUZZLE - OldHospital,"26 Jun, 2024","9,74€",
3009800,3D PUZZLE - OutPost,"26 Jun, 2024","9,74€",
3165290,3D PUZZLE - Pirate Tavern,"20 Sep, 2024","9,74€",
2947740,3D PUZZLE - Pirates,"9 May, 2024","58,50€",
2423650,3D PUZZLE - PORT,"23 May, 2023","23,40€",
2703260,3D PUZZLE - Post-Apocalyptic 3,"26 Dec, 2023","5,85€",
3660800,3D PUZZLE - Race Track,"20 May, 2025","116,99€",
3009790,3D PUZZLE - Rusty,"26 Jun, 2024","9,74€",
3079410,3D PUZZLE - Sun Temple,"23 Jul, 2024","194,99€",
3009780,3D PUZZLE - Underground,"26 Jun, 2024","9,74€",
2703210,3D PUZZLE - Wild West,"8 Dec, 2023","194,99€",
2703220,3D PUZZLE - World War II,"8 Dec, 2023","194,99€",
749250,7th Sector,"5 Mar, 2019","12,79€",
2422040,808cc,To be announced,,
1996850,A Chocolate World (the impossible game),"4 Dec, 2023","0,99€",
1102500,A Glider's Journey,"27 Sep, 2019","9,75€",
46200,A.I.M. Racing,"22 Jan, 2010","2,99€",
345990,ABRACA - Imagic Games,"31 Mar, 2016","14,99€",
2706370,AC Sailing,"9 Apr, 2024",Free,
2411170,Academy: Become a Hero,Coming soon,,
495290,AccuRC 2,"12 Jul, 2017","46,99€",
3698490,ACRODRIFT: FPV Drone Simulator,To be announced,,
285820,Action Henk,"11 May, 2015","14,99€",
3466260,Adrenaline: Online,Coming soon,,
1675100,AE86 EUROBEAT DRIFT,"16 Jul, 2021","9,99€",
3118620,AERO BATTLE ROYALE,"9 Aug, 2024","2,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
2095880,Air Splitter,Coming soon,Free,
1772800,Airborne Motocross,"8 Apr, 2022","4,99€",
3595280,Airplane Racing Championship,May 2025,,
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
849100,Alaskan Road Truckers,"18 Oct, 2023","21,50€",
2074750,All-In-One Summer Sports VR,"31 Jul, 2023","19,50€",
673190,All-Star Fruit Racing,"13 Jul, 2018","19,99€",
2280150,ALMOST,Coming soon,,
3698590,Amato,To be announced,,
942220,Ambulance Simulator,To be announced,,
1257480,American Motorcycle Simulator,To be announced,,
3215380,Anarchy Racer: Fury Roads,Coming soon,,
1671390,Ancient Dino Runner,"20 Jul, 2021","0,99€",
756680,Angelo Skate Away,"26 Jan, 2018","4,99€",
2328910,Aniballs,"14 Mar, 2023",Free,
2649820,Animal Kart Racer 2,"26 Mar, 2024","14,99€",
2805620,Animals vs Animals,"4 Mar, 2024","7,80€",
621020,Antigraviator,"6 Jun, 2018","19,50€",
2882650,Aqua Conflict: Canal Carnage,To be announced,,
468100,Aqua Moto Racing Utopia,"30 Nov, 2016","10,79€",
321450,Aquadelic GT,"25 Mar, 2015","4,99€",
3244700,Archaeology - Egypt,"2 Nov, 2024","9,74€",
3269620,Archaeology - Frozen Knights,"25 Nov, 2024","47,96€",
3463190,Archaeology - Frozen Pirates,"6 Feb, 2025","78,98€",
3463180,Archaeology - Frozen Space,"6 Feb, 2025","78,98€",
3269630,Archaeology - Frozen Village,"25 Nov, 2024","47,96€",
3230870,Archaeology - FROZEN WALL,"13 Oct, 2024","40,94€",
3214810,Archaeology - Medieval,"11 Oct, 2024","40,94€",
3244710,Archaeology - Post-Apocalypse,"2 Nov, 2024","9,74€",
3385430,Archaeology - Sand Fantasy,"19 Dec, 2024","59,48€",
3385440,Archaeology - Sand Japanese,"19 Dec, 2024","59,48€",
3071060,Arrive In Time,"25 Oct, 2024","3,99€",
550320,art of rally,"23 Sep, 2020","12,49€",
1815780,Asphalt Legends Unite,"2 Aug, 2022",Free,
805550,Assetto Corsa Competizione,"29 May, 2019","39,99€",
3058630,Assetto Corsa EVO,"16 Jan, 2025","39,99€",
1340020,Aster Fpv Drone Simulator,"22 Oct, 2020","16,79€",
2190380,Astral Tracks,"21 Nov, 2024","9,75€",
618630,Astral Traveler,"13 Sep, 2017","4,99€",
1627240,At the behest of the Pike: Time To Run,"12 Jul, 2021","5,50€",
622020,ATV Drift & Tricks,"14 Nov, 2017","9,99€",
3272600,Auto Jump,"4 Mar, 2025","4,99€",
483770,Autobahn Police Simulator 2,"7 Dec, 2017","19,95€",
2817580,Autofahrt,Q2 2026,,
293760,Automation - The Car Company Tycoon Game,"12 Mar, 2015","26,99€",
431600,Automobilista,"24 Aug, 2016","23,99€",
1066890,Automobilista 2,"1 Jul, 2020","36,99€",
2435520,Avalanca,Coming soon,,
