appid,name,release_date,promo_price,normal_price
1074060,,Coming soon,,
1045750,,Coming soon,,
2494780,#DRIVE Rally,"16 Apr, 2025","18,99€",
1059220,'83,Q4 2025,,
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
3138760,+ PC Maker,2025,,
2876140,+1x2,"21 Mar, 2024","0,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
278440,0RBITALIS,"28 May, 2015","7,99€",
2812900,100 Doors Escape - Let me In!,"28 Mar, 2024","9,75€",
1103100,1000 days to escape,"25 Jul, 2019","3,99€",
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
3064410,10:59,"15 Jul, 2024","4,71€",
793460,112 Operator,"23 Apr, 2020","4,19€",
1703470,12 locks and keys,"11 Aug, 2021","0,62€",
3387100,15 Minutes,2025,,
2834370,15th Floor,"5 Apr, 2024","3,99€",
3202260,15th Prison,"20 May, 2025","3,59€",
375460,16bit Trader,"4 Jun, 2015","2,99€",
290970,1849,"8 May, 2014","14,99€",
1118070,1976 - Back to midway,"10 Dec, 2020","12,49€",
3601150,1！2！3！Battle Card!,Coming soon,,
1360620,"20,000 Miles Under the Sea","27 Jul, 2020",Free,
3031250,21Pirates Card Game,To be announced,,
2800370,30 Days on Ship,Coming soon,,
675170,303 Squadron: Battle of Britain,"31 Aug, 2018","9,75€",
535700,3D Chess,"6 Dec, 2016","3,99€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
2052380,3D Massage,"20 Apr, 2023","2,56€",
1309200,3D Math - Ultra,"16 Jun, 2020","4,99€",
362830,3D MiniGolf,"29 May, 2015","3,99€",
492160,3D Pool,"17 Jun, 2016","6,99€",
3651720,3D PUZZLE - Leafless,"20 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
3165280,3D PUZZLE - Apocalyptic Wasteland,"20 Sep, 2024","9,74€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
1990310,3D PUZZLE - Castle,"19 May, 2022","27,30€",
3214780,3D PUZZLE - Colonial Graveyard,"24 Sep, 2024","9,74€",
3120290,3D PUZZLE - Courtyard,"19 Aug, 2024","194,99€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
3079460,3D PUZZLE - Deserted Village,"15 Aug, 2024","9,74€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3079420,3D PUZZLE - Flooded Grounds,"23 Jul, 2024","194,99€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
