appid,name,release_date,promo_price,normal_price
2101450,,Coming soon,,
1045750,,Coming soon,,
439550,'n Verlore Verstand,"5 Apr, 2016","0,99€",
1737960,(Old steam page),To be announced,,
1833060,-HOME- Survival,"12 Jul, 2024","8,79€",
3197050,.redruM,"17 Oct, 2024","4,99€",
771710,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"3 May, 2018","4,99€",
3164120,0927,"29 Aug, 2024","6,89€",
2218760,0xFF,"28 Mar, 2023","11,79€",
670750,0°N 0°W,"1 Mar, 2018","4,99€",
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
3495020,100 Africa Cats,2025,Free,
2845270,100 Aliens Cats,"9 Jun, 2024",Free,
3209400,100 ANIMALS ON AN ISLAND,"27 Sep, 2024",Free,
2667970,100 Asian Cats,"17 Dec, 2023",Free,
3051050,100 Aztec Cats,"4 May, 2025","0,99€",
3466430,100 Berlin Cats,2025,Free,
2743080,100 Capitalist Cats,"21 Jan, 2024",Free,
2784520,100 Cats Argentina,2025,,
2796360,100 Cats Beijing,2025,Free,
2796350,100 Cats Belgrade,"9 Jun, 2025",,
2791650,100 Cats Berlin,"27 Aug, 2024","0,49€",
2784210,100 Cats Greece,2025,,
3561790,100 Cats India,2025,,
2784140,100 Cats London,"16 Mar, 2025","1,99€",
3743830,100 Cats Lost In World Find & Color,Coming soon,,
2784250,100 Cats Mexico,"22 Sep, 2024","0,99€",
2782380,100 Cats New York,"27 Aug, 2024",Free,
2784280,100 Cats Pakistan,2025,Free,
2800300,100 Cats Singapore,"1 Nov, 2024","0,49€",
3693530,100 Cats World,Coming soon,,
3141120,100 China Cats,Coming soon,Free,
2687190,100 Christmas Cats,"1 Dec, 2023",Free,
2954460,100 Crime Cats,Coming soon,,
3495030,100 Cyprus Cats,2025,Free,
2803000,100 Dino Cats,"26 Feb, 2024",Free,
3048670,100 Dogs,"13 Jul, 2024","3,99€",
1684530,100 Doors: Escape from Work,"1 Mar, 2022","8,19€",
3495040,100 Dubai Cats,2025,Free,
3017380,100 Egypt Cats,"17 Apr, 2025","0,99€",
3141080,100 Fantasy Cats,Coming soon,,
2954560,100 Forest Cats,"18 May, 2025","0,89€",
2881230,100 Funny Cats,"1 Apr, 2024",Free,
3466440,100 Greece Cats,2025,Free,
3288020,100 Hidden Capybaras,To be announced,,
3464500,100 hidden Cats : Playground,"6 Feb, 2025","1,49€",
3245740,100 Hidden Kooky & Hiking Boots,"24 Oct, 2024","1,99€",
2746760,100 Hidden Kooky - Sand & Sun,"7 Jan, 2024","1,50€",
3466450,100 India Cats,2025,Free,
3141070,100 Indonesia Cats,Coming soon,Free,
2845250,100 Istanbul Cats,"17 May, 2024",Free,
3141130,100 Italy Cats,Coming soon,Free,
2932930,100 Korea Cats,"15 Dec, 2024",Free,
2687200,100 London Cats,Coming soon,Free,
3495000,100 Los Angeles Cats,2025,Free,
2845260,100 March Cats,"6 Mar, 2024",Free,
3466420,100 Miami Cats,2025,Free,
3340750,100 New Year Cats,"5 Dec, 2024",Free,
2776810,100 Ninja Cats,"12 Feb, 2024",Free,
2776910,100 Paris Cats,Coming soon,Free,
2775830,100 Pirate Cats,Coming soon,Free,
2803010,100 Robo Cats,"26 Feb, 2024",Free,
2827560,100 Romantic Cats,"13 Feb, 2025",Free,
3141140,100 Sea Cats,Coming soon,Free,
3466460,100 Singapore Cats,2025,Free,
2854290,100 Space Cats,"16 Jun, 2024",Free,
3445520,100 Sri Lanka Cats,2025,Free,
3141090,100 Thailand Cats,Coming soon,Free,
3037060,100 Waiting Cats,"6 Oct, 2024",Free,
1491150,100 Worlds - Escape Room Game,"16 Apr, 2022","8,19€",
3495050,100 Zombie Cats,2025,Free,
1141260,1000 Deaths (Thousand Deaths),Coming soon,,
2775180,101 Cats Hidden,"25 Jan, 2024","0,99€",
3110520,101 Cats Hidden in Amsterdam,"2 Aug, 2024","0,99€",
3530800,101 Cats Hidden in Antalya,"17 Mar, 2025","0,99€",
3242370,101 Cats Hidden in Australia,"19 Oct, 2024","0,99€",
3440240,101 Cats Hidden in Bangkok,"23 Jan, 2025","0,99€",
3725360,101 Cats Hidden in Barcelona,May 2025,,
3122950,101 Cats Hidden in Berlin,"11 Aug, 2024","0,99€",
3129760,101 Cats Hidden in Brazil,"19 Aug, 2024","0,99€",
3582790,101 Cats Hidden in Cancun,"12 Apr, 2025","0,99€",
2834780,101 Cats Hidden in Dubai,"26 Feb, 2024","0,99€",
