appid,name,release_date,promo_price,normal_price
1921480,#BLUD,"18 Jun, 2024","24,99€",
1737960,(Old steam page),To be announced,,
729370,-KLAUS-,"23 Jan, 2019","4,99€",
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
3197050,.redruM,"17 Oct, 2024","4,99€",
3146550,100 SCREAMERS,Coming soon,,
1141260,1000 Deaths (Thousand Deaths),Coming soon,,
3363000,1000 Princes: Born to Love You,"23 Jan, 2025","1,99€",
913850,103,"21 Dec, 2018","3,99€",
735580,11-11 Memories Retold,"8 Nov, 2018","24,99€",
1727990,13 WOOD ST,"1 Oct, 2021","9,75€",
1758220,13:ORIGIN - Chapter One,"28 Jul, 2023","1,76€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
2691090,14: Overmind,2025,,
248490,1953 - KGB Unleashed,"20 Sep, 2013","2,99€",
255280,1954 Alcatraz,"11 Mar, 2014","9,99€",
1186630,1971 PROJECT HELIOS,"9 Jun, 2020","9,99€",
1118070,1976 - Back to midway,"10 Dec, 2020","12,49€",
388320,1979 Revolution: Black Friday,"4 Apr, 2016","8,19€",
3294330,201 - The Bad Number,"10 Nov, 2024","4,02€",
1920930,2080 APOCALYPSE,Coming soon,,
2761830,24,"27 Jun, 2025",,
1023410,3 GEEKS 2012 (Version Gauloise pour Français),"22 Feb, 2019","4,99€",
832500,3 Minutes to Midnight® - A Comedy Graphic Adventure,"22 Aug, 2024","24,50€",
675170,303 Squadron: Battle of Britain,"31 Aug, 2018","9,75€",
3612480,3D Escape Room: Mystic Manor,July 2025,,
2902660,3Souls Parallel Edition,"5 Apr, 2024","3,99€",
1469750,3x3 the immersive fiction chapter one : Math awakening,"15 Dec, 2020","3,99€",
1269700,4 Minutes to the Apocalypse,Coming soon,,
799080,5 Star Hawaii Resort - Your Resort,"9 Mar, 2018","8,99€",
368360,60 Seconds!,"25 May, 2015","8,79€",
2202120,63 Days,"26 Sep, 2024","19,73€",
1562920,7 Years From Now,"17 Jun, 2021","9,99€",
1494140,7Days Origins,"2 May, 2021","7,39€",
3018430,7th Floor,Coming soon,,
3300260,8 Ball: Reborn,"6 Nov, 2024","0,99€",
1544860,8874,To be announced,,
668550,8Doors: Arum's Afterlife Adventure,"7 Apr, 2021","3,35€",
369420,9 Clues 2: The Ward,"23 Jul, 2015","14,79€",
284870,9 Clues: The Secret of Serpent Creek,"10 Jul, 2014","14,79€",
