appid,name,release_date,promo_price,normal_price
1074060,,Coming soon,,
1059220,'83,Q4 2025,,
1473350,(the) Gnorp Apologue,"14 Dec, 2023","5,69€",
2218760,0xFF,"28 Mar, 2023","11,79€",
227580,"10,000,000","15 Jan, 2013","4,99€",
553830,100 nya,"12 Nov, 2016","8,19€",
2948020,1000 Seconds,"6 Feb, 2025","2,99€",
413480,101 Ways to Die,"17 Mar, 2016","9,99€",
793460,112 Operator,"23 Apr, 2020","4,19€",
342580,12 Labours of Hercules,"23 Mar, 2015","2,99€",
360640,12 Labours of Hercules II: The Cretan Bull,"5 Jun, 2015","2,99€",
360650,12 Labours of Hercules III: Girl Power,"7 Aug, 2015","2,99€",
396800,12 Labours of Hercules IV: Mother Nature (Platinum Edition),"25 Dec, 2015","2,99€",
1026070,12 Labours of Hercules IX: A Hero's Moonwalk,"24 Oct, 2019","9,99€",
491330,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),"17 Jun, 2016","2,99€",
567800,12 Labours of Hercules VI: Race for Olympus (Platinum Edition),"21 Dec, 2016","2,99€",
663210,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),"12 Jan, 2018","2,99€",
938310,12 Labours of Hercules VIII: How I Met Megara,"26 Dec, 2018","2,39€",
1191280,12 Labours of Hercules X: Greed for Speed,"22 Apr, 2020","9,99€",
1402350,12 Labours of Hercules XI: Painted Adventure,"18 Nov, 2020","9,99€",
1475650,12 Labours of Hercules XII: Timeless Adventure,"28 Jun, 2021","9,99€",
1720780,12 Labours of Hercules XIII: Wonder-ful Builder,"3 Jan, 2022","9,99€",
1912330,12 Labours of Hercules XIV: Message in a Bottle,"24 Oct, 2022","9,99€",
2324370,12 Labours of Hercules XV: Little Big Adventure,"14 Aug, 2023","11,79€",
2700260,12 Labours of Hercules XVI: Olympic Bugs,"1 Feb, 2024","11,79€",
3163110,12 Labours of Hercules XVII: Feathered Fury,"14 Oct, 2024","11,79€",
1703470,12 locks and keys,"11 Aug, 2021","0,62€",
1865060,14 Minesweeper Variants,"14 Nov, 2022","6,89€",
2680390,15in1 Solitaire,"22 Feb, 2024","2,99€",
375460,16bit Trader,"4 Jun, 2015","2,99€",
2369760,17.waves TD,2025,,
1166230,1812: Napoleon Wars,"17 Oct, 2019","5,54€",
290970,1849,"8 May, 2014","14,99€",
616750,1943 Deadly Desert,"15 May, 2018","9,99€",
1186630,1971 PROJECT HELIOS,"9 Jun, 2020","9,99€",
3601150,1！2！3！Battle Card!,Coming soon,,
657110,2 Planets Fire and Ice,"7 Aug, 2017","8,99€",
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
3058100,2033 the order,"19 Jul, 2024","3,99€",
1653770,2089 - Space Divided,"30 Nov, 2024","14,99€",
2223590,2112TD: Tower Defense Survival,"19 Jan, 2023","4,69€",
3031250,21Pirates Card Game,To be announced,,
435100,2Dark,"10 Mar, 2017","24,99€",
1475460,3 Minute Heroes,"17 Nov, 2021","16,79€",
3338440,338338,"8 Jan, 2025","3,99€",
535700,3D Chess,"6 Dec, 2016","3,99€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
3411050,3D Escape Room: Detective Story,"13 Mar, 2025","7,79€",
3328700,3D Escape: Chinese Room,"4 Dec, 2024","1,99€",
1309200,3D Math - Ultra,"16 Jun, 2020","4,99€",
3651720,3D PUZZLE - Leafless,"20 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
3165280,3D PUZZLE - Apocalyptic Wasteland,"20 Sep, 2024","9,74€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
1990310,3D PUZZLE - Castle,"19 May, 2022","27,30€",
3214780,3D PUZZLE - Colonial Graveyard,"24 Sep, 2024","9,74€",
3120290,3D PUZZLE - Courtyard,"19 Aug, 2024","194,99€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
3079460,3D PUZZLE - Deserted Village,"15 Aug, 2024","9,74€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3079420,3D PUZZLE - Flooded Grounds,"23 Jul, 2024","194,99€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
2630820,3D PUZZLE - Harbor,"18 Oct, 2023","37,05€",
2947730,3D PUZZLE - Hospital 1,"9 May, 2024","58,50€",
2973540,3D PUZZLE - Hospital 2,"28 May, 2024","194,99€",
2973550,3D PUZZLE - Hospital 3,"28 May, 2024","194,99€",
3009820,3D PUZZLE - Hospital 4,"26 Jun, 2024","9,74€",
2050400,3D PUZZLE - Japan,"12 Jun, 2022","31,20€",
2670730,3D PUZZLE - Kingdom in dark,"13 Nov, 2023","58,50€",
2423660,3D PUZZLE - LAST OF CITY,"23 May, 2023","23,40€",
2466890,3D PUZZLE - Medieval Inn,"22 Jun, 2023","46,80€",
1873990,3D PUZZLE - Old House,"26 Jan, 2022","23,40€",
2973560,3D PUZZLE - Old Sea Port,"23 May, 2024","58,50€",
3009770,3D PUZZLE - OldHospital,"26 Jun, 2024","9,74€",
3009800,3D PUZZLE - OutPost,"26 Jun, 2024","9,74€",
3165290,3D PUZZLE - Pirate Tavern,"20 Sep, 2024","9,74€",
2947740,3D PUZZLE - Pirates,"9 May, 2024","58,50€",
3120320,3D PUZZLE - Pizza Shop 2,"11 Sep, 2024","9,74€",
2423650,3D PUZZLE - PORT,"23 May, 2023","23,40€",
2703260,3D PUZZLE - Post-Apocalyptic 3,"26 Dec, 2023","5,85€",
3660800,3D PUZZLE - Race Track,"21 May, 2025","116,99€",
3009790,3D PUZZLE - Rusty,"26 Jun, 2024","9,74€",
3079410,3D PUZZLE - Sun Temple,"23 Jul, 2024","194,99€",
3009780,3D PUZZLE - Underground,"26 Jun, 2024","9,74€",
2388390,3D PUZZLE - Vintage House,"25 Apr, 2023","23,40€",
2703210,3D PUZZLE - Wild West,"8 Dec, 2023","194,99€",
3120310,3D PUZZLE - Winter Outpost,"11 Sep, 2024","9,74€",
2703220,3D PUZZLE - World War II,"8 Dec, 2023","194,99€",
1292630,3on3 FreeStyle: Rebound,"15 Jul, 2020",Free,
1204230,4th Generation Warfare,"28 Jul, 2022","29,99€",
3074660,5 Crowns,"13 Aug, 2024",Free,
952230,5 Star Miami Resort,"25 Jun, 2019","8,99€",
636050,5 Star Rio Resort,"30 Jun, 2017","8,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2508220,50 Stars,Coming soon,,
502740,50 years,"26 May, 2017","4,99€",
1432250,6 takes!,To be announced,,
646270,60 Parsecs!,"18 Sep, 2018","4,87€",
368360,60 Seconds!,"25 May, 2015","8,79€",
1012880,60 Seconds! Reatomized,"25 Jul, 2019","4,87€",
2202120,63 Days,"26 Sep, 2024","19,73€",
251570,7 Days to Die,"25 Jul, 2024","43,99€",
289890,"7,62 High Calibre","30 Apr, 2014","4,99€",
427250,8-Bit Armies,"22 Apr, 2016","14,79€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
531680,8-Bit Invaders!,"16 Dec, 2016","14,79€",
2784470,9 Kings,"23 May, 2025",,
1439750,9-Bit Armies: A Bit Too Far,"26 Aug, 2024","18,47€",
503560,911 Operator,"24 Feb, 2017","2,99€",
12480,9th Company: Roots Of Terror,"3 Dec, 2009","9,99€",
3065090,[2.0.3] MEH 🖥️,"4 Jul, 2024",Free,
1162680,[Chilla's Art] Stigmatized Property | 事故物件,"26 Oct, 2019","2,69€",
1358000,_OUR_:_Defense 2021,"6 Sep, 2020","3,99€",
1996850,A Chocolate World (the impossible game),"4 Dec, 2023","0,99€",
526890,A Day in the Woods,"26 Oct, 2016","4,99€",
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
2936470,A Fistful Of Yankees,Coming soon,,
451310,A Fold Apart,"17 Apr, 2020","9,75€",
3682910,A game about cards,Coming soon,,
58550,A Game of Thrones - Genesis,"28 Sep, 2011","9,99€",
1075190,A Game of Thrones: The Board Game - Digital Edition,"6 Oct, 2020","19,99€",
316610,A Good Snowman Is Hard To Build,"25 Feb, 2015","14,79€",
1506760,A House of Thieves,"21 Jan, 2021","10,99€",
1232150,A Little Golf Journey,"14 Oct, 2021","10,99€",
1295810,A Little Shop in Squirrel Town,"8 Jan, 2021","12,79€",
856990,A Long Way Down,"27 Aug, 2020","14,99€",
2397880,A Maze Dream: the puzzle journey,"16 Feb, 2024","3,99€",
1858090,A Modest Legacy,"23 Jan, 2023","9,75€",
1052990,A Monster's Expedition,"10 Sep, 2020","19,99€",
1112580,A pirate quartermaster,"2 Oct, 2020","14,99€",
1170980,A Planet of Mine,"10 Dec, 2019","6,89€",
3391740,A Planet of Mine MasterMine Edition,Coming soon,,
3499430,A Recipe for Survival - Cat Cooking Roguelike Deckbuilder,Q1 2026,,
2251740,A Simple Square,To be announced,,
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","29,99€",
712100,A Total War Saga: THRONES OF BRITANNIA,"3 May, 2018","39,99€",
