appid,name,release_date,promo_price,normal_price
814940,,Coming soon,,
1045750,,Coming soon,,
1737960,(Old steam page),To be announced,,
525480,.hack//G.U. Last Recode,"3 Nov, 2017","49,99€",
227580,"10,000,000","15 Jan, 2013","4,99€",
2948020,1000 Seconds,"6 Feb, 2025","2,99€",
3164560,100 Wars,"15 Oct, 2024","0,75€",
1228500,1428: Shadows over Silesia,"4 Oct, 2022","19,99€",
375460,16bit Trader,"4 Jun, 2015","2,99€",
332710,1Quest,"3 Dec, 2014","3,99€",
3634950,"2,4D Game",Coming soon,Free,
1966900,20 Minutes Till Dawn,"8 Jun, 2023","4,99€",
1192630,23UL,"26 Oct, 2021","1,59€",
2761830,24,"27 Jun, 2025",,
1098080,3000th Duel,"12 Dec, 2019","12,49€",
2052380,3D Massage,"20 Apr, 2023","2,56€",
3651720,3D PUZZLE - Leafless,"20 May, 2025","116,99€",
3079400,3D PUZZLE - Abandoned Prison,"22 Jul, 2024","194,99€",
3165280,3D PUZZLE - Apocalyptic Wasteland,"20 Sep, 2024","9,74€",
2466850,3D PUZZLE - Battle Royal,"5 Jul, 2023","58,50€",
2703250,3D PUZZLE - Breaking Bed,"26 Dec, 2023","5,85€",
2630810,3D PUZZLE - Building,"18 Oct, 2023","58,50€",
1990310,3D PUZZLE - Castle,"19 May, 2022","27,30€",
3214780,3D PUZZLE - Colonial Graveyard,"24 Sep, 2024","9,74€",
3120290,3D PUZZLE - Courtyard,"19 Aug, 2024","194,99€",
2466870,3D PUZZLE - Desert Wind,"5 Jul, 2023","31,20€",
3079460,3D PUZZLE - Deserted Village,"15 Aug, 2024","9,74€",
2756860,3D PUZZLE - Factory,"22 Jan, 2024","29,25€",
2466880,3D PUZZLE - Farming,"22 Jun, 2023","31,20€",
2670720,3D PUZZLE - Farming 2,"13 Nov, 2023","58,50€",
3079420,3D PUZZLE - Flooded Grounds,"23 Jul, 2024","194,99€",
3214800,3D PUZZLE - Gas Station,"20 Oct, 2024","194,99€",
2703230,3D PUZZLE - Hangar,"18 Jul, 2024","194,99€",
2630820,3D PUZZLE - Harbor,"18 Oct, 2023","37,05€",
2947730,3D PUZZLE - Hospital 1,"9 May, 2024","58,50€",
2973540,3D PUZZLE - Hospital 2,"27 May, 2024","194,99€",
2973550,3D PUZZLE - Hospital 3,"27 May, 2024","194,99€",
3009820,3D PUZZLE - Hospital 4,"26 Jun, 2024","9,74€",
2670730,3D PUZZLE - Kingdom in dark,"13 Nov, 2023","58,50€",
2423660,3D PUZZLE - LAST OF CITY,"23 May, 2023","23,40€",
2466890,3D PUZZLE - Medieval Inn,"22 Jun, 2023","46,80€",
2973560,3D PUZZLE - Old Sea Port,"22 May, 2024","58,50€",
3009770,3D PUZZLE - OldHospital,"26 Jun, 2024","9,74€",
3009800,3D PUZZLE - OutPost,"26 Jun, 2024","9,74€",
3165290,3D PUZZLE - Pirate Tavern,"20 Sep, 2024","9,74€",
2947740,3D PUZZLE - Pirates,"9 May, 2024","58,50€",
3120300,3D PUZZLE - Pizza Shop 1,"19 Aug, 2024","194,99€",
3120320,3D PUZZLE - Pizza Shop 2,"11 Sep, 2024","9,74€",
2423650,3D PUZZLE - PORT,"23 May, 2023","23,40€",
2703260,3D PUZZLE - Post-Apocalyptic 3,"26 Dec, 2023","5,85€",
3660800,3D PUZZLE - Race Track,"20 May, 2025","116,99€",
3009790,3D PUZZLE - Rusty,"26 Jun, 2024","9,74€",
3009780,3D PUZZLE - Underground,"26 Jun, 2024","9,74€",
2388390,3D PUZZLE - Vintage House,"25 Apr, 2023","23,40€",
2703210,3D PUZZLE - Wild West,"8 Dec, 2023","194,99€",
3120310,3D PUZZLE - Winter Outpost,"11 Sep, 2024","9,74€",
2703220,3D PUZZLE - World War II,"8 Dec, 2023","194,99€",
1292630,3on3 FreeStyle: Rebound,"15 Jul, 2020",Free,
1269700,4 Minutes to the Apocalypse,Coming soon,,
3074660,5 Crowns,"13 Aug, 2024",Free,
646270,60 Parsecs!,"18 Sep, 2018","4,87€",
