appid,name,release_date,promo_price,normal_price
2830760,1 Shot 1 Kill,To be announced,,
1238280,100 Doors Game - Escape from School,"20 Mar, 2020",Free,
1029210,30XX,"9 Aug, 2023","19,50€",
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","29,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
1222700,A Way Out,"18 Jun, 2020","29,99€",
3238580,A World of Keflings,Coming soon,,
2295610,Abathor,"25 Jul, 2024","14,79€",
921730,Abberbury,"18 Apr, 2019","1,99€",
427410,Abiotic Factor,"2 May, 2024","33,99€",
979000,Abrakadaboom,"18 Apr, 2019","17,90€",
473690,Absolver,"29 Aug, 2017","28,99€",
769520,Abyss Crew,"31 Mar, 2025","9,99€",
2244780,Abyss World : Apocalypse,To be announced,Free,
2747280,Abyss: New Dawn,June 2025,,
2597200,Across the Wonderlands,To be announced,,
2767160,Adorimon : Arena of Ancients,"30 Jan, 2024",Free,
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
1460050,Adventure Bit,"10 Jan, 2021","1,99€",
728240,Adventure Time: Pirates of the Enchiridion,"17 Jul, 2018","13,74€",
1786010,AETHERIS,"7 Nov, 2023","5,99€",
751630,After the Fall®,"9 Dec, 2021","19,99€",
1491810,Afterland,Coming soon,,
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
221380,Age of Empires II (Retired),"9 Apr, 2013","19,99€",
813780,Age of Empires II: Definitive Edition,"14 Nov, 2019","32,99€",
"813780,1389240,1557210,1869820",Age of Empires II: Definitive Edition,"14 Nov, 2019","32,99€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
304530,Agents of Mayhem,"15 Aug, 2017","29,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
714010,Aimlabs,"16 Jun, 2023",Free,
261430,AION MMO,"16 Dec, 2015",Free,
206500,AirMech,"30 Mar, 2018",Free,
1843540,Akimbot,"29 Aug, 2024","19,99€",
1839710,Alchemists,"21 Feb, 2025","5,89€",
3202220,Aldian of Ancients,2025,,
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
1246540,Alice Sisters,"20 Sep, 2020","5,89€",
2257590,Alien Agent X,"27 Sep, 2024","3,99€",
2445380,Alien Cube,"11 Jul, 2023","0,99€",
"10680,10695,10697",Aliens VS Predator Collection,,"21,99€",
10680,Aliens vs. Predator™,"16 Feb, 2010","14,99€",
3112340,ALL IN VAIN,Q4 2025,,
459160,Allods Online,"3 Jun, 2016",Free,
1660080,Aloft,"15 Jan, 2025","24,99€",
275060,Alone in the Dark: Illumination™,"11 Jun, 2015","19,99€",
