appid,name,release_date,promo_price,normal_price
1556920,"1, 2 BLAME!","14 May, 2021","3,99€",
3766170,100 Cats Lost In Japan Find & Color,Coming soon,Free,
251570,7 Days to Die,"25 Jul, 2024","43,99€",
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
3617840,A Game About Penguins,To be announced,,
427410,Abiotic Factor,"2 May, 2024","33,99€",
823230,Demolition Pro Online,"17 Nov, 2022","19,95€",
1314000,Achilles: Legends Untold,"2 Nov, 2023","15,76€",
1200570,AColony,"19 Jan, 2023","19,99€",
2597200,Across the Wonderlands,To be announced,,
3466260,Adrenaline: Online,Coming soon,,
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
1252240,Aeon Drive,"30 Sep, 2021","14,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
2695490,Age of Water,"16 Jan, 2025","29,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
3202220,Aldian of Ancients,2025,,
2683150,Ale & Tale Tavern,"5 Sep, 2024","8,87€",
1246540,Alice Sisters,"20 Sep, 2020","5,89€",
3112340,ALL IN VAIN,Q4 2025,,
1660080,Aloft,"15 Jan, 2025","24,99€",
1733610,Alpine - The Simulation Game,"23 Nov, 2021","19,99€",
2524700,Altarium,"21 Oct, 2024","9,75€",
270880,American Truck Simulator,"2 Feb, 2016","19,99€",
3104430,Amikin Village,Coming soon,Free,
536270,Ancestors: The Humankind Odyssey,"27 Aug, 2020","39,99€",
488440,Angeldust,"21 Dec, 2019",Free,
2949910,ANGST: A TALE OF SURVIVAL,2025,,
3683030,Anime,Coming soon,,
3274580,Anno 117: Pax Romana,"13 Nov, 2025","59,99€",
1281630,Anno 1404 - History Edition,"25 Jun, 2020","14,99€",
2820110,Anno 1503 History Edition,"22 Apr, 2024","9,99€",
2820130,Anno 1602 History Edition,"22 Apr, 2024","9,99€",
2820140,Anno 1701 History Edition,"22 Apr, 2024","9,99€",
916440,Anno 1800,"16 Apr, 2019","59,99€",
2232600,Anomaly Exit,"31 Mar, 2024","3,99€",
2351990,Anseion - Fantasy MMORPG,December 2025,Free,
254370,Aquanox Deep Descent,"16 Oct, 2020","29,99€",
2179480,Ardem,Coming soon,,
2275010,Ardent Wilds,To be announced,,
407530,ARK: The Survival Of The Fittest,"29 Aug, 2017",,
649950,Ashen,"9 Dec, 2019","36,99€",
1898300,ASKA,"20 Jun, 2024","14,99€",
812140,Assassin's Creed® Odyssey,"5 Oct, 2018","59,99€",
582160,Assassin's Creed® Origins,"26 Oct, 2017","59,99€",
242050,Assassin’s Creed® IV Black Flag™,"19 Nov, 2013","39,99€",
2360250,Asterix & Obelix Slap Them All! 2,"17 Nov, 2023","24,99€",
2097190,Astoaria,Coming soon,,
1614550,Astro Colony,"7 Nov, 2022","19,50€",
3758420,Astro Out,Coming soon,,
361420,ASTRONEER,"6 Feb, 2019","29,99€",
834910,ATLAS,"22 Dec, 2018","24,99€",
1798230,ATMOSFAR,2026,,
2805850,Atre: Dominance Wars,2025,,
2762230,Aurora Hills: Chapter 1,"20 Apr, 2024",Free,
483770,Autobahn Police Simulator 2,"7 Dec, 2017","19,95€",
2817580,Autofahrt,Q2 2026,,
3165680,Avakin Life,Coming soon,Free,
1448230,Avalom: Ancestral Heroes,"13 Sep, 2021","14,99€",
