appid,name,release_date,promo_price,normal_price
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
977950,A Dance of Fire and Ice,"24 Jan, 2019","4,99€",
559330,A Fisherman's Tale,"22 Jan, 2019","3,74€",
58550,A Game of Thrones - Genesis,"28 Sep, 2011","9,99€",
1075190,A Game of Thrones: The Board Game - Digital Edition,"6 Oct, 2020","8,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
2352400,Abalon Arena: Multiplayer Card Tactics,To be announced,,
1788130,Abomifighters: World League,Coming soon,,
1233250,Abracadabrew,"14 Oct, 2020","11,49€",
2244780,Abyss World : Apocalypse,To be announced,Free,
2747280,Abyss: New Dawn,July 2025,,
1385380,Across the Obelisk,"16 Aug, 2022","19,99€",
2597200,Across the Wonderlands,To be announced,,
3003680,Adventure Allies,"3 Jan, 2025","10,82€",
1786010,AETHERIS,"7 Nov, 2023","23,99€",
2101490,After Wave: Downfall,"19 Jan, 2023","9,75€",
1338490,AFTERBLAST,Q3 2025,,
1491810,Afterland,Coming soon,,
855590,Age of Cards - Ra's Chess,Coming soon,,
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
1426450,Age of Darkness: Final Stand,"15 Jan, 2025","26,99€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
1934680,Age of Mythology: Retold,"4 Sep, 2024","29,99€",
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
3492730,Agora,June 2025,Free,
261430,AION MMO,"16 Dec, 2015",Free,
761890,Albion Online,"16 May, 2018",Free,
431450,Alchemist's Awakening,"3 Jun, 2019","9,50€",
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
2870840,Ale & Tale Tavern: First Pints,"20 Jun, 2024",Free,
459160,Allods Online,"3 Jun, 2016",Free,
672380,Ameline and the Ultimate Burger,"1 Aug, 2017","3,99€",
2650620,Ancient Stars,Coming soon,Free,
488440,Angeldust,"21 Dec, 2019",Free,
822240,Animal Jam,"8 Jan, 2025",Free,
2274010,Animal portal - Puzzle,"31 Jan, 2023","3,99€",
2786760,Another Door,2025,,
2351990,Anseion - Fantasy MMORPG,December 2025,Free,
1158370,Aragami 2,"17 Sep, 2021","33,99€",
2842430,ARC TCG,"19 Mar, 2024",Free,
3136450,Arcane spark,"30 Aug, 2024","1,99€",
3131770,Arch Legends,"18 Oct, 2024","3,89€",
1662150,Ardent Azur,Coming soon,,
2399830,ARK: Survival Ascended,"25 Oct, 2023","44,99€",
1856740,Arkheim - Realms at War,"5 Apr, 2022",Free,
1336290,ARTHA,"1 Mar, 2021","8,19€",
583950,Artifact,"28 Nov, 2018",Free,
649950,Ashen,"9 Dec, 2019","9,24€",
2484250,ASTRA: Knights of Veda,"1 Apr, 2024",Free,
2997190,Astro Arena,"22 Jan, 2025",Free,
1979350,Astro World,Coming soon,,
1731130,At Your Service,Coming soon,,
2805850,Atre: Dominance Wars,2025,,
951480,Auto Brawl Chess,"7 Apr, 2023",Free,
1530300,Auto Chess,"8 Dec, 2022",Free,
1448230,Avalom: Ancestral Heroes,"13 Sep, 2021","7,49€",
3172160,Avante! Atlantis,2026,,
1411970,Avian Knights,"19 May, 2023","14,79€",
1578410,Aviano,"3 May, 2021","4,99€",
3616910,BACKROOMS: We Escape Forever,"1 May, 2025","6,90€",
1715980,Bail or Jail(OBAKEIDORO!),"21 Jul, 2022","19,99€",
1866320,Baladins,"15 May, 2024","24,50€",
1086940,Baldur's Gate 3,"3 Aug, 2023","59,99€",
257350,Baldur's Gate II: Enhanced Edition,"16 Nov, 2013","19,50€",
1889930,Baldur's Gate: Dark Alliance II,"20 Jul, 2022","29,99€",
228280,Baldur's Gate: Enhanced Edition,"16 Jan, 2013","19,50€",
3015610,Banana & Cucumber,"12 Jun, 2024",Free,
1975470,Band of Mercenaries,Coming soon,,
699740,BANNERMEN,"21 Feb, 2019","14,79€",
1475300,Barbarian,Coming soon,,
3462790,Battle For Embolia,Coming soon,Free,
599390,Battle for Wesnoth,"2 May, 2018",Free,
2593810,Battle of Rebels,Q2 2025,,
1025600,Battle Realms: Zen Edition,"27 Jan, 2025","14,79€",
2838380,Battle Room Beta,"22 Mar, 2024",Free,
2216850,Battle Vision Network,2025,,
363680,Battlefleet Gothic: Armada,"21 Apr, 2016","2,24€",
1336940,Beast Master,Coming soon,,
3576380,Beast Siege,Coming soon,,
1330460,Becastled,"8 Feb, 2021","14,99€",
1063040,Ben 10: Power Trip,"9 Oct, 2020","16,49€",
1876230,Beneath & Beyond,To be announced,,
2000130,Berserk Reborn,Coming soon,Free,
597820,BIOMUTANT,"25 May, 2021","39,99€",
582660,Black Desert,"24 May, 2017","9,99€",
3669060,Blade & Soul NEO,"4 Jun, 2025",Free,
897890,Blade of Arena - 劍鬥界域,"31 Oct, 2020","9,99€",
225600,Blade Symphony,"7 May, 2014",Free,
208670,Blades of Time,"21 Apr, 2012","9,75€",
"208670,208981",Blades of Time - Limited Edition,"21 Apr, 2012","11,79€",
3182730,"Blades, Bows and Magic",Q4 2025,,
1254120,Bless Unleashed,"6 Aug, 2021",Free,
270110,Block Story™,"10 Dec, 2015","4,99€",
58520,Blood Bowl - Legendary Edition,"28 Oct, 2010","9,99€",
236690,Blood Bowl 2,"5 Sep, 2017","19,99€",
"236690,672830,401590,497170,547570,571761,382210,382910,571760,523980",Blood Bowl 2 - Legendary Edition,"5 Sep, 2017","29,99€",
1016950,Blood Bowl 3,"23 Feb, 2023","29,99€",
216890,Blood Bowl: Chaos Edition,"11 Oct, 2012","14,99€",
1705410,Bloody Efforts,"16 Sep, 2022",Free,
2938020,Bombergrounds: Classic,"27 Sep, 2024",,
1823550,Bonobros,Coming soon,Free,
598780,Boreal Blade,"12 Nov, 2020","3,99€",
3045110,Boss Slayers,2025,,
973070,Bound By Blades,"15 Nov, 2022","10,99€",
3071740,Box Clicker,"11 Jul, 2024",Free,
878000,Brainrot Royale,June 2025,,
2215750,Brave the Dungeon,To be announced,,
931650,Braveland Heroes,"16 Sep, 2019",Free,
291550,Brawlhalla,"17 Oct, 2017",Free,
1947070,Broken Edge,"17 Nov, 2022","14,99€",
225080,Brothers - A Tale of Two Sons,"3 Sep, 2013","14,99€",
