appid,name,release_date,promo_price,normal_price
2830760,1 Shot 1 Kill,To be announced,,
2702970,100 KILLS CHALLENGE,"15 Apr, 2024","2,99€",
2784540,100 KILLS CHALLENGE: ORIGINS,"8 Apr, 2024",Free,
1269400,100-Player Twitch Chat Party Pack,"1 Apr, 2020","13,50€",
529950,12 orbits,"24 Oct, 2016","1,99€",
1269370,171,"17 Nov, 2022","17,99€",
3601150,1！2！3！Battle Card!,Coming soon,,
322110,20XX,"16 Aug, 2017","14,99€",
3031250,21Pirates Card Game,To be announced,,
504920,39 Days to Mars,"25 Apr, 2018","19,50€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
2564630,3XTINCTION,"20 Feb, 2025","7,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
427250,8-Bit Armies,"22 Apr, 2016","14,79€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
531680,8-Bit Invaders!,"16 Dec, 2016","14,79€",
2422040,808cc,To be announced,,
2164500,99 Fails,Q4 2025,,
985930,::CallBack,"4 Oct, 2019","4,99€",
977950,A Dance of Fire and Ice,"24 Jan, 2019","4,99€",
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
3617840,A Game About Penguins,To be announced,,
1629520,A Little to the Left,"8 Nov, 2022","14,99€",
1222700,A Way Out,"18 Jun, 2020","29,99€",
319540,A Year Of Rain,"13 Mar, 2020","14,99€",
3010090,Aaero2,"13 Dec, 2024","14,79€",
2295610,Abathor,"25 Jul, 2024","14,79€",
921730,Abberbury,"18 Apr, 2019","1,99€",
1233250,Abracadabrew,"14 Oct, 2020","11,49€",
979000,Abrakadaboom,"18 Apr, 2019","17,90€",
473690,Absolver,"29 Aug, 2017","28,99€",
2244780,Abyss World : Apocalypse,To be announced,Free,
1721110,Abyssus,To be announced,,
318020,Act of Aggression - Reboot Edition,"2 Sep, 2015","29,99€",
285820,Action Henk,"11 May, 2015","14,99€",
1460050,Adventure Bit,"10 Jan, 2021","1,99€",
1097770,Aeolis Tournament,"16 Jul, 2020","4,99€",
1252240,Aeon Drive,"30 Sep, 2021","14,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
1338490,AFTERBLAST,Q2 2025,,
855590,Age of Cards - Ra's Chess,Coming soon,,
314970,Age of Conquest IV,"5 Apr, 2016",Free,
603850,Age of History II,"21 Nov, 2018","4,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
1305420,Agrou,"25 Jul, 2020","3,99€",
714010,Aimlabs,"16 Jun, 2023",Free,
423490,Air Missions: HIND,"14 Jun, 2017","16,99€",
206500,AirMech,"30 Mar, 2018",Free,
1017800,AirShock,"24 Feb, 2019","2,39€",
530130,Akuto: Showdown,"28 Mar, 2019","7,99€",
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
431450,Alchemist's Awakening,"3 Jun, 2019","9,50€",
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
1246540,Alice Sisters,"20 Sep, 2020","5,89€",
1285360,Alien Hominid HD,"1 Nov, 2023","11,79€",
2192970,All On Board!,"27 Feb, 2025","9,99€",
2249590,All You Need is Help,"26 Sep, 2024","13,99€",
3471350,Alpha League HD,"14 Feb, 2025",Free,
1733610,Alpine - The Simulation Game,"23 Nov, 2021","19,99€",
672380,Ameline and the Ultimate Burger,"2 Aug, 2017","3,99€",
1868300,American Theft 80s: Prologue,"8 Mar, 2022",Free,
2150810,Amorphous,To be announced,,
1592680,Anarchy: Wolf's law : Prologue,"26 Aug, 2021",Free,
536270,Ancestors: The Humankind Odyssey,"27 Aug, 2020","9,99€",
2349430,Ancestral Players,Coming soon,,
488440,Angeldust,"21 Dec, 2019",Free,
2949910,ANGST: A TALE OF SURVIVAL,2025,,
2657140,Animal Falling,Coming soon,,
2274010,Animal portal - Puzzle,"31 Jan, 2023","3,99€",
2658510,Animal Shelter 2,Q2 2025,,
1661260,Animal Shelter: Prologue,"3 Nov, 2021",Free,
1927650,Animals Collision,"2 May, 2022",Free,
379610,Animated Puzzles,"16 Dec, 2016","9,99€",
3683030,Anime,Coming soon,,
1352290,Anime Squad,Coming soon,,
236730,Anomaly 2,"15 May, 2013","13,99€",
2232600,Anomaly Exit,"31 Mar, 2024","3,99€",
2487070,Anonymous Hacker Simulator: Prologue,"28 Aug, 2023",Free,
2786760,Another Door,2025,,
2351990,Anseion - Fantasy MMORPG,December 2025,Free,
1576980,Answer Me,Coming soon,,
505640,Antihero,"10 Jul, 2017","14,79€",
751810,Antimatter Drive,Coming soon,,
2306590,Apewar,"24 Mar, 2023","0,49€",
2113710,ApoZomb,To be announced,,
3258370,Apple Ring,"29 Nov, 2024",Free,
468100,Aqua Moto Racing Utopia,"30 Nov, 2016","10,79€",
280160,Aragami,"4 Oct, 2016","19,50€",
1190130,Araha : Curse of Yieun Island,"6 Jan, 2020","13,29€",
1515640,Arcadegeddon,"18 Jul, 2023",Free,
2628230,Arcane Blast,"9 Sep, 2024","9,75€",
3136450,Arcane spark,"30 Aug, 2024","1,99€",
1575830,ArcRunner,"27 Apr, 2023","19,99€",
1662150,Ardent Azur,Coming soon,,
1951800,Arenas Of Tanks,"19 Aug, 2022","4,99€",
342180,Arizona Sunshine®,"6 Dec, 2016","19,99€",
346110,ARK: Survival Evolved,"27 Aug, 2017","14,79€",
407530,ARK: The Survival Of The Fittest,"29 Aug, 2017",,
1717270,Arkanoid - Eternal Battle,"27 Oct, 2022","9,99€",
224860,Arma Tactics,"1 Oct, 2013","6,99€",
3442290,ARMORY SIMULATOR,Coming soon,,
672660,Army Ops,Coming soon,Free,
2215270,Army Troop,"17 Sep, 2023","9,75€",
2925890,Army Troop 2: Modern Guns,Coming soon,,
3361860,Army Troop Remastered,Coming soon,,
2641740,Arsenal Online,"12 Jan, 2024",Free,
2792270,Arsene Bomber: Cosmic,"8 Apr, 2024","9,99€",
558100,Art of War: Red Tides,"22 Dec, 2016",Free,
649950,Ashen,"9 Dec, 2019","36,99€",
2346320,Astral Guardian,"12 Apr, 2023","9,75€",
1614550,Astro Colony,"7 Nov, 2022","19,50€",
1979350,Astro World,Coming soon,,
1877190,Astrogon,"30 Sep, 2022",Free,
361420,ASTRONEER,"6 Feb, 2019","29,99€",
2430580,ASTROSMASH,"12 Oct, 2023","14,99€",
2924860,Astrumis - Survive Together,"26 May, 2025",,
1450830,At Dead Of Night,"19 Nov, 2020","15,79€",
2916620,Atlas Online,"26 Jun, 2024",Free,
2803490,Atomcraft,Q4 2025,,
619880,ATOMEGA,"19 Sep, 2017","9,99€",
1903560,Atomic Picnic,"7 Nov, 2024","19,50€",
1953660,Attack of the Toy Tanks,Coming soon,,
656400,Attrition: Tactical Fronts,"7 Mar, 2018","12,49€",
3630320,Auto Washer Life,Coming soon,,
2817580,Autofahrt,Q2 2026,,
1066890,Automobilista 2,"1 Jul, 2020","36,99€",
1448230,Avalom: Ancestral Heroes,"13 Sep, 2021","14,99€",
1578410,Aviano,"3 May, 2021","4,99€",
986800,AVICII Invector,"10 Dec, 2019","19,99€",
1755080,Away From Life,2025,,
204300,Awesomenauts - the 2D moba,"1 Aug, 2012",Free,
2176400,Baby Storm,"12 May, 2023","19,99€",
2427700,Backpack Battles,"8 Mar, 2024","14,79€",
3673500,BACKROOMS,Q3 2025,,
3673110,Backrooms,2025,,
3022120,Backrooms: Dark Labyrinth,Coming soon,,
2835530,Backrooms: Extractions,"30 Apr, 2025","6,89€",
2924300,Backrooms: Lost,"25 Jul, 2024","5,89€",
2420040,Backrooms: Lost Place,"31 Oct, 2024","4,79€",
3616910,BACKROOMS: We Escape Forever,"1 May, 2025","6,90€",
3492480,Backrooms: Worlds,2025,,
269670,BADLAND: Game of the Year Edition,"26 May, 2015","0,99€",
1080410,Bake 'n Switch,"21 Aug, 2020","12,49€",
2219190,Balance 100,"17 Jul, 2023","2,99€",
2219180,Balance 97.261/100,"1 Jun, 2023",Free,
3589720,Ball & Roll,Coming soon,,
2227220,Ball Animals,"23 Feb, 2023",Free,
3202400,Ball Race Party,"10 Jan, 2025","3,99€",
1294720,Balloon Blast,"5 Apr, 2021",Free,
1975470,Band of Mercenaries,Coming soon,,
2182070,Band Space,"24 Oct, 2024","19,99€",
3393240,Banker Simulator,Q2 2025,,
3451020,Banker Simulator: Prologue,Q2 2025,Free,
699740,BANNERMEN,"21 Feb, 2019","14,79€",
1475300,Barbarian,Coming soon,,
1186660,Bare Butt Boxing,"1 Aug, 2024","12,49€",
3701830,Barks and Bytes,Coming soon,,
618140,Barro,"28 Mar, 2018","1,66€",
1168660,Barro 2020,"1 Nov, 2019","0,49€",
3119720,Barro 2024,"9 Aug, 2024","4,90€",
1797610,Barro 22,"5 Nov, 2021","4,90€",
1239260,Barro F,"28 Feb, 2020","0,49€",
1958600,Barro F22,"25 Apr, 2022","0,49€",
1990740,Barro GT,"19 May, 2022","1,66€",
1307090,Barro Racing,"11 Sep, 2020","3,46€",
2379030,Barro T23,"25 Apr, 2023","2,94€",
3600350,Bashing Brutal,Coming soon,,
1358710,Battle Cry of Freedom,"1 Mar, 2022","10,00€",
3462790,Battle For Embolia,Coming soon,Free,
599390,Battle for Wesnoth,"2 May, 2018",Free,
305260,Battle Islands,"6 Aug, 2014",Free,
316430,Battle of Empires : 1914-1918,"22 Jul, 2015","7,39€",
1099170,Battle Planet - Judgement Day,"17 Oct, 2019","9,75€",
840130,Battle Royale: Survivors 究极求生:大逃杀,"29 Aug, 2018","3,99€",
2581310,Battle Stations Blockade,"6 Dec, 2023","3,99€",
2216850,Battle Vision Network,2025,,
237470,Battle Worlds: Kronos,"4 Nov, 2013","19,99€",
671860,BattleBit Remastered,"15 Jun, 2023","14,79€",
238460,BattleBlock Theater®,"15 May, 2014","14,99€",
411480,BATTLECREW™ Space Pirates,"10 Jul, 2017",Free,
2932940,BattleHeights,"16 Jan, 2025","9,75€",
280930,Battlepillars Gold Edition,"28 Apr, 2014","4,99€",
459350,Battlesloths 2025: The Great Pizza Wars,"6 Jun, 2017","4,99€",
1284850,Batu Ta Batu,"18 Sep, 2020","4,99€",
2379810,Bazaar Simulator,"30 Jan, 2025","5,89€",
3033810,Bazaar Simulator Prologue,"22 Jul, 2024",Free,
1455680,BE HUNTED,"21 Dec, 2020","8,19€",
765410,Bean Battles,"22 Aug, 2018","0,99€",
719890,Beasts of Bermuda,"21 Dec, 2018","19,99€",
49600,Beat Hazard,"15 Apr, 2010","9,75€",
985940,Beat Me!,"19 Aug, 2020","10,79€",
1427880,Beat Me! - Puppetonia Tournament,"13 Nov, 2020",Free,
620980,Beat Saber,"21 May, 2019","29,99€",
999830,Becalm,"17 Jan, 2019",Free,
1330460,Becastled,"8 Feb, 2021","14,99€",
1782570,Beer Factory,"10 Jan, 2024","11,09€",
2173600,Beer Factory - Prologue,"13 Mar, 2023",Free,
2562390,Bennys Backrooms,Coming soon,,
1311800,Beodara,Coming soon,,
1211250,Berserk Soccer,"19 Aug, 2022","3,99€",
1676060,Beta Escape,"16 Sep, 2021","0,99€",
2873490,BETRAYED,Coming soon,,
352950,Better Late Than DEAD,"3 Mar, 2016","3,99€",
3498270,Better Mart,"16 May, 2025","13,31€",
1158500,Between Two Castles - Digital Edition,"15 Nov, 2019","10,79€",
877010,Beyond Contact,"4 Apr, 2023","19,99€",
700570,Beyond the Void,"24 Oct, 2018",Free,
1058650,Beyond The Wire,"31 Aug, 2022","9,75€",
3160490,BEYONDER,To be announced,,
1308950,Bhop PRO,"5 Jul, 2020","8,19€",
1197230,Biba`s Adventures — Hardcore Platformer,"31 Jan, 2020","9,75€",
1802570,Bio Bots,"26 Dec, 2021",Free,
