appid,name,release_date,promo_price,normal_price
3146550,100 SCREAMERS,Coming soon,,
535700,3D Chess,"6 Dec, 2016","3,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
2164500,99 Fails,Q4 2025,,
559330,A Fisherman's Tale,"22 Jan, 2019","14,99€",
1506760,A House of Thieves,"21 Jan, 2021","10,99€",
304530,Agents of Mayhem,"15 Aug, 2017","29,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
2574270,Alien Investigator,"8 Sep, 2023","11,79€",
2524700,Altarium,"21 Oct, 2024","9,75€",
2773280,ANEURISM IV,"11 Mar, 2025","9,75€",
591960,Animation Throwdown: The Quest for Cards,"5 May, 2017",Free,
2232600,Anomaly Exit,"31 Mar, 2024","3,99€",
2306590,Apewar,"24 Mar, 2023","0,99€",
2822980,ARSONATE,Coming soon,,
449800,Attack on Titan / A.O.T. Wings of Freedom,"26 Aug, 2016","23,99€",
3044610,Avalon Crew,Coming soon,,
3673110,Backrooms,2025,,
3673500,BACKROOMS,Q3 2025,,
3140990,Backrooms Cleanup Crew,"16 Apr, 2025","9,75€",
2232180,Backrooms Descent: Multiplayer Horror,"28 Oct, 2023","6,89€",
2523460,Backrooms Interception,Coming soon,,
2928660,BACKROOMS INVASION,"1 May, 2024","1,99€",
3072120,Backrooms Lost Runners,Coming soon,,
2714970,Backrooms Media,"10 Sep, 2024","6,99€",
2275020,Backrooms Rec.,"6 Mar, 2024","6,89€",
2700560,Backrooms Together,Coming soon,,
2141730,Backrooms: Escape Together,"18 Oct, 2022","9,75€",
2835530,Backrooms: Extractions,"30 Apr, 2025","6,89€",
3396740,Backrooms: Hide Together,"18 Apr, 2025","3,99€",
2924300,Backrooms: Lost,"25 Jul, 2024","5,89€",
2941470,Backrooms: Step Into The Void,2025,,
2419010,Backrooms: Wit's End,Q4 2025,,
3492480,Backrooms: Worlds,2025,,
3558400,Backseat Drivers,Q3 2025,,
3015610,Banana & Cucumber,"12 Jun, 2024",Free,
2922250,Baptiste,Coming soon,,
2593810,Battle of Rebels,Q2 2025,,
2654040,Beneath The Earth - Backrooms,"1 Dec, 2023","14,79€",
3160490,BEYONDER,To be announced,,
509980,BIGFOOT,"31 Jan, 2017","19,99€",
1152950,Blackberry,"5 Feb, 2021","9,75€",
1092660,Blair Witch,"30 Aug, 2019","29,99€",
"1092660,1141710,1141711",Blair Witch Deluxe Edition,"30 Aug, 2019","34,99€",
1679010,BLOCKPOST MOBILE,"18 Feb, 2024","4,99€",
2372370,Blood Moon Horror,August 2025,,
3126150,BOKURA: planet,"24 Apr, 2025","5,39€",
3419430,Bongo Cat,"5 Mar, 2025",Free,
3071740,Box Clicker,"10 Jul, 2024",Free,
2546650,Breach Signal,Q3 2025,,
3592220,Breaking the Grip,"3 Apr, 2025","6,89€",
1474390,Broken : Paranormal investigation,"29 Sep, 2022","12,49€",
2835570,Buckshot Roulette,"4 Apr, 2024","2,99€",
2599480,Buckshot to Hell,"15 Oct, 2024","1,99€",
2808270,Buckshot With Friends,"19 Feb, 2024","3,99€",
2840210,Bureau of Contacts,"12 Apr, 2025","3,89€",
397900,Business Tour - Board Game with Online Multiplayer,"27 Jul, 2017",Free,
2633940,Byte Breach,2025,,
1985820,Call of Duty®: Vanguard,"8 Mar, 2023","59,99€",
476600,Call of Duty®: WWII,"2 Nov, 2017","59,99€",
1181550,Carnival Hunt,Coming soon,,
722960,CASE 2: Animatronics Survival,"28 Feb, 2019","9,75€",
3061430,Caspers,Coming soon,Free,
3505060,Castle of Mist,"28 May, 2025","4,99€",
3560470,Chains Of Reality,December 2025,,
1595710,Chased by Darkness,"1 Jun, 2021","3,99€",
518060,Chess Ultra,"21 Jun, 2017","12,99€",
3447560,Chicken Shop Simulator - Fast Food Empire,Coming soon,,
493490,City Car Driving,"3 Nov, 2016","23,49€",
2275420,Click Here,"2 Feb, 2023","0,99€",
2215690,Click Real Fast,"20 Dec, 2022","0,99€",
