appid,name,release_date,promo_price,normal_price
1292630,3on3 FreeStyle: Rebound,"14 Jul, 2020",Free,
2164500,99 Fails,Q4 2025,,
319540,A Year Of Rain,"13 Mar, 2020","14,99€",
473690,Absolver,"29 Aug, 2017","28,99€",
769520,Abyss Crew,"31 Mar, 2025","9,99€",
2244780,Abyss World : Apocalypse,To be announced,Free,
607880,Accel World VS. Sword Art Online Deluxe Edition,"12 Sep, 2017","49,99€",
1385380,Across the Obelisk,"16 Aug, 2022","19,99€",
728240,Adventure Time: Pirates of the Enchiridion,"17 Jul, 2018","13,74€",
1786010,AETHERIS,"7 Nov, 2023","5,99€",
217750,Age of Conan: Unchained,"22 Feb, 2013",Free,
1669000,Age of Wonders 4,"2 May, 2023","49,99€",
226840,Age of Wonders III,"31 Mar, 2014","29,99€",
261430,AION MMO,"16 Dec, 2015",Free,
206500,AirMech,"30 Mar, 2018",Free,
761890,Albion Online,"16 May, 2018",Free,
2257590,Alien Agent X,"27 Sep, 2024","3,99€",
843200,Alien Hominid Invasion,"1 Nov, 2023","19,50€",
1549970,Aliens: Fireteam Elite,"23 Aug, 2021","29,99€",
3112340,ALL IN VAIN,Q4 2025,,
459160,Allods Online,"3 Jun, 2016",Free,
3471350,Alpha League HD,"14 Feb, 2025",Free,
1909820,ALTAIR BREAKER,"18 Aug, 2022","20,99€",
3104430,Amikin Village,Coming soon,Free,
536270,Ancestors: The Humankind Odyssey,"27 Aug, 2020","9,99€",
2650620,Ancient Stars,Coming soon,Free,
2773280,ANEURISM IV,"11 Mar, 2025","9,75€",
1333350,Angel Legion,"14 Aug, 2020",Free,
488440,Angeldust,"21 Dec, 2019",Free,
591960,Animation Throwdown: The Quest for Cards,"5 May, 2017",Free,
3683030,Anime,Coming soon,,
2351990,Anseion - Fantasy MMORPG,December 2025,Free,
751810,Antimatter Drive,Coming soon,,
3131770,Arch Legends,"18 Oct, 2024","7,79€",
2179480,Ardem,Coming soon,,
2399830,ARK: Survival Ascended,"25 Oct, 2023","44,99€",
