appid,name,release_date,promo_price,normal_price
2422040,808cc,To be announced,,
2706370,AC Sailing,"9 Apr, 2024",Free,
285820,Action Henk,"11 May, 2015","14,99€",
3466260,Adrenaline: Online,Coming soon,,
3118620,AERO BATTLE ROYALE,"9 Aug, 2024","2,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
2074750,All-In-One Summer Sports VR,"30 Jul, 2023","19,50€",
673190,All-Star Fruit Racing,"13 Jul, 2018","19,99€",
2882650,Aqua Conflict: Canal Carnage,To be announced,,
468100,Aqua Moto Racing Utopia,"30 Nov, 2016","10,79€",
1815780,Asphalt Legends Unite,"2 Aug, 2022",Free,
805550,Assetto Corsa Competizione,"29 May, 2019","9,99€",
3058630,Assetto Corsa EVO,"16 Jan, 2025","31,99€",
1340020,Aster Fpv Drone Simulator,"22 Oct, 2020","16,79€",
2190380,Astral Tracks,"21 Nov, 2024","9,75€",
483770,Autobahn Police Simulator 2,"7 Dec, 2017","19,95€",
2817580,Autofahrt,Q2 2026,,
431600,Automobilista,"24 Aug, 2016","23,99€",
1066890,Automobilista 2,"30 Jun, 2020","36,99€",
1906190,BackRooms,Coming soon,Free,
3558400,Backseat Drivers,Q3 2025,,
3558050,Bad Teams,Coming soon,,
2437980,Ball Bash,Coming soon,,
3202400,Ball Race Party,"10 Jan, 2025","3,99€",
3548980,Ballrun,2025,,
618140,Barro,"28 Mar, 2018","1,66€",
1168660,Barro 2020,"1 Nov, 2019","4,90€",
3119720,Barro 2024,"9 Aug, 2024","0,49€",
1797610,Barro 22,"5 Nov, 2021","0,49€",
1239260,Barro F,"28 Feb, 2020","1,12€",
1958600,Barro F22,"25 Apr, 2022","1,66€",
1990740,Barro GT,"19 May, 2022","0,49€",
1307090,Barro Racing,"11 Sep, 2020","0,49€",
2379030,Barro T23,"25 Apr, 2023","1,66€",
284160,BeamNG.drive,"29 May, 2015","22,50€",
2925400,Belly Chubs: The Party Game,Coming soon,,
2322050,BIKEOUT,"12 Sep, 2023","24,99€",
1434330,Blaze and the Monster Machines: Axle City Racers,"1 Oct, 2021","39,99€",
302710,BlazeRush,"28 Oct, 2014","8,89€",
3438210,Blimpy,To be announced,,
3543890,Boat Together,Q2 2025,,
3645460,Bridge Race,"29 May, 2025","4,99€",
1590320,Bro Falls,"30 Dec, 2021",Free,
1954100,Bunny Hop : Eggstreme,"9 Nov, 2022",Free,
1238080,Burnout™ Paradise Remastered,"4 Jun, 2020","19,99€",
2095420,Bus Bound,Coming soon,,
2540530,Cabbie!,To be announced,,
3130960,Camelbirds,"27 Jan, 2025","5,89€",
466980,Can't Drive This,"18 Mar, 2021","19,50€",
1661270,Car Detailing Simulator: Prologue,"15 Nov, 2021",Free,
270850,Car Mechanic Simulator 2014,"24 Jan, 2014","0,75€",
320300,Car Mechanic Simulator 2015,"23 Apr, 2015","1,95€",
645630,Car Mechanic Simulator 2018,"28 Jul, 2017","1,95€",
3371650,Car Mechanic Workshop,"4 Mar, 2025","4,99€",
3501070,Car Service Together,Q3 2025,,
3515160,Carcade,2025,,
505170,Carmageddon: Max Damage,"27 Oct, 2016","16,99€",
2299920,CARTOONITE,"3 Mar, 2023",Free,
635260,CarX Drift Racing Online,"17 Nov, 2017","14,79€",
1114150,CarX Street,"29 Aug, 2024","7,91€",
2762270,CelV Run,"30 Mar, 2024","4,99€",
1496210,Centrifugal,"11 Feb, 2021","0,99€",
2196680,CHARGED: RC Racing,"8 Nov, 2022","9,99€",
645650,Chickens Madness,"9 Sep, 2020","8,19€",
2238010,Chiki-Chiki,"8 Dec, 2023","6,89€",
3041920,Chrono Club - Race Against Time,"25 Jul, 2024",Free,
1097130,Circuit Superstars,"31 Oct, 2023","19,99€",
493490,City Car Driving,"3 Nov, 2016","23,49€",
1267580,Classic Sport Driving,"12 Jun, 2023","4,99€",
359800,Copa Petrobras de Marcas,"8 Apr, 2015",Free,
3315830,Cosmic Royale,"12 Dec, 2024",Free,
2382630,Crash Course Builder,Coming soon,,
343440,Crash Drive 2,"28 May, 2015","4,99€",
346820,Crash Drive 3,"9 Jul, 2021","19,50€",
33620,Crash Time 3,"26 Nov, 2009","1,19€",
2257410,Crashy Laps,"30 Nov, 2023","3,44€",
1747570,Crazy Athletics - Summer Sports & Games,"3 Dec, 2021","15,99€",
1450790,Crazy Wheels,"11 Jul, 2022","12,49€",
2009360,Cream War,Coming soon,,
925550,Cross Racing Championship Extreme,"18 Sep, 2018","8,19€",
2700860,Crylia,Coming soon,,
1375650,Crystal Chasers League,"21 Oct, 2020","8,19€",
767390,Dakar 18,"25 Sep, 2018","29,99€",
1839940,Dakar Desert Rally,"4 Oct, 2022","29,99€",
964570,DCL - The Game,"18 Feb, 2020","29,99€",
412220,DDNet,"17 Aug, 2020",Free,
