appid,name,release_date,promo_price,normal_price
1059220,'83,Q4 2025,,
3601150,1！2！3！Battle Card!,Coming soon,,
3031250,21Pirates Card Game,To be announced,,
535700,3D Chess,"6 Dec, 2016","3,99€",
2590580,3D Chess Online,"22 Sep, 2023","0,49€",
492160,3D Pool,"17 Jun, 2016","6,99€",
1204230,4th Generation Warfare,"28 Jul, 2022","29,99€",
3043840,50 Floors of Madness,"19 Jul, 2024","4,99€",
251570,7 Days to Die,"25 Jul, 2024","43,99€",
427250,8-Bit Armies,"22 Apr, 2016","14,79€",
497850,8-Bit Hordes,"12 Aug, 2016","14,79€",
531680,8-Bit Invaders!,"16 Dec, 2016","14,79€",
201271,A Total War Saga: FALL OF THE SAMURAI,"22 Mar, 2012","29,99€",
1099410,A Total War Saga: TROY,"2 Sep, 2021","49,99€",
2304660,A Twisted Path to Renown,"17 Dec, 2024","28,99€",
3238580,A World of Keflings,Coming soon,,
427410,Abiotic Factor,"2 May, 2024","33,99€",
823230,Demolition Pro Online,"17 Nov, 2022","19,95€",
2706370,AC Sailing,"9 Apr, 2024",Free,
502500,ACE COMBAT™ 7: SKIES UNKNOWN,"31 Jan, 2019","59,99€",
2754090,Aces of Thunder,2025,,
1200570,AColony,"19 Jan, 2023","19,99€",
3118620,AERO BATTLE ROYALE,"9 Aug, 2024","2,99€",
434030,Aerofly FS 2 Flight Simulator,"20 Nov, 2017","44,99€",
603850,Age of History II,"21 Nov, 2018","4,99€",
266840,Age of Mythology: Extended Edition,"8 May, 2014","27,99€",
3492730,Agora,June 2025,Free,
714010,Aimlabs,"16 Jun, 2023",Free,
95900,Air Conflicts: Secret Wars,"15 Jul, 2011","5,99€",
423490,Air Missions: HIND,"14 Jun, 2017","16,99€",
1715280,AirportSim,"19 Oct, 2023","33,99€",
2932450,Airsoft Online,To be announced,,
3203370,Ala Mobile,"6 Dec, 2024","14,79€",
3202220,Aldian of Ancients,2025,,
2683150,Ale & Tale Tavern,"5 Sep, 2024","14,79€",
2870840,Ale & Tale Tavern: First Pints,"20 Jun, 2024",Free,
313660,Alea Jacta Est,"4 Nov, 2014","7,35€",
2257590,Alien Agent X,"27 Sep, 2024","3,99€",
2192970,All On Board!,"27 Feb, 2025","9,99€",
1514840,All-In-One Sports VR,"7 Apr, 2023","14,99€",
2074750,All-In-One Summer Sports VR,"30 Jul, 2023","19,50€",
1660080,Aloft,"15 Jan, 2025","24,99€",
