appid,name,release_date,promo_price,normal_price
2750480,7 Minutes in Hell,"7 Oct, 2024","9,75€",
2233120,A Quiet Place: The Road Ahead,"17 Oct, 2024","29,99€",
751630,After the Fall®,"9 Dec, 2021","19,99€",
1609570,Agonize,"16 Sep, 2022","4,99€",
1839710,Alchemists,"21 Feb, 2025","5,89€",
"10680,10695,10697",Aliens VS Predator Collection,,"21,99€",
10680,Aliens vs. Predator™,"16 Feb, 2010","14,99€",
1549970,Aliens: Fireteam Elite,"23 Aug, 2021","29,99€",
3112340,ALL IN VAIN,Q4 2025,,
275060,Alone in the Dark: Illumination™,"11 Jun, 2015","19,99€",
2524700,Altarium,"21 Oct, 2024","9,75€",
1133060,Anarchy: Wolf's law,"8 Jun, 2023","6,57€",
1592680,Anarchy: Wolf's law : Prologue,"26 Aug, 2021",Free,
2949910,ANGST: A TALE OF SURVIVAL,2025,,
1190130,Araha : Curse of Yieun Island,"6 Jan, 2020","13,29€",
342180,Arizona Sunshine®,"6 Dec, 2016","19,99€",
2924860,Astrumis - Survive Together,"26 May, 2025","9,75€",
1450830,At Dead Of Night,"19 Nov, 2020","15,79€",
3044610,Avalon Crew,Coming soon,,
924970,Back 4 Blood,"12 Oct, 2021","59,99€",
3673500,BACKROOMS,Q3 2025,,
3140990,Backrooms Cleanup Crew,"16 Apr, 2025","9,75€",
2232180,Backrooms Descent: Multiplayer Horror,"28 Oct, 2023","6,89€",
2523460,Backrooms Interception,Coming soon,,
2928660,BACKROOMS INVASION,"1 May, 2024","1,99€",
3072120,Backrooms Lost Runners,Coming soon,,
2714970,Backrooms Media,"10 Sep, 2024","6,99€",
2275020,Backrooms Rec.,"6 Mar, 2024","6,89€",
2700560,Backrooms Together,Coming soon,,
2141730,Backrooms: Escape Together,"18 Oct, 2022","9,75€",
2835530,Backrooms: Extractions,"30 Apr, 2025","6,89€",
3396740,Backrooms: Hide Together,"18 Apr, 2025","3,99€",
2941470,Backrooms: Step Into The Void,2025,,
3239660,Backrooms: The Lost Circus,"6 Mar, 2025","0,89€",
2419010,Backrooms: Wit's End,Q4 2025,,
3492480,Backrooms: Worlds,2025,,
1715980,Bail or Jail(OBAKEIDORO!),"20 Jul, 2022","9,99€",
3015610,Banana & Cucumber,"12 Jun, 2024",Free,
2922250,Baptiste,Coming soon,,
602960,Barotrauma,"13 Mar, 2023","34,99€",
2593810,Battle of Rebels,Q2 2025,,
1563250,Beast Hour,To be announced,,
1313230,Beautiful Light,December 2026,,
2791600,Becut - An Impostor Game,2026,,
2654040,Beneath The Earth - Backrooms,"1 Dec, 2023","14,79€",
2562390,Bennys Backrooms,Coming soon,,
3476240,Berghotel Heist,October 2025,,
2560740,Beyond fantasy,"27 Nov, 2023","12,79€",
